designs,synID,prediction,actual
aes,600,0.05177074,-1.4117556
aes,616,0.051656216,-1.3047621
aes,669,0.05017609,-1.2583045
aes,488,0.055315316,-1.1724281
aes,344,0.051884815,-0.9851897
aes,963,0.050355904,-0.8979056
aes,154,0.05074712,-0.76416385
aes,418,0.05045994,-0.70081246
aes,785,0.04919061,-0.6909578
aes,690,0.04940201,-0.62760645
aes,548,0.050484985,-0.6205674
aes,129,0.05255686,-0.57833314
aes,270,0.04852982,-0.5459536
aes,110,0.05293723,-0.4783788
aes,987,0.052335277,-0.46430072
aes,828,0.051969323,-0.410804
aes,509,0.052481934,-0.21511869
aes,98,0.052095927,-0.14191268
aes,937,0.05549605,-0.08137693
aes,363,0.053388365,0.08052099
aes,949,0.05091668,0.12134742
aes,324,0.052583795,0.12557085
aes,599,0.049348027,0.15091139
aes,594,0.051916137,0.27902192
aes,898,0.05165605,0.31984836
aes,962,0.0505106,0.4352886
aes,554,0.05198163,0.6718004
aes,280,0.054300666,0.98996496
aes,892,0.0538333,0.99137276
aes,619,0.053890638,1.1560863
aes,180,0.05178436,1.4728432
