designs,synID,prediction,actual
aes_secworks,332,0.18280356,-1.4654527
aes_secworks,566,0.18606028,-1.0612673
aes_secworks,433,0.18262929,-0.8239258
aes_secworks,415,0.18371256,-0.6406324
aes_secworks,373,0.18270735,-0.6006838
aes_secworks,648,0.18441375,-0.5348862
aes_secworks,644,0.18551548,-0.50903714
aes_secworks,110,0.1872621,-0.45028922
aes_secworks,170,0.19148062,-0.38214168
aes_secworks,979,0.18397015,-0.37274203
aes_secworks,486,0.18340504,-0.1565498
aes_secworks,217,0.18564801,-0.053153522
aes_secworks,372,0.18654916,0.00089453446
aes_secworks,731,0.18497603,0.1489392
aes_secworks,191,0.18722272,0.16773853
aes_secworks,316,0.18559025,0.17008844
aes_secworks,593,0.18280178,0.1935876
aes_secworks,999,0.18514192,0.33693245
aes_secworks,17,0.18454394,0.33928236
aes_secworks,244,0.18201531,0.39803025
aes_secworks,495,0.18491448,0.71526885
aes_secworks,605,0.18704776,0.73171824
aes_secworks,193,0.18529432,0.7458177
aes_secworks,159,0.18642892,0.79516596
aes_secworks,480,0.18706737,0.8327646
aes_secworks,235,0.18263735,1.0489569
aes_secworks,843,0.18922883,1.0795057
aes_secworks,119,0.18866229,1.2299004
aes_secworks,708,0.19001505,1.2439998
