designs,synID,prediction,actual
aes_xcrypt,124,0.41767037,-1.9809045
aes_xcrypt,302,0.4191472,-1.8673358
aes_xcrypt,204,0.4179142,-1.8622884
aes_xcrypt,536,0.41881865,-1.8420984
aes_xcrypt,145,0.42196476,-1.7714335
aes_xcrypt,577,0.42001545,-1.5468199
aes_xcrypt,841,0.42217797,-1.5342011
aes_xcrypt,732,0.42195213,-1.2363989
aes_xcrypt,79,0.4211849,-0.9941192
aes_xcrypt,894,0.41959953,-0.7846482
aes_xcrypt,438,0.4191386,-0.74931574
aes_xcrypt,116,0.42351556,-0.6508896
aes_xcrypt,437,0.41990006,-0.6029384
aes_xcrypt,486,0.41858006,-0.49946475
aes_xcrypt,84,0.41942352,-0.18399632
aes_xcrypt,263,0.41998512,-0.18399632
aes_xcrypt,561,0.4212625,-0.032571483
aes_xcrypt,57,0.420829,0.04061719
aes_xcrypt,555,0.41814995,0.06585466
aes_xcrypt,917,0.41817957,0.09361588
aes_xcrypt,826,0.4187553,0.103710875
aes_xcrypt,791,0.41902965,0.19204204
aes_xcrypt,969,0.41564226,0.19708952
aes_xcrypt,961,0.4167562,0.31065816
aes_xcrypt,423,0.42183155,0.33084813
aes_xcrypt,346,0.4210624,0.38637057
aes_xcrypt,226,0.41871685,0.6412691
aes_xcrypt,402,0.4226144,0.6690303
aes_xcrypt,299,0.42067426,0.96430874
aes_xcrypt,311,0.4209715,1.0526398
aes_xcrypt,880,0.41875613,1.3681083
aes_xcrypt,562,0.4169647,1.4564395
aes_xcrypt,919,0.42109078,1.5599132
aes_xcrypt,599,0.41785204,1.6280543
