designs,synID,prediction,actual
bp_be,671,0.063703686,-1.5956504
bp_be,49,0.06289819,-1.2242563
bp_be,883,0.05961424,-1.0798252
bp_be,968,0.060185656,-1.0591922
bp_be,527,0.06311831,-0.73422223
bp_be,569,0.05962813,-0.6774815
bp_be,117,0.061335906,-0.5433669
bp_be,805,0.062088042,-0.5330504
bp_be,525,0.063605785,-0.4659931
bp_be,678,0.06484085,-0.46083486
bp_be,950,0.06051901,-0.46083486
bp_be,486,0.054649547,-0.15649794
bp_be,619,0.06324659,-0.099757165
bp_be,812,0.061418965,-0.068807654
bp_be,68,0.059161916,0.060148664
bp_be,668,0.059019968,0.12720595
bp_be,918,0.060032442,0.22521275
bp_be,723,0.064782575,0.25616226
bp_be,828,0.060480803,0.28195354
bp_be,346,0.06283936,0.39027685
bp_be,210,0.05993505,0.699772
bp_be,624,0.06193249,0.73072153
bp_be,707,0.06122011,0.8132536
bp_be,162,0.062141478,1.4219273
bp_be,259,0.05534622,1.5096177
