designs,synID,prediction,actual
des3_area,354,0.02026631,-1.5909377
des3_area,470,0.020852447,-1.2715151
des3_area,967,0.017167524,-1.2715151
des3_area,284,0.021126732,-1.1118038
des3_area,622,0.01931236,-0.7923811
des3_area,569,0.01884082,-0.6326698
des3_area,865,0.018762805,-0.6326698
des3_area,271,0.016673982,-0.6326698
des3_area,102,0.022520564,-0.47295848
des3_area,390,0.01857559,-0.47295848
des3_area,797,0.018041298,-0.31324714
des3_area,285,0.021089118,-0.31324714
des3_area,820,0.019626126,-0.31324714
des3_area,516,0.018096216,-0.31324714
des3_area,360,0.01826182,-0.15353581
des3_area,595,0.0206474,-0.15353581
des3_area,878,0.017582912,-0.15353581
des3_area,971,0.02249327,-0.15353581
des3_area,538,0.020036086,0.0061755045
des3_area,331,0.014714137,0.0061755045
des3_area,430,0.01991827,0.0061755045
des3_area,230,0.022988413,0.16588683
des3_area,21,0.014796969,0.32559815
des3_area,491,0.023202043,0.32559815
des3_area,216,0.021164685,0.48530948
des3_area,960,0.02079697,0.48530948
des3_area,224,0.022654664,0.6450208
des3_area,779,0.02001825,0.80473214
des3_area,639,0.022648033,0.80473214
des3_area,84,0.020583637,0.80473214
des3_area,904,0.02201534,0.80473214
des3_area,778,0.020643186,0.96444345
des3_area,943,0.020538665,1.1241548
des3_area,911,0.02390907,1.283866
des3_area,223,0.022650376,1.4435774
des3_area,542,0.022818115,1.4435774
des3_area,827,0.025999136,1.6032888
des3_area,411,0.022791825,1.763
