designs,synID,prediction,actual
ethernet,692,1.0197388,-0.95135003
ethernet,367,1.0160266,-0.94047225
ethernet,218,1.018006,-0.8534499
ethernet,865,1.0170598,-0.5706273
ethernet,825,1.0175278,-0.49448273
ethernet,472,1.0154636,-0.48360494
ethernet,922,1.0169705,-0.42921597
ethernet,620,1.0161827,-0.3857048
ethernet,408,1.0163773,-0.32043803
ethernet,877,1.0158613,-0.30956024
ethernet,939,1.0185868,-0.24429348
ethernet,632,1.0165173,-0.2334157
ethernet,522,1.0145482,-0.17902672
ethernet,157,1.0156626,-0.16814893
ethernet,879,1.0196387,-0.14639334
ethernet,946,1.0151768,-0.10288217
ethernet,166,1.0153538,0.17994046
ethernet,252,1.0142046,0.21257384
ethernet,881,1.0155421,0.2887184
ethernet,372,1.0176512,0.4301297
ethernet,672,1.015923,0.48451868
ethernet,139,1.0164751,0.941386
ethernet,560,1.0205302,1.0719196
ethernet,776,1.01944,1.1263084
ethernet,746,1.0151427,1.1589419
ethernet,311,1.017807,2.5621772
ethernet,818,1.0184822,2.8558776
ethernet,144,1.0203044,3.5629342
