designs,synID,prediction,actual
fir,728,0.038304567,-2.161095
fir,39,0.03458927,-1.6466761
fir,896,0.042077705,-1.4216179
fir,152,0.037269283,-1.3573155
fir,83,0.038905866,-1.2287108
fir,108,0.036407106,-1.1965597
fir,246,0.036184818,-1.1965597
fir,703,0.035544116,-0.7785943
fir,875,0.03975336,-0.5213849
fir,686,0.036983557,-0.48923373
fir,713,0.039790962,-0.45708257
fir,248,0.039583206,-0.42493138
fir,960,0.040297475,-0.3927802
fir,615,0.038455386,-0.23202433
fir,399,0.039218467,-0.19987315
fir,813,0.035365786,0.057336263
fir,346,0.0379672,0.21809214
fir,94,0.036809094,0.3145457
fir,168,0.039335504,0.4109992
fir,935,0.03592185,0.6682086
fir,842,0.036707316,0.76466215
fir,247,0.04185821,1.0540228
fir,702,0.042943705,1.0861739
fir,676,0.035405684,1.0861739
fir,249,0.03946819,1.1183251
fir,940,0.035396144,1.2147787
fir,851,0.03573154,1.664895
