designs,synID,prediction,actual
fpu,335,0.054451086,-1.5298822
fpu,727,0.059260823,-1.0795729
fpu,231,0.059989013,-1.0258046
fpu,292,0.06199432,-0.9182681
fpu,399,0.06358916,-0.8040105
fpu,780,0.058975242,-0.73680013
fpu,640,0.056268405,-0.23944359
fpu,731,0.057190362,-0.118464954
fpu,637,0.05987014,0.056281943
fpu,644,0.058304112,0.264634
fpu,655,0.061798993,0.34528643
fpu,954,0.060718838,0.3923337
fpu,667,0.06326978,0.3990547
fpu,630,0.056734063,0.41921782
fpu,790,0.059469447,0.41921782
fpu,475,0.05879606,0.50659126
fpu,63,0.061856326,0.5401964
fpu,712,0.056931205,0.6141278
fpu,991,0.05577536,0.69478023
fpu,463,0.059598386,1.0039479
fpu,574,0.057760045,1.037553
fpu,93,0.06307739,1.0577161
fpu,125,0.0597042,1.2123
fpu,434,0.060529467,1.5214674
fpu,140,0.057677656,1.7163775
fpu,502,0.059634697,2.5363438
