designs,synID,prediction,actual
iir,786,0.04045753,-1.5139568
iir,600,0.03949687,-1.4884712
iir,723,0.04148566,-1.361043
iir,524,0.037257433,-1.2845861
iir,165,0.037953205,-1.1316724
iir,872,0.037716404,-1.0807011
iir,732,0.038731787,-0.9787586
iir,413,0.03466919,-0.9787586
iir,876,0.0326203,-0.96601576
iir,344,0.039240185,-0.96601576
iir,860,0.040701672,-0.71115947
iir,113,0.037209615,-0.6474454
iir,146,0.0399898,-0.62195975
iir,578,0.034538254,-0.5327601
iir,74,0.039604977,-0.44356036
iir,223,0.04069297,-0.40533194
iir,353,0.039543584,-0.40533194
iir,189,0.038495935,-0.32887504
iir,766,0.03708009,-0.3033894
iir,686,0.03765271,-0.2906466
iir,709,0.037411492,-0.2014469
iir,864,0.03636592,-0.124990016
iir,419,0.035134926,0.04066657
iir,79,0.038758714,0.09163782
iir,187,0.04128268,0.20632315
iir,60,0.03804961,0.23180878
iir,363,0.038458686,0.25729442
iir,262,0.035601646,0.28278002
iir,940,0.03601567,0.35923693
iir,763,0.04346013,0.4356938
iir,704,0.03315814,0.44843662
iir,382,0.03448643,0.626836
iir,37,0.035660975,0.66506445
iir,749,0.0372522,0.8816923
iir,928,0.038014792,1.0218632
iir,137,0.03666834,1.1875198
iir,478,0.035479613,1.4168905
iir,493,0.03811019,1.5698043
iir,818,0.03763959,1.5698043
iir,178,0.03336206,1.7864321
