designs,synID,prediction,actual
jpeg,563,0.33374387,-1.5632375
jpeg,642,0.3378129,-1.4057833
jpeg,634,0.3381886,-1.1433595
jpeg,439,0.33591115,-1.1315081
jpeg,477,0.33427584,-1.0316178
jpeg,881,0.3369155,-0.9622025
jpeg,469,0.3369562,-0.80305517
jpeg,285,0.334495,-0.7945899
jpeg,470,0.33661264,-0.7928968
jpeg,779,0.3361652,-0.69300646
jpeg,54,0.33547485,-0.6405217
jpeg,497,0.3333581,-0.59650224
jpeg,270,0.33566767,-0.5474036
jpeg,262,0.33535945,-0.33746457
jpeg,118,0.33786982,-0.2782076
jpeg,349,0.33751827,-0.20879227
jpeg,226,0.33658785,-0.17831725
jpeg,808,0.33521295,-0.100436635
jpeg,527,0.339773,-0.0394866
jpeg,234,0.33775938,0.3753123
jpeg,609,0.33821404,0.6800625
jpeg,840,0.33687449,0.7308542
jpeg,466,0.33342803,0.98650575
jpeg,879,0.33748043,1.0203669
jpeg,87,0.33692867,1.0389905
jpeg,58,0.3327216,1.0711585
jpeg,681,0.33724278,1.2201476
jpeg,638,0.3371306,1.4978088
