designs,synID,prediction,actual
pci,314,0.1768383,-1.8615708
pci,289,0.18133475,-1.6258892
pci,380,0.17849904,-1.0535195
pci,31,0.18090147,-0.98618186
pci,184,0.17853734,-0.95251304
pci,2,0.17806439,-0.9188442
pci,363,0.18468313,-0.85150665
pci,498,0.18389857,-0.68316257
pci,153,0.17922452,-0.61582494
pci,792,0.1818409,-0.61582494
pci,588,0.18501054,-0.5821561
pci,750,0.18211198,-0.54848737
pci,735,0.17989638,-0.4138121
pci,229,0.18149309,-0.31280568
pci,24,0.1778472,-0.24546807
pci,605,0.18386194,-0.17813045
pci,713,0.18283778,-0.077124014
pci,845,0.18072511,-0.04345521
pci,168,0.18303949,0.09122003
pci,956,0.1808899,0.2932329
pci,937,0.18563533,0.2932329
pci,590,0.18244034,0.6972586
pci,72,0.18285838,1.0002779
pci,783,0.1806201,1.4043036
