designs,synID,prediction,actual
i2c,856,0.02301576,0.5943305
i2c,412,0.024371855,0.27141252
i2c,975,0.026001226,1.8860022
i2c,974,0.02659262,-1.3431772
i2c,212,0.026866335,-0.69734126
i2c,877,0.02719142,-1.0202593
i2c,178,0.027213722,0.513601
i2c,449,0.027223695,0.10995356
i2c,991,0.027536608,-0.77807075
i2c,972,0.027946375,0.352142
i2c,243,0.02830202,-1.0202593
i2c,564,0.028354123,1.2401663
i2c,461,0.02838988,1.9667317
i2c,229,0.02849824,-1.9890131
i2c,863,0.028908234,-1.9082836
i2c,551,0.029126246,-0.69734126
i2c,771,0.02924545,1.2401663
i2c,700,0.029360801,-0.29369387
i2c,567,0.029362123,0.4328715
i2c,18,0.029696438,0.9172484
i2c,234,0.029834688,-0.9395298
i2c,389,0.030322306,0.029224074
i2c,492,0.030379912,-0.9395298
i2c,741,0.03047819,0.029224074
i2c,987,0.030824296,0.9172484
i2c,525,0.031183552,-0.29369387
i2c,93,0.03137106,0.10995356
i2c,82,0.03192666,-0.5358823
i2c,931,0.03290156,-1.6660951
