designs,synID,prediction,actual
picosoc,777,1.0235053,-0.102671064
picosoc,801,1.0263903,-0.21146421
picosoc,19,1.0265393,0.30777583
picosoc,210,1.0275838,-0.18179335
picosoc,770,1.0277928,-1.1609317
picosoc,809,1.0280579,1.4946102
picosoc,890,1.0282632,-0.60213053
picosoc,780,1.0284853,-0.15706764
picosoc,0,1.0287782,2.4391325
picosoc,883,1.0290258,0.05557352
picosoc,989,1.0293585,0.80229014
picosoc,119,1.0294904,-0.18179335
picosoc,621,1.0297855,2.3649554
picosoc,353,1.029892,-0.8889488
picosoc,481,1.0300218,0.8715221
picosoc,656,1.0312854,-0.27080593
picosoc,49,1.0320609,0.30777583
picosoc,312,1.0325104,-0.9087294
picosoc,850,1.0325209,-0.19168364
picosoc,992,1.0328556,-0.6565271
