designs,synID,prediction,actual
sasc,617,0.03493777,-1.6014701
sasc,726,0.035745785,-1.184999
sasc,650,0.036523513,-2.4344122
sasc,446,0.03679664,0.89735633
sasc,380,0.0368217,0.89735633
sasc,204,0.03702155,-0.3520569
sasc,173,0.037825104,-0.768528
sasc,44,0.03811984,-0.3520569
sasc,3,0.038325537,1.3138274
sasc,200,0.038741052,-1.184999
sasc,966,0.038929757,0.48088527
sasc,514,0.039002005,0.064414196
sasc,405,0.039116073,-1.6014701
sasc,537,0.039259877,0.064414196
sasc,130,0.03929112,0.89735633
sasc,647,0.039689712,-2.0179412
sasc,513,0.039767236,1.3138274
sasc,455,0.039846573,1.3138274
sasc,300,0.040386006,0.48088527
sasc,732,0.040440656,-0.3520569
sasc,462,0.040466003,0.89735633
sasc,403,0.040623914,1.3138274
sasc,971,0.040754944,1.7302985
sasc,841,0.04077839,0.89735633
sasc,345,0.04086438,-1.184999
sasc,437,0.040915802,-1.6014701
sasc,668,0.040957816,-0.3520569
sasc,646,0.041409705,0.48088527
sasc,107,0.04146418,1.3138274
sasc,374,0.041561037,-0.768528
sasc,398,0.041733794,0.064414196
sasc,511,0.041845754,-0.3520569
sasc,678,0.04204964,0.48088527
sasc,508,0.04256414,0.064414196
sasc,116,0.04280325,0.48088527
sasc,984,0.044537768,1.7302985
