designs,synID,prediction,actual
sha256,880,0.13570246,1.1904802
sha256,523,0.13660185,-0.47685903
sha256,28,0.13668638,-0.84582204
sha256,236,0.13732144,0.8028355
sha256,990,0.1380055,-0.71505034
sha256,482,0.1381999,-0.38345066
sha256,640,0.13855535,0.9476185
sha256,944,0.13886496,-0.72439116
sha256,693,0.13936874,0.7281088
sha256,213,0.13945954,0.6206892
sha256,779,0.1394729,-0.6076307
sha256,577,0.13949692,-1.0279684
sha256,886,0.13986287,-0.4441661
sha256,267,0.13991134,-1.2007738
sha256,518,0.14012155,0.7467905
sha256,448,0.14012384,-0.93456
sha256,4,0.14025915,1.0176748
sha256,698,0.1403352,-0.46751818
sha256,442,0.14049026,-0.97659373
sha256,240,0.14055276,1.2838886
sha256,134,0.14071259,2.5635831
sha256,169,0.14074501,0.8588805
sha256,286,0.1408068,-1.0559908
sha256,470,0.1409197,-1.0092866
sha256,300,0.14092639,-1.448306
sha256,987,0.14108813,-0.7944474
sha256,307,0.14201784,-1.4809989
sha256,328,0.14233871,-0.72439116
sha256,800,0.1423727,-0.8504925
sha256,56,0.14243646,0.7701426
sha256,304,0.14264506,-0.93456
sha256,114,0.14384568,1.0083339
sha256,981,0.14464915,-0.5142224
