designs,synID,prediction,actual
spi,777,0.08567425,-1.1149263
spi,704,0.08786133,1.114729
spi,808,0.088578105,-1.0501646
spi,536,0.088728026,0.6984033
spi,446,0.08891417,1.1332324
spi,441,0.08947891,-0.8466276
spi,991,0.08954492,0.84643024
spi,523,0.08983505,-0.7911175
spi,589,0.09052929,-0.60608387
spi,841,0.090632804,1.0869739
spi,37,0.09081213,1.1424841
spi,235,0.09087284,-0.6338389
spi,862,0.09104666,-0.9021377
spi,709,0.09123932,1.1054773
spi,863,0.09148258,-1.1334298
spi,80,0.091619216,0.9574504
spi,202,0.091719314,1.114729
spi,139,0.092106536,-0.9483961
spi,149,0.092397034,0.68915164
spi,889,0.09279476,-1.2074432
spi,389,0.09295875,-1.1334298
spi,597,0.09339057,-0.93914443
spi,193,0.09358735,-0.41179854
spi,664,0.09376194,0.9852055
spi,273,0.09380397,-1.2166948
spi,324,0.09395522,-1.0501646
spi,833,0.093999356,1.1332324
spi,639,0.09401676,1.2164975
spi,70,0.09425248,-1.1149263
spi,568,0.0942867,-0.8281242
spi,642,0.094368905,1.1239806
spi,422,0.094641596,0.8371785
spi,483,0.095538035,0.68915164
spi,110,0.09610668,0.8556819
spi,549,0.096506044,-1.1889398
spi,75,0.0966828,0.8094235
spi,363,0.09674681,0.8371785
spi,247,0.09704389,-1.0131578
spi,885,0.09716296,1.1054773
spi,126,0.09751868,-1.0594163
spi,377,0.09907278,1.1054773
