designs,synID,prediction,actual
tinyRocket,278,0.28911078,-0.970317
tinyRocket,132,0.2901097,0.4569535
tinyRocket,7,0.29192135,-0.08648423
tinyRocket,686,0.29247606,-1.1315567
tinyRocket,543,0.29252988,-0.18203372
tinyRocket,60,0.2931639,-0.15814635
tinyRocket,8,0.29320723,-0.4268793
tinyRocket,97,0.29354542,-1.0240636
tinyRocket,260,0.29416054,0.6361088
tinyRocket,324,0.29417852,0.1523895
tinyRocket,311,0.29428324,1.6572939
tinyRocket,218,0.29438844,0.3196011
tinyRocket,612,0.29448166,2.1768444
tinyRocket,734,0.2946952,-0.9046267
tinyRocket,355,0.29470092,-1.0121199
tinyRocket,480,0.29475823,0.2359953
tinyRocket,711,0.29479018,1.2631524
tinyRocket,207,0.29481906,-0.050653175
tinyRocket,239,0.2949865,0.67193985
tinyRocket,588,0.29550397,-0.43882298
tinyRocket,542,0.2959739,1.1078844
tinyRocket,203,0.2964261,0.21210793
tinyRocket,63,0.29646814,-0.14023082
tinyRocket,276,0.29659542,0.056840003
tinyRocket,421,0.29727185,3.2816353
tinyRocket,591,0.29747945,1.2273213
