designs,synID,prediction,actual
tv80,726,0.077786766,0.91816837
tv80,862,0.078241765,-0.6511778
tv80,327,0.078324035,4.0663147
tv80,934,0.0784342,-0.7835323
tv80,923,0.07884584,-0.5566389
tv80,910,0.07886803,0.19967252
tv80,464,0.0792878,0.68182105
tv80,492,0.07929501,-0.7929862
tv80,572,0.0795855,-1.2373191
tv80,349,0.07960825,-0.9253407
tv80,913,0.07981022,-0.9253407
tv80,200,0.079940364,1.3625013
tv80,676,0.08001054,-0.25411433
tv80,167,0.08042875,-0.7835323
tv80,973,0.08100128,0.596736
tv80,791,0.08111989,-0.811894
tv80,634,0.081598975,0.057864126
tv80,403,0.081749536,-0.9347946
tv80,265,0.08212135,0.55892044
tv80,734,0.08248061,-0.21629876
tv80,754,0.0826648,0.4832893
tv80,882,0.08281337,-0.19739097
tv80,241,0.082877904,-0.36756104
tv80,10,0.082993194,0.42656595
tv80,168,0.083127216,-0.6700856
tv80,123,0.08355932,1.6272103
tv80,363,0.083840996,1.4475863
tv80,981,0.084976524,1.646118
tv80,772,0.08539954,0.057864126
