designs,synID,prediction,actual
vga_lcd,712,1.5741242,-0.030833533
vga_lcd,221,1.5742742,-0.9353887
vga_lcd,65,1.574386,-0.2471402
vga_lcd,322,1.5744416,0.06748768
vga_lcd,933,1.574556,-0.9353887
vga_lcd,206,1.5746381,-0.32579717
vga_lcd,461,1.5748736,1.2866707
vga_lcd,557,1.5751884,0.95237863
vga_lcd,478,1.5752454,-0.77807474
vga_lcd,414,1.575406,-0.6207608
vga_lcd,602,1.5758421,0.4411083
vga_lcd,329,1.5759424,1.384992
vga_lcd,947,1.576242,0.61808646
vga_lcd,217,1.5766982,-0.22747596
vga_lcd,85,1.5769066,-1.0337099
vga_lcd,454,1.5769587,0.8147289
vga_lcd,215,1.5771378,0.5394295
vga_lcd,987,1.5773116,-0.4634469
vga_lcd,473,1.5777985,-0.71908206
vga_lcd,248,1.5779889,-0.9353887
vga_lcd,245,1.5781777,-0.2471402
vga_lcd,258,1.5782565,-0.5224396
vga_lcd,169,1.5782716,0.12648042
vga_lcd,567,1.5785334,-0.3847899
vga_lcd,568,1.5786295,2.2305543
vga_lcd,501,1.5792106,-1.4269948
vga_lcd,255,1.5805858,0.97204286
