design,top1,top5,top10,top15,top20,top25
iir,0,0.0,0.0,0.0,0.125,0.2
dynamic_node,0,0.0,0.5,0.3333333333333333,0.25,0.4
ac97_ctrl,0,0.0,0.0,0.3333333333333333,0.5,0.4
jpeg,0,0.0,0.0,0.25,0.4,0.2857142857142857
picosoc,0,0.0,0.0,0.0,0.0,0.2
usb_phy,0,0.0,0.0,0.0,0.2,0.16666666666666666
sasc,0,0.0,0.6666666666666666,0.4,0.42857142857142855,0.3333333333333333
wb_dma,0,0.0,0.0,0.0,0.0,0.0
pci,0,1.0,0.5,0.3333333333333333,0.5,0.6666666666666666
bp_be,0,0.0,0.0,0.0,0.2,0.3333333333333333
sha256,0,0.0,0.0,0.0,0.0,0.0
tv80,0,0.0,0.0,0.0,0.0,0.14285714285714285
wb_conmax,0,0.0,0.0,0.3333333333333333,0.25,0.5
spi,0,0.0,0.0,0.0,0.125,0.2
tinyRocket,0,0.0,0.0,0.0,0.4,0.3333333333333333
aes_secworks,0,0.0,0.0,0.25,0.4,0.42857142857142855
ss_pcm,0,0.0,0.0,0.0,0.0,0.16666666666666666
i2c,0,0.0,0.0,0.25,0.2,0.2857142857142857
simple_spi,0,0.0,0.0,0.0,0.0,0.1
aes_xcrypt,0,0.0,0.0,0.2,0.3333333333333333,0.25
des3_area,0,0.0,0.0,0.2,0.14285714285714285,0.2222222222222222
vga_lcd,0,0.0,0.0,0.25,0.4,0.3333333333333333
aes,0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857
fir,0,0.0,0.5,0.25,0.2,0.16666666666666666
fpu,0,1.0,0.5,0.3333333333333333,0.2,0.16666666666666666
mem_ctrl,0,0.0,0.0,0.4,0.2857142857142857,0.25
ethernet,0,0.0,0.0,0.0,0.0,0.14285714285714285
