designs,synID,prediction,actual
ac97_ctrl,108,0.5460248,-1.3278613
ac97_ctrl,236,0.22650608,-1.307652
ac97_ctrl,122,0.21796666,-1.2470239
ac97_ctrl,78,0.34653103,-1.2066053
ac97_ctrl,204,0.005438476,-1.1661866
ac97_ctrl,121,0.22150369,-1.1459773
ac97_ctrl,141,-0.27634594,-1.1459773
ac97_ctrl,41,0.14838861,-1.125768
ac97_ctrl,248,-0.27634594,-1.1055586
ac97_ctrl,213,-0.27634594,-1.1055586
ac97_ctrl,232,0.6664644,-1.0853492
ac97_ctrl,151,-0.27634594,-1.0853492
ac97_ctrl,12,0.19734147,-1.0853492
ac97_ctrl,237,-0.27634594,-1.0853492
ac97_ctrl,57,0.40301782,-1.0853492
ac97_ctrl,77,0.12271351,-1.0651399
ac97_ctrl,196,0.23108281,-1.0651399
ac97_ctrl,2,-0.27634594,-1.0651399
ac97_ctrl,133,0.15283546,-1.0651399
ac97_ctrl,132,-0.27634594,-1.0651399
ac97_ctrl,68,-0.27634594,-1.0449306
ac97_ctrl,76,-0.27634594,-1.0449306
ac97_ctrl,19,0.0022353968,-1.0449306
ac97_ctrl,106,0.20559336,-1.0247213
ac97_ctrl,131,0.2709963,-1.0247213
ac97_ctrl,16,-0.27634594,-1.0247213
ac97_ctrl,152,-0.11923213,-1.0045118
ac97_ctrl,34,0.18343163,-1.0045118
ac97_ctrl,71,0.53762496,-1.0045118
ac97_ctrl,8,0.27989382,-1.0045118
ac97_ctrl,90,-0.29370892,-0.9843025
ac97_ctrl,209,0.4494172,-0.9843025
ac97_ctrl,113,0.37370238,-0.9843025
ac97_ctrl,39,-0.2134167,-0.9640932
ac97_ctrl,4,-0.21595514,-0.9640932
ac97_ctrl,166,-0.27634594,-0.9640932
ac97_ctrl,242,-0.2384223,-0.9438839
ac97_ctrl,54,0.056465656,-0.9438839
ac97_ctrl,24,-0.27634594,-0.9438839
ac97_ctrl,115,0.091210075,-0.9438839
ac97_ctrl,32,0.09005457,-0.9034652
ac97_ctrl,79,-0.27634594,-0.9034652
ac97_ctrl,215,0.44636062,-0.9034652
ac97_ctrl,227,0.23607211,-0.9034652
ac97_ctrl,243,-0.07304523,-0.88325584
ac97_ctrl,101,0.75018835,-0.88325584
ac97_ctrl,84,0.42469767,-0.88325584
ac97_ctrl,119,0.07926873,-0.8630465
ac97_ctrl,98,0.1373933,-0.8630465
ac97_ctrl,118,0.09520047,-0.8630465
ac97_ctrl,91,0.4422555,-0.8630465
ac97_ctrl,180,-0.27634594,-0.82262784
ac97_ctrl,66,0.35337052,-0.82262784
ac97_ctrl,49,-0.27634594,-0.82262784
ac97_ctrl,246,0.3699532,-0.82262784
ac97_ctrl,224,0.3438354,-0.80241853
ac97_ctrl,143,0.14703071,-0.80241853
ac97_ctrl,228,-0.27634594,-0.80241853
ac97_ctrl,225,0.39161432,-0.78220916
ac97_ctrl,11,0.22238898,-0.78220916
ac97_ctrl,130,0.029793944,-0.76199985
ac97_ctrl,222,0.6113026,-0.76199985
ac97_ctrl,27,-0.27634594,-0.7417905
ac97_ctrl,177,0.4808107,-0.7417905
ac97_ctrl,208,0.8253536,-0.72158116
ac97_ctrl,150,0.036991738,-0.72158116
ac97_ctrl,53,-0.27634594,-0.7013718
ac97_ctrl,25,0.7122202,-0.7013718
ac97_ctrl,221,-0.2748888,-0.6811625
ac97_ctrl,117,0.12295472,-0.6811625
ac97_ctrl,249,1.1817902,-0.6811625
ac97_ctrl,205,-0.27634594,-0.66095316
ac97_ctrl,72,0.31221402,-0.66095316
ac97_ctrl,186,0.4198135,-0.66095316
ac97_ctrl,134,-0.27634594,-0.6407438
ac97_ctrl,103,0.046917196,-0.6407438
ac97_ctrl,28,0.320861,-0.6205345
ac97_ctrl,104,0.4595614,-0.6003251
ac97_ctrl,226,0.33319864,-0.5801158
ac97_ctrl,1,0.7379887,-0.5801158
ac97_ctrl,128,-0.27634594,-0.49927843
ac97_ctrl,178,0.60262084,-0.49927843
ac97_ctrl,48,0.4416493,-0.49927843
ac97_ctrl,171,0.54773754,-0.47906908
ac97_ctrl,82,0.603042,-0.47906908
ac97_ctrl,56,-0.27634594,-0.4184411
ac97_ctrl,74,0.089021355,-0.4184411
ac97_ctrl,109,-0.27634594,-0.3780224
ac97_ctrl,170,0.20052625,-0.35781306
ac97_ctrl,92,0.40627676,-0.33760372
ac97_ctrl,62,-0.27634594,-0.31739438
ac97_ctrl,245,-0.27634594,-0.25676638
ac97_ctrl,18,0.6654323,-0.25676638
ac97_ctrl,116,-0.27634594,-0.25676638
ac97_ctrl,142,-0.27634594,-0.17592902
ac97_ctrl,15,0.459893,-0.17592902
ac97_ctrl,138,-0.27634594,-0.11530101
ac97_ctrl,238,-0.27634594,-0.074882336
ac97_ctrl,165,-0.22122467,0.6930725
ac97_ctrl,197,-0.27634594,0.71328187
ac97_ctrl,202,-0.27634594,0.71328187
ac97_ctrl,235,0.09785517,0.75370055
ac97_ctrl,95,-0.27634594,0.75370055
ac97_ctrl,100,-0.27634594,0.77390987
ac97_ctrl,219,-0.27634594,0.77390987
ac97_ctrl,123,-0.27634594,0.7941192
ac97_ctrl,201,-0.27634594,0.7941192
ac97_ctrl,187,0.31170323,0.81432855
ac97_ctrl,220,-0.27634594,0.85474724
ac97_ctrl,29,-0.27634594,0.87495655
ac97_ctrl,183,-0.27634594,0.87495655
ac97_ctrl,111,0.0013332507,0.87495655
ac97_ctrl,44,-0.27634594,0.87495655
ac97_ctrl,193,0.23533393,0.8951659
ac97_ctrl,88,-0.2645853,0.91537523
ac97_ctrl,102,-0.27634594,0.93558455
ac97_ctrl,162,0.34770378,0.93558455
ac97_ctrl,5,0.31087363,0.93558455
ac97_ctrl,85,-0.2918582,0.9557939
ac97_ctrl,194,0.45609042,0.9760032
ac97_ctrl,23,-0.27634594,1.0164219
ac97_ctrl,87,-0.27634594,1.0568405
ac97_ctrl,14,-0.27634594,1.07705
ac97_ctrl,69,-0.27634594,1.0972593
ac97_ctrl,38,0.3741275,1.0972593
ac97_ctrl,240,0.33090356,1.1174686
ac97_ctrl,164,0.5313809,1.1174686
ac97_ctrl,17,0.08046266,1.1376779
ac97_ctrl,94,-0.27634594,1.1376779
ac97_ctrl,86,-0.27634594,1.1376779
ac97_ctrl,234,-0.25171524,1.1578873
ac97_ctrl,218,0.17807336,1.1578873
ac97_ctrl,182,-0.27634594,1.1780967
ac97_ctrl,157,0.028056793,1.1780967
ac97_ctrl,229,0.16791865,1.198306
ac97_ctrl,145,0.2010247,1.198306
ac97_ctrl,155,-0.27634594,1.198306
ac97_ctrl,139,0.41892222,1.2387246
ac97_ctrl,212,0.14271282,1.2387246
ac97_ctrl,125,-0.27634594,1.258934
ac97_ctrl,247,0.11948747,1.258934
ac97_ctrl,217,-0.27634594,1.2791433
ac97_ctrl,206,0.17856199,1.2993526
ac97_ctrl,37,0.27524915,1.4206086
ac97_ctrl,0,-0.22617973,1.501446
ac97_ctrl,59,-0.27634594,1.5620741
ac97_ctrl,203,-0.27634594,1.5822834
ac97_ctrl,75,-0.27634594,1.6227021
ac97_ctrl,147,-0.27634594,1.6227021
ac97_ctrl,185,-0.28657588,1.6429114
ac97_ctrl,35,-0.27634594,1.6631207
ac97_ctrl,135,-0.27634594,1.68333
ac97_ctrl,167,-0.27634594,1.7237488
ac97_ctrl,51,-0.27634594,1.7439581
ac97_ctrl,160,0.5069603,1.9662608
ac97_ctrl,112,0.21730751,2.4108663
ac97_ctrl,105,0.23170732,2.6937969
