designs,synID,prediction,actual
aes_secworks,173,-0.27634594,-1.7850412
aes_secworks,87,-0.27634594,-1.6134974
aes_secworks,65,0.40971622,-1.5923481
aes_secworks,75,-0.27634594,-1.568849
aes_secworks,24,-0.27634594,-1.5336002
aes_secworks,135,0.22362737,-1.5148009
aes_secworks,120,0.36397222,-1.4983515
aes_secworks,182,-0.27634594,-1.4795521
aes_secworks,152,0.25582862,-1.4184544
aes_secworks,39,0.24127793,-1.4161044
aes_secworks,127,-0.27634594,-1.402005
aes_secworks,16,0.21314454,-1.3973051
aes_secworks,56,-0.27634594,-1.3761559
aes_secworks,176,-0.27634594,-1.3526567
aes_secworks,189,0.5212377,-1.3385572
aes_secworks,51,-0.27634594,-1.3362074
aes_secworks,53,0.11850672,-1.3291576
aes_secworks,14,-0.27634594,-1.3103583
aes_secworks,124,0.29734227,-1.3033085
aes_secworks,70,-0.27634594,-1.3009586
aes_secworks,97,-0.27634594,-1.1928625
aes_secworks,68,0.114251874,-1.176413
aes_secworks,195,-0.27634594,-1.1529139
aes_secworks,35,-0.27634594,-1.1411644
aes_secworks,234,0.09631481,-1.0847664
aes_secworks,169,-0.27634594,-1.0777167
aes_secworks,27,-0.27634594,-1.0636171
aes_secworks,76,-0.27634594,-1.0189688
aes_secworks,204,0.31817406,-0.9085227
aes_secworks,237,-0.054328192,-0.8850236
aes_secworks,151,0.093076885,-0.87797385
aes_secworks,6,0.8548632,-0.873274
aes_secworks,240,0.6018312,-0.85212475
aes_secworks,213,-0.27634594,-0.83567536
aes_secworks,138,-0.06648695,-0.83332545
aes_secworks,118,0.3714429,-0.8239258
aes_secworks,41,0.4177961,-0.76987773
aes_secworks,74,0.36544678,-0.7651779
aes_secworks,4,0.2409307,-0.762828
aes_secworks,142,-0.27634594,-0.75342834
aes_secworks,116,-0.008143765,-0.7510784
aes_secworks,147,-0.080861576,-0.7393288
aes_secworks,125,-0.10279949,-0.734629
aes_secworks,218,0.45186362,-0.67118126
aes_secworks,126,0.26690876,-0.65238196
aes_secworks,54,0.3453842,-0.63358265
aes_secworks,239,0.82676435,-0.60773355
aes_secworks,114,0.113520406,-0.5795346
aes_secworks,60,0.6124666,-0.5583853
aes_secworks,63,0.16628994,-0.5583853
aes_secworks,31,-0.039859485,-0.49493763
aes_secworks,33,0.7806278,-0.4784882
aes_secworks,130,0.3311616,-0.47378838
aes_secworks,222,0.88223016,-0.47378838
aes_secworks,148,-0.27634594,-0.45263913
aes_secworks,110,0.36842513,-0.45028922
aes_secworks,227,0.5081464,-0.44088957
aes_secworks,179,-0.08166684,-0.42209023
aes_secworks,55,0.8023575,-0.41269058
aes_secworks,223,-0.27634594,-0.41034067
aes_secworks,79,-0.27634594,-0.400941
aes_secworks,58,1.0366435,-0.400941
aes_secworks,150,0.3349999,-0.39389125
aes_secworks,15,0.7308206,-0.38214168
aes_secworks,170,0.4736522,-0.38214168
aes_secworks,230,0.22685291,-0.3680422
aes_secworks,92,0.6772044,-0.35159278
aes_secworks,1,1.0089163,-0.34689295
aes_secworks,167,-0.27634594,-0.3257437
aes_secworks,232,0.9373919,-0.2763955
aes_secworks,37,0.5461767,-0.2763955
aes_secworks,78,0.61745864,-0.26699582
aes_secworks,40,0.6778309,-0.2481965
aes_secworks,61,-0.27634594,-0.21294777
aes_secworks,247,0.39501125,-0.17064929
aes_secworks,82,0.8739694,-0.16594946
aes_secworks,128,-0.27634594,-0.15419988
aes_secworks,185,-0.27634594,-0.14010039
aes_secworks,85,-0.27634594,-0.13540056
aes_secworks,49,-0.27634594,-0.12365098
aes_secworks,98,0.41238728,-0.10485166
aes_secworks,238,-0.27634594,-0.095451996
aes_secworks,186,0.6907411,-0.08840225
aes_secworks,146,-0.27634594,-0.064903095
aes_secworks,71,0.80855244,-0.055503435
aes_secworks,217,-0.27634594,-0.053153522
aes_secworks,202,0.05188129,-0.053153522
aes_secworks,109,-0.27634594,-0.04845369
aes_secworks,192,-0.27634594,-0.046103776
aes_secworks,199,0.26156795,0.0055943653
aes_secworks,22,0.5279232,0.040843096
aes_secworks,161,0.3667598,0.05494259
aes_secworks,89,0.43793786,0.08784141
aes_secworks,229,0.4417459,0.09019132
aes_secworks,0,0.23942009,0.11839031
aes_secworks,113,0.64462984,0.15363903
aes_secworks,90,-0.27634594,0.15598895
aes_secworks,191,-0.27634594,0.16773853
aes_secworks,131,0.542037,0.18183802
aes_secworks,214,0.33640936,0.20533718
aes_secworks,72,0.58314157,0.2076871
aes_secworks,187,0.5826309,0.23118624
aes_secworks,122,0.4905766,0.23353617
aes_secworks,103,0.3402926,0.24763565
aes_secworks,20,1.0620735,0.25938523
aes_secworks,111,0.31593952,0.2828844
aes_secworks,52,-0.27634594,0.29698387
aes_secworks,166,0.20063953,0.30168372
aes_secworks,94,-0.27634594,0.31813312
aes_secworks,83,0.276815,0.32048303
aes_secworks,17,0.35664803,0.33928236
aes_secworks,183,-0.27634594,0.35338184
aes_secworks,145,0.4741359,0.35573176
aes_secworks,212,0.41754943,0.36043158
aes_secworks,215,0.71728826,0.3745311
aes_secworks,7,0.143821,0.3745311
aes_secworks,244,0.72347474,0.39803025
aes_secworks,203,-0.27634594,0.45677814
aes_secworks,93,-0.27634594,0.4661778
aes_secworks,123,-0.27634594,0.4685277
aes_secworks,3,0.44165364,0.50847626
aes_secworks,73,0.4565362,0.52257574
aes_secworks,9,-0.27634594,0.5625243
aes_secworks,102,-0.27634594,0.5789737
aes_secworks,69,-0.27634594,0.58837336
aes_secworks,194,0.72701794,0.5977731
aes_secworks,157,0.3302352,0.6024729
aes_secworks,42,0.58398193,0.6330218
aes_secworks,207,0.57672197,0.6400715
aes_secworks,221,0.21464463,0.68237
aes_secworks,171,0.81866485,0.7223186
aes_secworks,158,0.48594338,0.7293683
aes_secworks,220,-0.08756936,0.7434678
aes_secworks,99,0.7377728,0.85156393
aes_secworks,57,0.6739453,0.9690597
aes_secworks,12,0.47056162,0.97845936
aes_secworks,226,0.6041263,1.016058
aes_secworks,132,0.16695327,1.0372072
aes_secworks,235,0.3740191,1.0489569
aes_secworks,21,0.8740774,1.072456
aes_secworks,43,0.54037666,1.1359037
aes_secworks,174,0.47991425,1.152353
aes_secworks,45,0.7886482,1.1570529
aes_secworks,36,1.117591,1.1570529
aes_secworks,115,0.3675708,1.2134509
aes_secworks,38,0.6450551,1.3661954
aes_secworks,156,0.62928903,1.6317358
aes_secworks,172,0.6784005,1.7045832
