designs,synID,prediction,actual
aes_xcrypt,167,-0.27634594,-1.9531432
aes_xcrypt,204,0.14797837,-1.8622884
aes_xcrypt,37,0.37973443,-1.8395746
aes_xcrypt,85,-0.27634594,-1.8269559
aes_xcrypt,137,0.25797954,-1.7916234
aes_xcrypt,191,-0.27634594,-1.7537671
aes_xcrypt,56,-0.27634594,-1.7209585
aes_xcrypt,80,-0.27634594,-1.665436
aes_xcrypt,86,-0.27634594,-1.6376748
aes_xcrypt,51,-0.27634594,-1.5922474
aes_xcrypt,190,-0.27634594,-1.5392487
aes_xcrypt,160,0.6114454,-1.5266299
aes_xcrypt,23,-0.27634594,-1.4786787
aes_xcrypt,153,0.1800645,-1.3878238
aes_xcrypt,206,0.28589547,-1.3247302
aes_xcrypt,198,-0.27634594,-1.2944452
aes_xcrypt,24,-0.27634594,-1.2616365
aes_xcrypt,187,0.41618857,-1.2591127
aes_xcrypt,130,0.16136196,-1.2035903
aes_xcrypt,29,-0.27634594,-1.165734
aes_xcrypt,105,0.33746818,-1.1177828
aes_xcrypt,59,-0.20354684,-1.0950692
aes_xcrypt,220,-0.27634594,-1.0874978
aes_xcrypt,109,-0.27634594,-1.0799266
aes_xcrypt,184,-0.27634594,-1.0748792
aes_xcrypt,93,-0.27634594,-1.0698316
aes_xcrypt,202,-0.27634594,-1.0597366
aes_xcrypt,216,-0.27634594,-0.9890717
aes_xcrypt,61,-0.27634594,-0.9815005
aes_xcrypt,182,-0.27634594,-0.9436443
aes_xcrypt,149,-0.27634594,-0.93607306
aes_xcrypt,166,-0.014916343,-0.9285018
aes_xcrypt,234,-0.27634594,-0.88812184
aes_xcrypt,117,0.23062588,-0.8755031
aes_xcrypt,244,0.5570324,-0.8300757
aes_xcrypt,147,-0.27634594,-0.76193446
aes_xcrypt,122,0.32413426,-0.7215545
aes_xcrypt,41,0.2506381,-0.716507
aes_xcrypt,14,-0.27634594,-0.7139833
aes_xcrypt,68,-0.27634594,-0.7089358
aes_xcrypt,138,-0.27634594,-0.7038883
aes_xcrypt,106,0.3121269,-0.6988408
aes_xcrypt,232,0.77094954,-0.6887458
aes_xcrypt,214,0.16676983,-0.6761271
aes_xcrypt,49,-0.27634594,-0.6710796
aes_xcrypt,120,0.19517297,-0.6685558
aes_xcrypt,229,0.27530354,-0.63069963
aes_xcrypt,60,0.44602403,-0.62817585
aes_xcrypt,129,-0.27634594,-0.61303335
aes_xcrypt,143,0.25470182,-0.5877959
aes_xcrypt,203,-0.27634594,-0.5777009
aes_xcrypt,192,-0.27634594,-0.5751772
aes_xcrypt,62,-0.27634594,-0.5625584
aes_xcrypt,28,0.42534626,-0.5221785
aes_xcrypt,242,-0.03524287,-0.507036
aes_xcrypt,188,-0.27634594,-0.486846
aes_xcrypt,99,0.57133055,-0.46665603
aes_xcrypt,195,-0.27634594,-0.43132356
aes_xcrypt,135,0.02691681,-0.39346737
aes_xcrypt,196,0.3368623,-0.3631824
aes_xcrypt,201,-0.015481603,-0.34046867
aes_xcrypt,118,0.20287156,-0.34046867
aes_xcrypt,131,0.37559468,-0.33289742
aes_xcrypt,168,-0.27634594,-0.32784992
aes_xcrypt,11,0.3284257,-0.27989873
aes_xcrypt,150,0.16531721,-0.27485123
aes_xcrypt,163,0.98714805,-0.26727998
aes_xcrypt,40,0.51138836,-0.26223248
aes_xcrypt,169,-0.27634594,-0.23699503
aes_xcrypt,243,0.10485077,-0.23699503
aes_xcrypt,42,0.41753957,-0.22690003
aes_xcrypt,31,-0.27634594,-0.20671006
aes_xcrypt,44,0.018310413,-0.18652007
aes_xcrypt,180,-0.27634594,-0.17894883
aes_xcrypt,27,-0.27634594,-0.17137758
aes_xcrypt,21,0.7076351,-0.1663301
aes_xcrypt,78,0.45101625,-0.14866386
aes_xcrypt,200,0.4316194,-0.14361636
aes_xcrypt,69,-0.27634594,-0.13352138
aes_xcrypt,209,0.55390227,-0.12847388
aes_xcrypt,148,-0.27634594,-0.098188914
aes_xcrypt,217,-0.27634594,-0.09061767
aes_xcrypt,222,0.71578777,-0.080522686
aes_xcrypt,189,0.35479525,-0.027523989
aes_xcrypt,82,0.70752716,-0.017429
aes_xcrypt,18,0.7699173,-0.0022865152
aes_xcrypt,171,0.65222263,0.00023723225
aes_xcrypt,92,0.5107621,0.015379717
aes_xcrypt,233,-0.27634594,0.027998453
aes_xcrypt,65,0.2423119,0.04061719
aes_xcrypt,154,0.24685818,0.04061719
aes_xcrypt,57,0.5075029,0.04061719
aes_xcrypt,230,0.032786723,0.04061719
aes_xcrypt,102,-0.27634594,0.058283422
aes_xcrypt,181,0.3709959,0.101187125
aes_xcrypt,95,-0.27634594,0.12894835
aes_xcrypt,75,-0.27634594,0.14661458
aes_xcrypt,139,0.52340746,0.20718452
