designs,synID,prediction,actual
bp_be,182,-0.27634594,-2.6015098
bp_be,173,-0.27634594,-2.446762
bp_be,167,-0.27634594,-1.8071388
bp_be,183,-0.27634594,-1.7968223
bp_be,14,-0.27634594,-1.6988155
bp_be,79,-0.27634594,-1.688499
bp_be,23,-0.27634594,-1.6420747
bp_be,233,-0.27634594,-1.6265999
bp_be,127,-0.27634594,-1.5750175
bp_be,147,-0.27634594,-1.4770106
bp_be,44,0.021036956,-1.3944786
bp_be,125,-0.27634594,-1.3738456
bp_be,90,-0.27634594,-1.3583708
bp_be,219,-0.27634594,-1.3480543
bp_be,205,-0.27634594,-1.3325796
bp_be,11,0.32987946,-1.280997
bp_be,80,-0.27634594,-1.2758387
bp_be,69,-0.27634594,-1.2294145
bp_be,49,-0.27634594,-1.2242563
bp_be,240,0.4368426,-1.1468824
bp_be,197,-0.27634594,-1.115933
bp_be,190,-0.27634594,-1.0901417
bp_be,85,-0.27634594,-1.0798252
bp_be,145,0.3091474,-1.0540339
bp_be,7,-0.12896733,-1.0385592
bp_be,51,-0.27634594,-0.96634364
bp_be,188,-0.27634594,-0.94055235
bp_be,64,-0.27634594,-0.94055235
bp_be,202,-0.27634594,-0.9250776
bp_be,120,0.19667116,-0.9199194
bp_be,218,0.2868751,-0.91476107
bp_be,139,0.5248613,-0.88896984
bp_be,52,-0.27634594,-0.8838116
bp_be,61,-0.27634594,-0.8683368
bp_be,199,0.09154867,-0.8373873
bp_be,213,-0.27634594,-0.81159604
bp_be,124,0.12800977,-0.79096305
bp_be,32,0.19922385,-0.78580475
bp_be,2,-0.27634594,-0.7806465
bp_be,204,0.14947656,-0.77033
bp_be,180,-0.27634594,-0.7393805
bp_be,161,0.19954376,-0.6929562
bp_be,154,0.24835637,-0.667165
bp_be,238,-0.27634594,-0.66200674
bp_be,203,-0.27634594,-0.65684843
bp_be,59,-0.19259477,-0.62589896
bp_be,78,0.45247012,-0.58463293
bp_be,53,-0.27634594,-0.5794747
bp_be,152,0.08580925,-0.5794747
bp_be,88,-0.27634594,-0.5639999
bp_be,97,-0.27634594,-0.5536834
bp_be,117,0.23212399,-0.5433669
bp_be,198,-0.27634594,-0.5330504
bp_be,166,-0.012190041,-0.5175756
bp_be,130,0.16286013,-0.47115135
bp_be,141,-0.27634594,-0.47115135
bp_be,35,-0.27634594,-0.45567662
bp_be,83,0.10685644,-0.42472708
bp_be,134,-0.27634594,-0.4144106
bp_be,216,-0.27634594,-0.40925232
bp_be,212,0.2518821,-0.40409407
bp_be,3,0.2766651,-0.39377758
bp_be,111,0.14717393,-0.3783028
bp_be,26,-0.27634594,-0.33187854
bp_be,231,-0.27634594,-0.32156202
bp_be,220,-0.27634594,-0.32156202
bp_be,87,-0.27634594,-0.280296
bp_be,131,0.37704852,-0.27513775
bp_be,157,0.1619056,-0.25450474
bp_be,211,-0.27634594,-0.2493465
bp_be,17,0.1891236,-0.23902999
bp_be,63,-0.07469931,-0.22355524
bp_be,71,0.643564,-0.21839698
bp_be,116,-0.27634594,-0.1513397
bp_be,84,0.53063667,-0.13070668
bp_be,110,0.2012599,-0.12554844
bp_be,243,0.10634901,-0.12039018
bp_be,248,-0.27634594,-0.099757165
bp_be,89,0.27289224,-0.08428241
bp_be,153,0.1815627,-0.068807654
bp_be,235,0.20702446,-0.00690862
bp_be,228,0.030052077,-0.0017503671
bp_be,93,-0.27634594,0.013724391
bp_be,136,0.044198614,0.018882643
bp_be,62,-0.27634594,0.02919915
bp_be,137,0.25947773,0.02919915
bp_be,68,-0.27634594,0.060148664
bp_be,55,0.6373691,0.06530692
bp_be,37,0.38118818,0.06530692
bp_be,146,-0.27634594,0.07046517
bp_be,195,-0.27634594,0.07562342
bp_be,121,0.32902032,0.07562342
bp_be,150,0.16681546,0.08593993
bp_be,242,-0.032516345,0.09109818
bp_be,42,0.41899332,0.1323642
bp_be,236,0.3338747,0.1426807
bp_be,138,-0.27634594,0.15815547
bp_be,65,0.24381009,0.19426323
bp_be,194,0.56202954,0.20973799
bp_be,18,0.77137125,0.21489625
bp_be,178,0.7085599,0.22521275
bp_be,81,0.37279522,0.31290305
bp_be,119,0.1893529,0.3283778
bp_be,175,-0.27634594,0.34901083
bp_be,57,0.5089568,0.36964384
bp_be,184,-0.27634594,0.39027685
bp_be,245,-0.09821497,0.3954351
bp_be,177,0.58674973,0.43154287
bp_be,45,0.6236596,0.49860016
bp_be,24,-0.27634594,0.5037584
bp_be,133,0.2620047,0.5089167
bp_be,158,0.32095483,0.51923317
bp_be,56,-0.27634594,0.5243914
bp_be,103,0.17226954,0.55018264
bp_be,0,0.058382966,0.5708157
bp_be,225,0.49755332,0.59660697
bp_be,196,0.33831608,0.6120817
bp_be,47,-0.27634594,0.61723995
bp_be,41,0.25213623,0.61723995
bp_be,40,0.5128423,0.62755644
bp_be,156,0.46430054,0.65334773
bp_be,113,0.47964147,0.6894555
bp_be,210,0.2132,0.699772
bp_be,112,0.32494837,0.73072153
bp_be,209,0.5553562,0.75651276
bp_be,34,0.29207483,0.79262054
bp_be,54,0.17751652,0.86999434
bp_be,115,0.20037933,0.9009439
bp_be,106,0.31358084,0.93189335
bp_be,237,-0.27634594,1.0350584
bp_be,21,0.7090889,1.0711662
bp_be,170,0.30866367,1.1124322
bp_be,82,0.70898104,1.1382235
bp_be,60,0.44747797,1.1433817
bp_be,164,0.6373198,1.1536982
bp_be,143,0.25620008,1.2568632
bp_be,226,0.43913776,1.3290788
bp_be,186,0.52575266,1.3445536
bp_be,72,0.41815305,1.4012944
bp_be,162,0.45364296,1.4219273
bp_be,92,0.5122158,1.4322438
bp_be,247,0.22865675,1.5508837
bp_be,15,0.5658321,1.6488905
bp_be,232,0.7724032,1.6643653
bp_be,30,0.5147422,1.6849983
bp_be,101,0.8561275,1.8964866
bp_be,58,0.87165517,1.9016448
bp_be,208,0.93129265,2.046076
bp_be,48,0.54758835,2.2059817
bp_be,249,1.2877289,3.2221575
bp_be,140,0.8635627,3.3717468
