designs,synID,prediction,actual
ethernet,188,-0.27634594,-1.5387509
ethernet,173,-0.27634594,-1.4843619
ethernet,49,-0.27634594,-1.4626063
ethernet,147,-0.27634594,-1.4190952
ethernet,149,-0.27634594,-1.3647062
ethernet,182,-0.27634594,-1.3103173
ethernet,154,0.3089802,-1.2450504
ethernet,2,-0.27634594,-1.2341727
ethernet,11,0.38972,-1.1797837
ethernet,191,-0.27634594,-1.168906
ethernet,127,-0.27634594,-1.1471503
ethernet,75,-0.27634594,-1.1362725
ethernet,13,-0.27634594,-1.1253947
ethernet,123,-0.27634594,-1.0818835
ethernet,14,-0.27634594,-1.0492502
ethernet,79,-0.27634594,-1.0274945
ethernet,61,-0.27634594,-1.0274945
ethernet,96,-0.041713636,-1.0166168
ethernet,70,-0.27634594,-1.0166168
ethernet,53,-0.049437262,-0.98398346
ethernet,245,0.014457448,-0.98398346
ethernet,9,-0.27634594,-0.98398346
ethernet,136,0.12327198,-0.92959446
ethernet,234,-0.08908769,-0.91871667
ethernet,97,-0.27634594,-0.9078389
ethernet,205,-0.27634594,-0.9078389
ethernet,120,0.2583365,-0.8643277
ethernet,197,-0.27634594,-0.8425721
ethernet,169,-0.27634594,-0.8316943
ethernet,183,-0.27634594,-0.8316943
ethernet,27,-0.27634594,-0.8208165
ethernet,203,-0.27634594,-0.8208165
ethernet,31,-0.27634594,-0.8099387
ethernet,148,-0.27634594,-0.78818315
ethernet,69,-0.27634594,-0.78818315
ethernet,56,-0.27634594,-0.77730536
ethernet,78,0.5123106,-0.7555498
ethernet,220,-0.27634594,-0.7555498
ethernet,51,-0.27634594,-0.744672
ethernet,100,-0.27634594,-0.72291636
ethernet,88,-0.27634594,-0.72291636
ethernet,35,-0.27634594,-0.7120386
ethernet,23,-0.27634594,-0.690283
ethernet,129,-0.27634594,-0.690283
ethernet,231,-0.27634594,-0.6794052
ethernet,184,-0.27634594,-0.6794052
ethernet,240,0.49668303,-0.6685274
ethernet,26,-0.27634594,-0.64677185
ethernet,248,-0.27634594,-0.63589406
ethernet,121,0.388861,-0.63589406
ethernet,185,-0.27634594,-0.6250163
ethernet,199,0.15321389,-0.6141385
ethernet,86,-0.27634594,-0.59238285
ethernet,76,-0.27634594,-0.5706273
ethernet,65,0.30456853,-0.5597495
ethernet,167,-0.27634594,-0.50536054
ethernet,131,0.4368889,-0.50536054
ethernet,179,-0.27634594,-0.49448273
ethernet,213,-0.27634594,-0.47272715
ethernet,221,0.10629055,-0.45097154
ethernet,195,-0.27634594,-0.44009376
ethernet,83,0.16852157,-0.44009376
ethernet,10,0.38440546,-0.3965826
ethernet,95,-0.27634594,-0.3965826
ethernet,44,0.11054414,-0.3965826
ethernet,130,0.22452539,-0.3857048
ethernet,102,-0.27634594,-0.3857048
ethernet,110,0.26292536,-0.35307142
ethernet,175,-0.27634594,-0.34219363
ethernet,168,-0.12414693,-0.34219363
ethernet,133,0.32222477,-0.34219363
ethernet,24,-0.27634594,-0.32043803
ethernet,228,0.11549831,-0.30956024
ethernet,180,-0.27634594,-0.28780466
ethernet,227,0.4029983,-0.24429348
ethernet,119,0.25101784,-0.24429348
ethernet,60,0.5073187,-0.22253789
ethernet,141,-0.27634594,-0.22253789
ethernet,238,-0.27634594,-0.22253789
ethernet,47,-0.27634594,-0.2116601
ethernet,135,0.11527348,-0.2116601
ethernet,216,-0.23880653,-0.16814893
ethernet,214,0.22993313,-0.15727113
ethernet,45,0.68350035,-0.15727113
ethernet,224,0.509615,-0.13551556
ethernet,128,-0.27634594,-0.113759965
ethernet,170,0.36850435,-0.113759965
ethernet,145,0.36898816,-0.113759965
ethernet,63,0.037519503,-0.10288217
ethernet,206,0.34718996,-0.09200437
ethernet,113,0.5394821,-0.03761541
ethernet,137,0.3197725,-0.026737615
ethernet,117,0.29322782,-0.026737615
ethernet,212,0.3124014,-0.015859822
ethernet,146,-0.27634594,-0.015859822
ethernet,236,0.39371565,0.027651351
ethernet,41,0.31264856,0.07116252
ethernet,71,0.7034043,0.07116252
ethernet,34,0.35191545,0.09291811
ethernet,126,0.15855479,0.1146737
ethernet,242,0.079702586,0.12555149
ethernet,93,-0.27634594,0.12555149
ethernet,108,0.71180415,0.16906266
ethernet,21,0.7689296,0.19081825
ethernet,159,0.31905702,0.23432942
ethernet,187,0.4774829,0.27784058
ethernet,39,0.132924,0.2887184
ethernet,232,0.83224386,0.2995962
ethernet,40,0.57268286,0.31047398
ethernet,132,0.038725622,0.32135177
ethernet,38,0.5399072,0.32135177
ethernet,54,0.23918161,0.37574074
ethernet,181,0.43229008,0.3974963
ethernet,194,0.62187004,0.4301297
ethernet,225,0.5573941,0.45188528
ethernet,43,0.43522874,0.45188528
ethernet,106,0.37342155,0.46276307
ethernet,122,0.38542867,0.5062743
ethernet,150,0.22848052,0.5171521
ethernet,226,0.4989783,0.52802986
ethernet,77,0.2929941,0.53890765
ethernet,12,0.365414,0.571541
ethernet,84,0.5904772,0.6041744
ethernet,239,0.72161627,0.6041744
ethernet,164,0.69716024,0.62593
ethernet,230,0.1184989,0.6368078
ethernet,160,0.6727397,0.6476856
ethernet,222,0.77708197,0.66944116
ethernet,99,0.6326249,0.69119674
ethernet,235,0.26868972,0.7129523
ethernet,67,0.27863696,0.7238301
ethernet,244,0.6183268,0.7673413
ethernet,73,0.35138825,0.83260804
ethernet,33,0.67548007,0.8543636
ethernet,42,0.47883412,0.86524147
ethernet,3,0.33650568,0.89787483
ethernet,20,0.95692533,0.9305082
ethernet,139,0.58470196,0.941386
ethernet,98,0.30723944,1.1589419
ethernet,215,0.61214024,1.202453
ethernet,115,0.26204464,1.256842
ethernet,103,0.23393488,1.256842
ethernet,82,0.7688214,1.2677197
ethernet,186,0.5855933,1.2894753
ethernet,72,0.4779937,1.3438643
ethernet,6,0.74971527,1.3764977
ethernet,178,0.76840043,1.4852756
ethernet,174,0.3747664,1.5287868
ethernet,57,0.56879777,1.5396646
ethernet,247,0.28986308,1.6375648
ethernet,246,0.5357329,1.8442428
ethernet,210,0.27486402,1.8768762
ethernet,58,0.9314958,1.9203874
ethernet,1,0.9037682,2.1814544
ethernet,172,0.5732528,2.3011103
ethernet,48,0.6074291,2.834122
ethernet,208,0.9911336,3.1713336
ethernet,249,1.3475696,4.106824
ethernet,112,0.38478863,4.3352575
