designs,synID,prediction,actual
fir,128,-0.26393867,-1.9038855
fir,129,-0.28874657,-1.7752808
fir,228,-0.30101153,-1.6788273
fir,210,0.102553315,-1.6466761
fir,39,-0.22102962,-1.6466761
fir,127,-0.35929567,-1.614525
fir,165,-0.46897796,-1.5502225
fir,124,-0.031694364,-1.5180714
fir,59,-0.40333992,-1.4859202
fir,53,-0.27634594,-1.4537691
fir,190,-0.2951192,-1.4216179
fir,169,-0.34379306,-1.4216179
fir,222,0.60986894,-1.3894666
fir,152,-0.13209793,-1.3573155
fir,123,-0.29489222,-1.3251643
fir,153,0.06114029,-1.2930131
fir,202,-0.35208312,-1.260862
fir,83,-0.09774207,-1.2287108
fir,71,0.53143406,-1.1965597
fir,26,-0.42585436,-1.1644084
fir,21,0.60171616,-1.1644084
fir,15,0.45845932,-1.1644084
fir,88,-0.22744557,-1.1001061
fir,194,0.45526975,-1.0679549
fir,57,0.40337607,-1.0358038
fir,2,-0.326097,-1.0358038
fir,3,0.16607468,-1.0036526
fir,95,-0.20737365,-0.9715014
fir,116,-0.31732363,-0.9715014
fir,198,-0.4136088,-0.9715014
fir,136,-0.27634594,-0.9393502
fir,193,0.23385654,-0.9393502
fir,42,0.31162062,-0.9393502
fir,211,-0.4915638,-0.8428967
fir,241,-0.06528942,-0.8428967
fir,117,0.12147731,-0.8428967
fir,17,-0.12469511,-0.8428967
fir,74,0.03131073,-0.8107455
fir,89,0.16940871,-0.8107455
fir,9,-0.35112244,-0.8107455
fir,80,-0.3112202,-0.714292
fir,78,0.31417945,-0.714292
fir,114,-0.28838238,-0.6499896
fir,236,0.22510223,-0.61783844
fir,85,-0.3891103,-0.61783844
fir,52,-0.26728374,-0.61783844
fir,130,0.027105413,-0.5535361
fir,61,-0.36294755,-0.5535361
fir,34,0.18195428,-0.5535361
fir,92,0.3694801,-0.5213849
fir,1,0.73655504,-0.48923373
fir,64,-0.28727987,-0.45708257
fir,196,0.22960545,-0.45708257
fir,19,-0.00045307446,-0.45708257
fir,248,-0.2912227,-0.42493138
fir,43,0.26780784,-0.42493138
fir,97,-0.29935554,-0.42493138
fir,110,0.09061321,-0.36062902
fir,195,-0.31584504,-0.32847786
fir,230,-0.27634594,-0.32847786
fir,24,-0.38206252,-0.32847786
fir,105,0.23194188,-0.32847786
fir,220,-0.30288383,-0.32847786
fir,180,-0.27634594,-0.29632667
fir,133,0.16036731,-0.29632667
fir,126,-0.09412302,-0.2641755
fir,118,0.09326647,-0.2641755
fir,135,-0.27634594,-0.2641755
fir,7,-0.3310933,-0.2641755
fir,131,0.27314338,-0.23202433
fir,79,-0.337319,-0.23202433
fir,221,-0.19871698,-0.23202433
fir,167,-0.50859344,-0.23202433
fir,170,0.20293355,-0.19987315
fir,189,0.2480852,-0.19987315
fir,150,0.034303207,-0.19987315
fir,213,-0.3442367,-0.16772197
fir,91,0.4488033,-0.16772197
fir,186,0.41837993,-0.16772197
fir,182,-0.3377729,-0.16772197
fir,60,0.34010518,-0.16772197
fir,56,-0.3323523,-0.1355708
fir,176,-0.3162181,-0.039117265
fir,231,-0.3075359,0.025185088
fir,237,-0.31519955,0.025185088
fir,23,-0.31796387,0.025185088
fir,13,-0.33838567,0.057336263
fir,219,-0.53220767,0.08948744
fir,28,0.30989745,0.15378979
fir,44,-0.29695287,0.18594097
fir,115,0.09402881,0.21809214
fir,77,0.12123615,0.21809214
fir,232,0.66217786,0.21809214
fir,199,-0.15088351,0.21809214
fir,103,0.044228643,0.25024334
fir,4,-0.2367057,0.2823945
fir,84,0.4211062,0.2823945
fir,158,0.23399456,0.2823945
fir,151,-0.2875817,0.2823945
fir,215,0.44492692,0.2823945
fir,96,-0.26521638,0.3145457
fir,187,0.31026968,0.34669685
fir,121,0.22284283,0.37884802
fir,36,0.84522974,0.4109992
fir,240,0.3165564,0.44315037
fir,100,-0.32800734,0.5074527
fir,132,-0.20079947,0.5074527
fir,141,-0.29237148,0.5074527
fir,72,0.3107803,0.5396039
fir,212,0.14123544,0.5396039
fir,5,0.30943987,0.6039063
fir,14,-0.2932923,0.6039063
fir,98,0.13591586,0.63605744
fir,171,0.53895813,0.63605744
fir,25,0.7086643,0.6682086
fir,244,0.45331496,0.7003598
fir,101,0.74875486,0.7003598
fir,119,0.095983766,0.732511
fir,104,0.46142188,0.732511
fir,112,0.08434972,0.7968133
fir,58,0.7599277,0.82896453
fir,160,0.50552654,0.82896453
fir,66,0.3519368,0.8611157
fir,120,0.068929546,0.8611157
fir,243,-0.07573375,0.89326686
fir,178,0.6011871,0.89326686
fir,102,-0.32420883,0.89326686
fir,214,0.03694657,0.9575692
fir,155,-0.3013058,0.9575692
fir,224,0.34240174,0.9575692
fir,148,-0.507106,0.9897204
fir,30,0.40736943,0.9897204
fir,247,0.12941709,1.0540228
fir,162,0.34627017,1.0861739
fir,249,1.1750972,1.1183251
fir,157,0.025368258,1.1504762
fir,205,-0.29099357,1.1504762
fir,48,0.44021562,1.1826274
fir,11,0.22590211,1.1826274
fir,111,-0.04190258,1.1826274
fir,27,-0.29862824,1.2469298
fir,183,-0.37536064,1.279081
fir,81,0.2567484,1.3433833
fir,38,0.38305834,1.3433833
fir,6,0.5825019,1.3755345
fir,174,0.20061108,1.4076856
fir,218,0.17659602,1.4076856
fir,47,-0.34577358,1.4398369
fir,179,-0.29179773,1.4398369
fir,234,-0.19006339,1.4398369
fir,217,-0.48252174,1.4719881
fir,0,-0.25713074,1.5041392
fir,87,-0.341928,1.5041392
fir,37,0.2688202,1.5362904
fir,188,-0.31732658,1.5684415
fir,125,-0.36002752,1.5684415
fir,107,0.43887284,1.5684415
