designs,synID,prediction,actual
i2c,157,0.032689936,-2.150472
i2c,173,-0.49081057,-2.0697424
i2c,229,0.17054032,-1.9890131
i2c,149,-0.29849312,-1.9082836
i2c,2,-0.31542227,-1.8275541
i2c,167,-0.4276363,-1.7468246
i2c,102,-0.31353405,-1.6660951
i2c,175,-0.32196337,-1.4239067
i2c,206,0.18110795,-1.2624477
i2c,95,-0.2255002,-1.2624477
i2c,211,-0.40310308,-1.2624477
i2c,151,-0.27634594,-1.1817182
i2c,26,-0.41517958,-1.1817182
i2c,223,-0.29454476,-1.1817182
i2c,13,-0.3277109,-1.1817182
i2c,142,-0.47750977,-1.1817182
i2c,64,-0.27634594,-1.1009887
i2c,0,-0.21953134,-1.1009887
i2c,233,-0.27634594,-1.0202593
i2c,243,-0.06841208,-1.0202593
i2c,27,-0.31012776,-1.0202593
i2c,49,-0.27634594,-1.0202593
i2c,204,0.010071586,-1.0202593
i2c,185,-0.36618164,-0.9395298
i2c,5,0.31334418,-0.9395298
i2c,213,-0.27634594,-0.8588003
i2c,109,-0.32227084,-0.8588003
i2c,96,-0.19368432,-0.77807075
i2c,191,-0.4345575,-0.77807075
i2c,16,-0.21141577,-0.77807075
i2c,180,-0.27634594,-0.77807075
i2c,212,0.14525877,-0.69734126
i2c,205,-0.28712508,-0.69734126
i2c,169,-0.19669229,-0.69734126
i2c,124,-0.013795478,-0.69734126
i2c,197,-0.29804718,-0.69734126
i2c,130,0.03442707,-0.6166118
i2c,179,-0.2872509,-0.6166118
i2c,65,0.1371867,-0.6166118
i2c,170,0.20472693,-0.5358823
i2c,70,-0.32967597,-0.5358823
i2c,138,-0.24332638,-0.5358823
i2c,87,-0.3312532,-0.5358823
i2c,146,-0.31962988,-0.5358823
i2c,85,-0.37843546,-0.5358823
i2c,184,-0.30142564,-0.45515284
i2c,14,-0.28748462,-0.45515284
i2c,237,-0.30452472,-0.45515284
i2c,45,0.5209098,-0.45515284
i2c,46,-0.27634594,-0.45515284
i2c,231,-0.29686108,-0.45515284
i2c,29,-0.23579383,-0.37442335
i2c,163,0.8851336,-0.37442335
i2c,189,0.25210854,-0.37442335
i2c,108,0.5484954,-0.37442335
i2c,198,-0.41362494,-0.37442335
i2c,155,-0.29063103,-0.29369387
i2c,52,-0.27634594,-0.29369387
i2c,143,0.14957663,-0.29369387
i2c,113,0.3676567,-0.29369387
i2c,125,-0.29339328,-0.29369387
i2c,32,0.09260049,-0.21296439
i2c,165,-0.3518658,-0.21296439
i2c,89,0.16129838,-0.21296439
i2c,248,-0.28716096,-0.1322349
i2c,110,0.094636574,-0.051505413
i2c,161,0.09292037,-0.051505413
i2c,74,0.092921324,-0.051505413
i2c,24,-0.28750962,-0.051505413
i2c,127,-0.33597335,-0.051505413
i2c,68,-0.28056896,-0.051505413
i2c,152,-0.11154178,-0.051505413
i2c,145,0.20357068,-0.051505413
i2c,4,-0.19734253,0.029224074
i2c,227,0.23861805,0.029224074
i2c,120,0.10293753,0.029224074
i2c,162,0.35017446,0.029224074
i2c,97,-0.28868076,0.029224074
i2c,8,0.28410062,0.029224074
i2c,183,-0.3352838,0.029224074
i2c,43,0.2718311,0.10995356
i2c,195,-0.3051703,0.10995356
i2c,93,-0.26564476,0.10995356
i2c,168,-0.32479316,0.10995356
i2c,57,0.40620708,0.10995356
i2c,156,0.36083212,0.10995356
i2c,92,0.40530318,0.19068304
i2c,100,-0.31805366,0.19068304
i2c,154,0.14173302,0.19068304
i2c,200,0.32960483,0.19068304
i2c,6,0.5864063,0.27141252
i2c,123,-0.28832534,0.27141252
i2c,230,-0.27634594,0.352142
i2c,83,-0.06747659,0.352142
i2c,28,0.3256171,0.352142
i2c,60,0.3440095,0.352142
i2c,244,0.45614582,0.352142
i2c,196,0.23362882,0.352142
i2c,158,0.2183578,0.4328715
i2c,209,0.45188773,0.4328715
i2c,20,0.79361665,0.4328715
i2c,22,0.25899813,0.4328715
i2c,129,-0.28235364,0.4328715
i2c,53,-0.27634594,0.4328715
i2c,81,0.26915923,0.513601
i2c,15,0.46236357,0.513601
i2c,115,0.09582222,0.513601
i2c,178,0.6050915,0.513601
i2c,19,0.0068686297,0.513601
i2c,186,0.42228416,0.513601
i2c,67,0.058800526,0.5943305
i2c,166,-0.27634594,0.5943305
i2c,111,0.020630978,0.67506
i2c,71,0.54009557,0.67506
i2c,91,0.44472605,0.67506
i2c,31,-0.29346883,0.67506
i2c,54,0.06169509,0.67506
i2c,107,0.4427772,0.67506
i2c,139,0.42909497,0.75578946
i2c,135,-0.27634594,0.83651894
i2c,3,0.17009799,0.83651894
i2c,187,0.3141739,0.83651894
i2c,222,0.6137732,0.9172484
i2c,55,0.5339007,0.9172484
i2c,58,0.7681867,0.9172484
i2c,103,0.051550306,0.9979779
i2c,242,-0.19269243,1.0787073
i2c,48,0.44411984,1.1594368
i2c,172,0.40994355,1.1594368
i2c,159,0.15211728,1.2401663
i2c,174,0.21476248,1.3208958
i2c,25,0.7146908,1.4016253
i2c,84,0.4271683,1.4016253
i2c,59,-0.34058422,1.4016253
i2c,72,0.3146846,1.4823548
i2c,246,0.37242374,1.4823548
i2c,104,0.4651567,1.5630842
i2c,208,0.8278242,1.6438137
i2c,35,-0.29896793,1.6438137
i2c,232,0.6689349,1.7245432
i2c,77,0.12525949,1.7245432
i2c,239,0.5583074,1.8052727
i2c,66,0.3558411,2.4511087
i2c,112,0.20344517,3.5813215
i2c,140,0.7600943,3.662051
