designs,synID,prediction,actual
jpeg,197,-0.27634594,-2.2133713
jpeg,128,-0.11855587,-1.6851376
jpeg,167,-0.27634594,-1.5801681
jpeg,183,-0.27634594,-1.5547724
jpeg,237,0.34830406,-1.544614
jpeg,191,-0.27634594,-1.4972084
jpeg,9,-0.27634594,-1.4667333
jpeg,165,-0.27634594,-1.4498028
jpeg,23,-0.0365816,-1.3922389
jpeg,80,0.43473446,-1.3312888
jpeg,169,0.2585836,-1.3126652
jpeg,35,0.14273743,-1.2923485
jpeg,64,0.32201865,-1.2381707
jpeg,123,0.18652031,-1.1738346
jpeg,233,0.40912563,-1.1653693
jpeg,70,-0.27634594,-1.1467457
jpeg,240,0.93475944,-1.1094984
jpeg,192,0.28916082,-1.0756373
jpeg,75,-0.27634594,-1.0468553
jpeg,16,0.54789793,-1.0248456
jpeg,51,0.20834893,-1.0197664
jpeg,154,0.7470567,-1.0113012
jpeg,83,0.60974336,-1.006222
jpeg,13,0.14024642,-0.9960636
jpeg,100,-0.07649477,-0.98929137
jpeg,195,-0.27634594,-0.95712334
jpeg,59,0.47202358,-0.9215691
jpeg,96,0.4601784,-0.918183
jpeg,248,0.26587617,-0.8910941
jpeg,176,-0.06844698,-0.8707774
jpeg,117,0.7313043,-0.8098274
jpeg,182,-0.027298853,-0.7945899
jpeg,129,0.32107732,-0.7421051
jpeg,241,0.6152561,-0.6879273
jpeg,54,0.67831266,-0.6405217
jpeg,110,0.7013538,-0.62020504
jpeg,166,0.535763,-0.6100467
jpeg,151,0.4313827,-0.6066606
jpeg,221,0.54935366,-0.60496753
jpeg,130,0.66409,-0.60496753
jpeg,193,0.8403583,-0.58126473
jpeg,228,0.5582889,-0.55756193
jpeg,220,0.33029023,-0.55586886
jpeg,49,0.18005112,-0.53893834
jpeg,28,0.92471683,-0.5355522
jpeg,89,0.7708663,-0.50677025
jpeg,26,-0.27634594,-0.48137438
jpeg,243,0.60925066,-0.47968134
jpeg,17,0.68957627,-0.4729091
jpeg,52,0.29042566,-0.46105772
jpeg,231,0.348253,-0.45597854
jpeg,99,1.0707011,-0.43904796
jpeg,205,0.25641924,-0.42888963
jpeg,62,0.14879167,-0.38825628
jpeg,138,0.3418204,-0.3831771
jpeg,224,0.94769144,-0.37809792
jpeg,86,0.1758718,-0.3679396
jpeg,145,0.80706424,-0.3628604
