designs,synID,prediction,actual
or1200,182,-0.27634594,-1.9696474
or1200,56,-0.27634594,-1.8124875
or1200,90,-0.27634594,-1.5988482
or1200,165,-0.27634594,-1.5571027
or1200,68,0.05656799,-1.5202683
or1200,202,-0.031553656,-1.5055345
or1200,149,-0.27634594,-1.3557415
or1200,219,-0.27634594,-1.3336409
or1200,176,-0.27634594,-1.3336409
or1200,197,-0.27634594,-1.3041735
or1200,231,-0.2172575,-1.2255934
or1200,169,-0.27634594,-1.1838479
or1200,146,-0.27634594,-1.1617472
or1200,223,-0.27634594,-1.1543804
or1200,88,-0.27634594,-1.1396466
or1200,13,-0.27634594,-1.137191
or1200,14,-0.27634594,-1.0954454
or1200,85,-0.27634594,-1.0684335
or1200,245,0.107768856,-1.0659779
or1200,211,-0.27634594,-1.0487885
or1200,168,0.0005001491,-0.987398
or1200,69,-0.27634594,-0.9751199
or1200,70,-0.27634594,-0.9751199
or1200,147,-0.27634594,-0.9751199
or1200,195,-0.27634594,-0.9652974
or1200,154,0.36963633,-0.9431968
or1200,138,-0.2609141,-0.92846304
or1200,76,-0.27634594,-0.9137293
or1200,198,-0.27634594,-0.89408433
or1200,167,-0.27634594,-0.8474275
or1200,204,0.27364752,-0.8400606
or1200,184,-0.27634594,-0.837605
or1200,27,-0.27634594,-0.837605
or1200,26,-0.27634594,-0.8302381
or1200,114,0.05523675,-0.8056819
or1200,9,-0.27634594,-0.7811256
or1200,237,-0.21687374,-0.7713031
or1200,31,-0.15867057,-0.7688475
or1200,83,0.23102736,-0.719735
or1200,52,-0.27634594,-0.719735
or1200,111,0.27134487,-0.719735
or1200,51,-0.27634594,-0.7148238
or1200,35,-0.27634594,-0.69763446
or1200,86,-0.27634594,-0.69026756
or1200,53,0.06431103,-0.68290067
or1200,207,0.5322303,-0.6779894
or1200,16,0.16729617,-0.6608001
or1200,221,0.16879627,-0.6411551
or1200,100,-0.27634594,-0.609232
or1200,151,0.018033616,-0.59695387
or1200,102,-0.27634594,-0.53310764
or1200,119,0.3123786,-0.53310764
or1200,142,-0.27634594,-0.52082956
or1200,191,-0.27634594,-0.4962733
or1200,238,-0.27634594,-0.4741727
or1200,248,-0.27634594,-0.4545277
or1200,155,-0.27634594,-0.43733835
or1200,133,0.38288096,-0.41032648
or1200,157,0.28574356,-0.3784034
or1200,228,0.17800365,-0.35630277
or1200,110,0.32393333,-0.3391134
or1200,122,0.44608495,-0.33420217
or1200,150,0.29050803,-0.31210154
or1200,106,0.4340776,-0.3071903
or1200,227,0.4636545,-0.30227906
or1200,128,-0.27634594,-0.2973678
or1200,213,-0.27634594,-0.2752672
or1200,205,-0.27634594,-0.22615473
or1200,243,0.23051995,-0.21387662
or1200,229,0.3972542,-0.19914287
or1200,4,0.19508237,-0.17704226
or1200,71,0.76406074,-0.09355107
or1200,74,0.32095495,-0.09109545
or1200,135,0.17777899,-0.08863982
or1200,54,0.30089253,-0.068994835
or1200,38,0.6005633,-0.05917234
or1200,145,0.42964417,-0.0444386
or1200,34,0.41257173,-0.0444386
or1200,78,0.57296693,-0.029704858
or1200,189,0.47674584,-0.0149711175
or1200,166,0.15479124,-0.0076042474
or1200,159,0.37971333,-0.00023737694
or1200,230,0.18100457,0.046419468
or1200,47,-0.27634594,0.051330715
or1200,108,0.77246064,0.06115321
or1200,41,0.37330437,0.06360883
or1200,220,-0.27634594,0.066064455
or1200,188,-0.27634594,0.07834257
or1200,42,0.5394902,0.085709445
or1200,201,0.15448076,0.09307631
or1200,199,0.2157196,0.11026568
or1200,32,0.32195762,0.13236628
or1200,12,0.4260699,0.24286935
or1200,60,0.56797475,0.25514746
or1200,123,-0.27634594,0.25760308
or1200,94,-0.27634594,0.2698812
or1200,113,0.60013825,0.27479246
or1200,170,0.42916048,0.29198182
or1200,89,0.39344603,0.31653804
or1200,0,0.19357178,0.32881618
or1200,225,0.6180501,0.40002924
or1200,44,0.17304976,0.4049405
or1200,177,0.70724654,0.4270411
or1200,171,0.77417326,0.44423047
or1200,152,0.20998016,0.4466861
or1200,137,0.3804286,0.45405295
or1200,98,0.36789557,0.46141982
or1200,117,0.35388425,0.48106483
or1200,186,0.6462493,0.51789916
or1200,242,0.14362162,0.5203548
or1200,126,0.22106045,0.5228104
or1200,139,0.6453581,0.55718917
or1200,125,-0.27634594,0.58665663
or1200,33,0.7361362,0.61121285
or1200,72,0.5386499,0.62103534
or1200,28,0.54729694,0.62840223
or1200,134,-0.040119544,0.6897928
or1200,174,0.43542248,0.69470406
or1200,224,0.57027125,0.70452654
or1200,232,0.89290017,0.7757396
or1200,181,0.49294654,0.8027515
or1200,15,0.6863288,0.8346746
or1200,160,0.7333961,0.83958584
or1200,212,0.37305772,0.8494083
or1200,6,0.8103715,0.8543196
or1200,17,0.31215617,0.8985208
or1200,82,0.8294778,0.9378108
or1200,66,0.5798063,0.97710073
or1200,22,0.48343164,0.9795564
or1200,103,0.29580075,0.99920136
or1200,92,0.63271254,1.001657
or1200,244,0.6789831,1.021302
or1200,84,0.6511334,1.0434026
or1200,57,0.62945366,1.0974263
or1200,172,0.63390875,1.2030181
or1200,194,0.6825263,1.3478999
or1200,30,0.63523895,1.3970124
or1200,210,0.33552015,1.4043792
or1200,58,0.99215186,1.4682255
or1200,107,0.6667424,1.6548529
or1200,156,0.5847973,1.667131
or1200,164,0.75781673,1.7997346
or1200,101,0.97662425,1.9372495
or1200,36,1.0730993,2.018285
or1200,249,1.4082259,2.0845869
or1200,20,1.0175818,2.0870426
or1200,208,1.0517895,2.0894983
or1200,50,1.0696632,2.5044985
or1200,112,0.44544512,9.913115
