designs,synID,prediction,actual
picorv32_small,75,-0.27634594,-1.4942957
picorv32_small,29,-0.27634594,-1.4874898
picorv32_small,223,-0.27634594,-1.4126246
picorv32_small,147,-0.27634594,-1.4058187
picorv32_small,27,-0.27634594,-1.3717891
picorv32_small,149,-0.27634594,-1.3581772
picorv32_small,64,-0.27634594,-1.3581772
picorv32_small,120,0.106699124,-1.3377594
picorv32_small,13,-0.27634594,-1.3037298
picorv32_small,187,0.33033255,-1.290118
picorv32_small,175,-0.27634594,-1.2492824
picorv32_small,219,-0.27634594,-1.2220587
picorv32_small,207,0.3244237,-1.2084467
picorv32_small,80,-0.27634594,-1.194835
picorv32_small,159,0.16876864,-1.1608053
picorv32_small,69,-0.27634594,-1.1471934
picorv32_small,218,0.19727072,-1.1471934
picorv32_small,176,-0.27634594,-1.1403875
picorv32_small,96,-0.27634594,-1.1335816
picorv32_small,51,-0.27634594,-1.1267756
picorv32_small,49,-0.27634594,-1.1063579
picorv32_small,169,-0.27634594,-1.1063579
picorv32_small,87,-0.27634594,-1.0791342
picorv32_small,110,0.111287884,-1.0246868
picorv32_small,234,-0.27634594,-1.0246868
picorv32_small,129,-0.27634594,-1.0178808
picorv32_small,81,0.28548542,-1.0110749
picorv32_small,204,0.040373713,-0.9838512
picorv32_small,148,-0.27634594,-0.9838512
picorv32_small,102,-0.27634594,-0.9838512
picorv32_small,35,-0.27634594,-0.9838512
picorv32_small,18,0.6840615,-0.9498216
picorv32_small,125,-0.27634594,-0.9157919
picorv32_small,179,-0.27634594,-0.90898603
picorv32_small,86,-0.27634594,-0.8953742
picorv32_small,241,-0.026848424,-0.8885682
picorv32_small,63,-0.27634594,-0.8817623
picorv32_small,109,-0.27634594,-0.8817623
picorv32_small,70,-0.27634594,-0.8681505
picorv32_small,83,-0.037186507,-0.8681505
picorv32_small,217,-0.27634594,-0.8613445
picorv32_small,237,-0.27634594,-0.8545386
picorv32_small,163,0.9012922,-0.813703
picorv32_small,111,0.036183454,-0.8068971
picorv32_small,53,-0.27634594,-0.8068971
picorv32_small,193,0.25453117,-0.80009115
picorv32_small,178,0.6212501,-0.80009115
picorv32_small,7,-0.27634594,-0.80009115
picorv32_small,40,0.4255325,-0.7320319
picorv32_small,189,0.26875988,-0.71842
picorv32_small,238,-0.27634594,-0.71842
picorv32_small,100,-0.27634594,-0.71161413
picorv32_small,158,0.23238945,-0.7048082
picorv32_small,95,-0.27634594,-0.6707786
picorv32_small,78,0.36516032,-0.62313706
picorv32_small,145,0.22022206,-0.6095252
picorv32_small,192,-0.27634594,-0.6027193
picorv32_small,74,0.10821868,-0.59591335
picorv32_small,38,0.3927567,-0.5823015
picorv32_small,139,0.43755156,-0.5550778
picorv32_small,133,0.17203283,-0.5550778
picorv32_small,243,-0.03810993,-0.5482719
picorv32_small,161,0.10957175,-0.5278541
picorv32_small,211,-0.27634594,-0.50743634
picorv32_small,141,-0.27634594,-0.4802126
picorv32_small,160,0.5255896,-0.46660075
picorv32_small,71,0.55625427,-0.4325711
picorv32_small,212,0.16191012,-0.41895926
picorv32_small,33,0.52832955,-0.41215333
