designs,synID,prediction,actual
picorv32_typical,75,-0.27634594,-1.7725188
picorv32_typical,147,-0.27634594,-1.5423427
picorv32_typical,127,-0.27634594,-1.4446921
picorv32_typical,7,-0.27634594,-1.409817
picorv32_typical,219,-0.27634594,-1.3819169
picorv32_typical,165,-0.27634594,-1.3609917
picorv32_typical,90,-0.27634594,-1.3400667
picorv32_typical,34,0.20256281,-1.2912414
picorv32_typical,223,-0.27634594,-1.2563663
picorv32_typical,27,-0.27634594,-1.193591
picorv32_typical,149,-0.27634594,-1.1447657
picorv32_typical,80,-0.27634594,-1.1447657
picorv32_typical,69,-0.27634594,-1.1377907
picorv32_typical,175,-0.27634594,-1.1308156
picorv32_typical,83,-0.03730682,-1.1168656
picorv32_typical,118,0.11433161,-1.1168656
picorv32_typical,68,-0.27634594,-1.1098906
picorv32_typical,182,-0.27634594,-1.0680404
picorv32_typical,76,-0.27634594,-1.0401403
picorv32_typical,145,0.2201559,-1.0401403
picorv32_typical,198,-0.27634594,-1.01224
picorv32_typical,233,-0.27634594,-0.94248974
picorv32_typical,31,-0.27634594,-0.93551475
picorv32_typical,241,-0.02696877,-0.93551475
picorv32_typical,64,-0.27634594,-0.92156464
picorv32_typical,221,-0.26319805,-0.8797144
picorv32_typical,179,-0.27634594,-0.87273943
picorv32_typical,161,0.10950559,-0.8657644
picorv32_typical,195,-0.27634594,-0.8657644
picorv32_typical,155,-0.27634594,-0.8657644
picorv32_typical,79,-0.27634594,-0.8518143
picorv32_typical,70,-0.27634594,-0.8378643
picorv32_typical,88,-0.27634594,-0.8378643
picorv32_typical,111,0.036063015,-0.8308892
picorv32_typical,100,-0.27634594,-0.8099641
picorv32_typical,157,0.06287173,-0.80298907
picorv32_typical,56,-0.27634594,-0.789039
picorv32_typical,63,-0.27634594,-0.77508897
picorv32_typical,204,0.04025338,-0.7681139
picorv32_typical,29,-0.27634594,-0.7681139
picorv32_typical,81,0.28542122,-0.75416386
picorv32_typical,95,-0.27634594,-0.7471888
picorv32_typical,228,-0.2009501,-0.71231365
picorv32_typical,240,0.34946862,-0.69138855
picorv32_typical,234,-0.27634594,-0.67046344
picorv32_typical,129,-0.27634594,-0.67046344
picorv32_typical,85,-0.27634594,-0.66348845
picorv32_typical,227,0.25520328,-0.66348845
picorv32_typical,9,-0.27634594,-0.64256334
picorv32_typical,116,-0.27634594,-0.6355883
picorv32_typical,86,-0.27634594,-0.62861323
picorv32_typical,163,0.901228,-0.62861323
picorv32_typical,61,-0.27634594,-0.6076881
picorv32_typical,135,-0.20259258,-0.5937381
picorv32_typical,38,0.39269254,-0.5937381
picorv32_typical,51,-0.27634594,-0.586763
picorv32_typical,120,0.10663305,-0.586763
picorv32_typical,211,-0.27634594,-0.579788
picorv32_typical,74,0.108152516,-0.572813
picorv32_typical,151,-0.27634594,-0.5588629
picorv32_typical,141,-0.27634594,-0.51003766
picorv32_typical,196,0.25021398,-0.50306267
picorv32_typical,52,-0.27634594,-0.4891126
picorv32_typical,158,0.23232332,-0.48213756
picorv32_typical,168,-0.27634594,-0.4751625
picorv32_typical,49,-0.27634594,-0.46818748
picorv32_typical,91,0.46082053,-0.46121246
picorv32_typical,218,0.19720456,-0.44726238
picorv32_typical,54,0.08747844,-0.42633727
picorv32_typical,170,0.21965744,-0.41936225
picorv32_typical,33,0.5282654,-0.37751207
picorv32_typical,98,0.15652442,-0.37751207
picorv32_typical,150,0.07180666,-0.34263688
picorv32_typical,26,-0.27634594,-0.34263688
picorv32_typical,224,0.3624005,-0.33566186
picorv32_typical,206,0.19769308,-0.32868683
picorv32_typical,231,-0.27634594,-0.30078667
picorv32_typical,16,-0.2730434,-0.28683662
picorv32_typical,73,0.20201951,-0.26591152
picorv32_typical,0,-0.11100765,-0.084560655
picorv32_typical,103,0.08173204,-0.049685486
picorv32_typical,194,0.47465554,-0.049685486
picorv32_typical,201,-0.27634594,-0.014810321
picorv32_typical,108,0.56458986,0.013089812
picorv32_typical,212,0.16184393,0.040989947
picorv32_typical,136,-0.14358158,0.07586511
picorv32_typical,178,0.6211859,0.082840145
picorv32_typical,125,-0.27634594,0.082840145
picorv32_typical,22,0.27556074,0.14561544
picorv32_typical,107,0.4588716,0.20141572
picorv32_typical,177,0.4993758,0.20839074
picorv32_typical,47,-0.27634594,0.2223408
picorv32_typical,236,0.24563727,0.22931585
picorv32_typical,171,0.5663025,0.25024095
picorv32_typical,229,0.18677828,0.25024095
picorv32_typical,2,-0.27634594,0.29209113
picorv32_typical,164,0.54994595,0.4106667
picorv32_typical,89,0.18285406,0.4525169
picorv32_typical,222,0.6298676,0.4525169
picorv32_typical,225,0.41017938,0.466467
picorv32_typical,122,0.23709783,0.47344202
picorv32_typical,126,-0.05544465,0.48041704
picorv32_typical,8,0.2984589,0.5083172
picorv32_typical,143,0.16616185,0.5222672
picorv32_typical,3,0.18668321,0.56411743
picorv32_typical,24,-0.27634594,0.5710925
picorv32_typical,115,0.11034124,0.57806754
picorv32_typical,117,0.14208588,0.57806754
picorv32_typical,21,0.6217149,0.58504254
picorv32_typical,190,-0.27634594,0.58504254
picorv32_typical,235,0.1169863,0.58504254
picorv32_typical,180,-0.27634594,0.58504254
picorv32_typical,6,0.60250074,0.5920176
picorv32_typical,12,0.21647264,0.5920176
picorv32_typical,130,0.06460884,0.67571795
picorv32_typical,77,0.14184473,0.68966806
picorv32_typical,17,0.099085495,0.73151827
picorv32_typical,41,0.16209811,0.7454683
picorv32_typical,191,-0.27634594,0.7454683
picorv32_typical,15,0.478458,0.7942935
picorv32_typical,55,0.5499951,0.7942935
picorv32_typical,28,0.33942616,0.87799394
picorv32_typical,67,0.12705001,0.94774425
picorv32_typical,23,-0.27634594,0.96169436
picorv32_typical,39,-0.10539607,0.98261946
picorv32_typical,226,0.3517637,1.1290952
picorv32_typical,57,0.42158297,1.1639704
picorv32_typical,4,-0.106444895,1.1779203
picorv32_typical,11,0.24152017,1.2406957
picorv32_typical,137,0.16943952,1.2895209
picorv32_typical,65,0.15377192,1.2964959
picorv32_typical,93,-0.27634594,1.303471
picorv32_typical,45,0.53628564,1.3453212
picorv32_typical,92,0.42484176,1.3522962
picorv32_typical,105,0.25083843,1.3941464
picorv32_typical,152,-0.07560857,1.4778469
picorv32_typical,181,0.2850757,1.4917969
picorv32_typical,82,0.6216072,1.512722
picorv32_typical,134,-0.27634594,1.5685222
picorv32_typical,153,0.091524564,1.5824723
picorv32_typical,1,0.75655377,1.6522226
picorv32_typical,247,0.13861859,1.6522226
picorv32_typical,200,0.3456993,1.721973
picorv32_typical,112,0.23643865,1.7498732
picorv32_typical,36,0.86522853,1.8544986
picorv32_typical,239,0.5744018,1.8684487
picorv32_typical,30,0.4273682,1.9451741
picorv32_typical,208,0.8439187,1.9870242
