designs,synID,prediction,actual
picosoc,71,0.7024567,-1.5466529
picosoc,65,0.3036203,-1.44775
picosoc,68,-0.05895731,-1.413134
picosoc,53,-0.05121464,-1.413134
picosoc,154,0.30803236,-1.3636826
picosoc,16,0.10381383,-1.3191763
picosoc,31,-0.27634594,-1.2895055
picosoc,242,0.07792404,-1.2351089
picosoc,131,0.43594122,-1.2153282
picosoc,133,0.32127705,-1.1856574
picosoc,179,-0.27634594,-1.1807122
picosoc,46,0.094881445,-1.1559865
picosoc,202,-0.2506687,-1.1510414
picosoc,149,-0.27634594,-1.1263157
picosoc,138,-0.27634594,-1.1114802
picosoc,111,0.20786239,-1.0373031
picosoc,2,-0.27634594,-0.9532357
picosoc,169,-0.27634594,-0.9482905
picosoc,231,-0.27634594,-0.93840027
picosoc,198,-0.27634594,-0.93840027
picosoc,227,0.4020508,-0.91367453
picosoc,141,-0.27634594,-0.87905854
picosoc,204,0.21016504,-0.8642231
picosoc,237,-0.27634594,-0.84444255
picosoc,74,0.25887915,-0.84444255
picosoc,230,0.1175222,-0.8394974
picosoc,42,0.4778862,-0.8296071
picosoc,153,0.24225128,-0.8197168
picosoc,151,-0.09776824,-0.80982655
picosoc,69,-0.27634594,-0.8048814
picosoc,113,0.53853416,-0.79993623
picosoc,80,-0.090315804,-0.78015566
picosoc,225,0.55644625,-0.7702654
picosoc,147,-0.27634594,-0.7603751
picosoc,114,-0.060288772,-0.7504848
picosoc,161,0.2602319,-0.7109237
picosoc,221,0.105313964,-0.7109237
picosoc,245,0.012679636,-0.7059785
picosoc,150,0.22750357,-0.7059785
picosoc,34,0.35096744,-0.69608825
picosoc,70,-0.27634594,-0.66641736
picosoc,116,-0.27634594,-0.66147226
picosoc,9,-0.27634594,-0.6565271
picosoc,166,0.091308706,-0.65158194
picosoc,95,-0.27634594,-0.6120208
picosoc,52,-0.27634594,-0.6070757
picosoc,121,0.3879132,-0.5872951
picosoc,177,0.6456423,-0.5872951
picosoc,24,-0.27634594,-0.5774048
picosoc,43,0.43428096,-0.57245964
picosoc,108,0.7108565,-0.5576242
picosoc,181,0.43134233,-0.54773396
picosoc,40,0.57173514,-0.5427888
picosoc,187,0.47653523,-0.53784364
picosoc,76,-0.27634594,-0.53289855
picosoc,56,-0.27634594,-0.53289855
picosoc,180,-0.27634594,-0.53289855
