designs,synID,prediction,actual
s38417,133,0.16513543,-1.9957701
s38417,213,-0.27634594,-1.8177544
s38417,227,0.24837211,-1.7109449
s38417,141,-0.27634594,-1.7109449
s38417,175,-0.27634594,-1.6041355
s38417,226,0.3451347,-1.5685323
s38417,197,-0.27634594,-1.5329292
s38417,165,-0.24978855,-1.497326
s38417,236,0.23880616,-1.497326
s38417,168,-0.27634594,-1.4261198
s38417,136,-0.19405955,-1.3549135
s38417,128,-0.27634594,-1.2837071
s38417,114,-0.27634594,-1.2125008
s38417,127,-0.27634594,-1.2125008
s38417,95,-0.27634594,-1.1768978
s38417,76,-0.27634594,-1.1056914
s38417,41,0.15753174,-1.1056914
s38417,180,-0.27634594,-1.0344851
s38417,29,-0.27634594,-1.0344851
s38417,179,-0.27634594,-0.96327883
s38417,69,-0.27634594,-0.92767566
s38417,47,-0.27634594,-0.8920725
s38417,231,-0.27634594,-0.85646933
s38417,166,-0.27634594,-0.85646933
s38417,188,-0.27634594,-0.85646933
s38417,148,-0.27634594,-0.85646933
s38417,75,-0.27634594,-0.85646933
s38417,27,-0.27634594,-0.85646933
s38417,182,-0.27634594,-0.8208662
s38417,106,0.21789339,-0.78526306
s38417,159,0.16187136,-0.78526306
s38417,193,0.247634,-0.7496599
s38417,195,-0.27634594,-0.7140568
s38417,147,-0.27634594,-0.6784536
s38417,202,-0.27634594,-0.6784536
s38417,63,-0.27634594,-0.6072473
s38417,61,-0.27634594,-0.6072473
s38417,89,0.18245226,-0.6072473
s38417,154,0.15148711,-0.6072473
s38417,24,-0.27634594,-0.6072473
s38417,245,-0.27634594,-0.5716442
s38417,237,-0.27634594,-0.5716442
s38417,117,0.13525477,-0.536041
s38417,102,-0.27634594,-0.536041
s38417,122,0.23026673,-0.50043786
s38417,198,-0.27634594,-0.50043786
s38417,152,-0.08750749,-0.50043786
s38417,88,-0.27634594,-0.50043786
s38417,100,-0.27634594,-0.46483472
s38417,13,-0.27634594,-0.46483472
s38417,79,-0.27634594,-0.46483472
s38417,131,0.28304553,-0.42923158
s38417,56,-0.27634594,-0.42923158
s38417,207,0.3183019,-0.42923158
s38417,9,-0.27634594,-0.42923158
s38417,16,-0.27634594,-0.39362842
s38417,74,0.101321384,-0.39362842
s38417,51,-0.27634594,-0.39362842
s38417,54,0.0788493,-0.39362842
s38417,33,0.52163637,-0.35802528
s38417,62,-0.27634594,-0.35802528
s38417,6,0.5958717,-0.35802528
s38417,65,0.14694078,-0.35802528
s38417,40,0.41883925,-0.28681898
s38417,174,0.21927926,-0.25121582
s38417,12,0.2096415,-0.25121582
s38417,78,0.3584671,-0.25121582
s38417,53,-0.27634594,-0.21561268
s38417,34,0.19573165,-0.18000953
s38417,145,0.21332479,-0.18000953
s38417,189,0.2618626,-0.18000953
s38417,240,0.3428397,-0.18000953
s38417,32,0.10235457,-0.18000953
s38417,98,0.14969331,-0.18000953
s38417,138,-0.27634594,-0.18000953
s38417,64,-0.27634594,-0.18000953
s38417,119,0.09248361,-0.14440638
s38417,221,-0.27634594,-0.14440638
s38417,42,0.32499036,-0.14440638
s38417,233,-0.27634594,-0.10880323
s38417,243,-0.050661594,-0.10880323
s38417,155,-0.27634594,-0.10880323
s38417,96,-0.27634594,-0.07320008
s38417,137,0.1645391,-0.07320008
s38417,77,0.13501355,-0.037596926
s38417,82,0.6149781,-0.037596926
s38417,35,-0.27634594,-0.037596926
s38417,143,0.15933074,-0.0019937763
s38417,14,-0.27634594,-0.0019937763
s38417,219,-0.27634594,-0.0019937763
s38417,3,0.17985208,0.03360937
s38417,94,-0.27634594,0.03360937
s38417,132,-0.27634594,0.069212526
s38417,186,0.43174964,0.069212526
s38417,49,-0.27634594,0.10481567
s38417,120,0.09980188,0.10481567
s38417,232,0.6784004,0.10481567
s38417,60,0.35347503,0.14041883
s38417,125,-0.27634594,0.14041883
s38417,135,-0.24908453,0.17602198
s38417,192,-0.27634594,0.17602198
s38417,241,-0.03940002,0.17602198
s38417,150,0.059375383,0.21162511
s38417,164,0.54331696,0.21162511
s38417,217,-0.27634594,0.24722826
s38417,81,0.27879223,0.28283143
s38417,71,0.5495611,0.28283143
s38417,44,-0.27634594,0.31843457
s38417,55,0.5433661,0.35403773
