designs,synID,prediction,actual
sha256,166,-0.11955937,-1.7005086
sha256,190,-0.27634594,-1.6678157
sha256,124,0.066608794,-1.616441
sha256,89,0.21880352,-1.5370439
sha256,64,-0.27634594,-1.5183623
sha256,39,-0.036666844,-1.4623172
sha256,180,-0.27634594,-1.3922609
sha256,42,0.36650515,-1.3689089
sha256,83,0.028113995,-1.2988526
sha256,2,-0.27634594,-1.2988526
sha256,192,-0.27634594,-1.2895118
sha256,127,-0.27634594,-1.2848413
sha256,38,0.42757833,-1.2801709
sha256,193,0.28995314,-1.2614893
sha256,228,-0.06837854,-1.2428076
sha256,165,-0.27634594,-1.1634104
sha256,131,0.32456028,-1.1213768
sha256,88,-0.27634594,-1.102695
sha256,103,0.11818091,-1.102695
sha256,246,0.42340392,-1.0559908
sha256,172,0.46092373,-1.0279684
sha256,216,-0.27634594,-1.0186275
sha256,97,-0.27634594,-1.0092866
sha256,187,0.36515415,-1.0092866
sha256,219,-0.27634594,-0.9999458
sha256,243,0.027190559,-0.9999458
sha256,49,-0.27634594,-0.990605
sha256,167,-0.27634594,-0.9812642
sha256,244,0.505998,-0.9579121
sha256,107,0.49375734,-0.9579121
sha256,199,0.00025699567,-0.94857126
sha256,183,-0.27634594,-0.9439008
sha256,197,-0.27634594,-0.9439008
sha256,59,-0.27634594,-0.93456
sha256,217,-0.27634594,-0.92988956
sha256,202,-0.27634594,-0.9158783
sha256,79,-0.27634594,-0.9018671
sha256,154,0.19426772,-0.89719665
sha256,52,-0.27634594,-0.8925262
sha256,12,0.25242206,-0.8878558
sha256,102,-0.27634594,-0.8598333
sha256,178,0.65607166,-0.85516286
sha256,148,-0.27634594,-0.84582204
sha256,145,0.25610536,-0.8271404
sha256,93,-0.27634594,-0.8037883
sha256,214,0.11417932,-0.7524137
sha256,161,0.14545503,-0.73373204
sha256,5,0.3643244,-0.72439116
sha256,25,0.765671,-0.69169825
sha256,16,-0.087351635,-0.6496645
sha256,157,0.10781692,-0.6309828
sha256,188,-0.27634594,-0.61697155
sha256,96,-0.27634594,-0.6076307
sha256,164,0.5848317,-0.6029603
sha256,0,-0.040047713,-0.59361947
sha256,11,0.2773912,-0.5889491
sha256,123,-0.27634594,-0.58427864
sha256,229,0.22272772,-0.5749378
sha256,7,-0.27634594,-0.5702674
