designs,synID,prediction,actual
spi,220,-0.27634594,-1.2537016
spi,141,-0.30205312,-1.2537016
spi,231,-0.27673167,-1.2259465
spi,8,0.2920017,-1.2166948
spi,132,-0.2489611,-1.2166948
spi,60,0.35364667,-1.2166948
spi,209,0.46152493,-1.2074432
spi,4,-0.12740299,-1.2074432
spi,95,-0.27132517,-1.2074432
spi,108,0.5581326,-1.1796881
spi,197,-0.2891406,-1.1704365
spi,237,-0.28775933,-1.1611848
spi,184,-0.28727466,-1.1519331
spi,68,-0.27634594,-1.1426814
spi,204,0.028144117,-1.1334298
spi,176,-0.2879186,-1.1334298
spi,19,0.024941117,-1.1334298
spi,115,0.10368709,-1.1334298
spi,236,0.23898315,-1.1334298
spi,40,0.4190111,-1.124178
spi,24,-0.27634594,-1.124178
spi,114,-0.27634594,-1.124178
spi,162,0.3598117,-1.1149263
spi,70,-0.3095255,-1.1149263
spi,196,0.2435599,-1.1056746
spi,76,-0.27634594,-1.1056746
spi,151,-0.27634594,-1.1056746
spi,246,0.38206095,-1.1056746
spi,46,-0.27634594,-1.0871713
spi,104,0.47247344,-1.0779196
spi,226,0.34530646,-1.068668
spi,41,0.16350186,-1.068668
spi,126,-0.06755384,-1.0594163
spi,29,-0.27545115,-1.0594163
spi,195,-0.28786027,-1.0594163
spi,72,0.32432178,-1.0594163
spi,118,0.107677504,-1.0594163
spi,208,0.8374615,-1.0501646
spi,133,0.16818075,-1.0501646
spi,175,-0.3018129,-1.0501646
spi,153,0.08487039,-1.0501646
spi,98,0.14987026,-1.0501646
spi,106,0.21807042,-1.0316613
spi,247,0.13196447,-1.0131578
spi,62,-0.27634594,-1.0131578
spi,230,-0.22677155,-1.0039061
spi,54,0.07917137,-1.0039061
spi,38,0.38623527,-0.9946545
spi,158,0.22566918,-0.9946545
spi,77,0.13519056,-0.9946545
spi,189,0.2620396,-0.9854028
spi,186,0.43192142,-0.9854028
spi,89,0.18000111,-0.9761511
spi,215,0.45846847,-0.96689945
spi,90,-0.41559342,-0.96689945
spi,179,-0.27634594,-0.96689945
spi,127,-0.3158228,-0.96689945
spi,47,-0.27634594,-0.95764774
spi,249,1.1938978,-0.95764774
spi,48,0.45375705,-0.95764774
spi,139,0.43103006,-0.9483961
spi,92,0.41838455,-0.9298927
spi,168,-0.27634594,-0.9298927
spi,146,-0.2994793,-0.9298927
spi,116,-0.27634594,-0.91138935
spi,227,0.24854913,-0.9021377
spi,143,0.15950774,-0.8836343
spi,238,-0.3008266,-0.86513096
spi,9,-0.32029712,-0.80962086
spi,15,0.47200087,-0.78186584
spi,159,0.16204828,-0.76336247
spi,88,-0.24855372,-0.76336247
spi,129,-0.27634594,-0.7356074
spi,235,0.11033219,-0.6338389
spi,3,0.18002906,-0.48581198
spi,67,0.12039585,-0.4765603
spi,164,0.54348874,-0.42105022
spi,17,0.09922209,-0.36554012
spi,121,0.23398073,-0.35628843
spi,99,0.4789531,-0.32853338
spi,187,0.32381114,-0.31003004
spi,140,0.7697314,0.1340507
spi,205,-0.27634594,0.19881248
spi,234,-0.21606529,0.20806415
spi,13,-0.3075604,0.68915164
spi,149,-0.27634594,0.68915164
spi,64,-0.27634594,0.6984033
spi,2,-0.29527172,0.707655
spi,182,-0.32772,0.7261583
spi,240,0.34301138,0.73541003
spi,16,-0.254451,0.73541003
spi,91,0.4543633,0.8001718
spi,75,-0.27634594,0.8094235
spi,203,-0.27634594,0.8094235
spi,241,-0.039077997,0.81867516
spi,100,-0.29790312,0.81867516
spi,147,-0.27634594,0.81867516
spi,61,-0.33212224,0.81867516
spi,97,-0.27634594,0.81867516
