designs,synID,prediction,actual
tinyRocket,26,-0.27634594,-1.6749945
tinyRocket,148,-0.27634594,-1.579445
tinyRocket,136,-0.009716419,-1.501811
tinyRocket,165,-0.27634594,-1.4958392
tinyRocket,70,-0.27634594,-1.2689092
tinyRocket,138,-0.27634594,-1.2390499
tinyRocket,169,-0.27634594,-1.2211344
tinyRocket,68,-0.27634594,-1.2151626
tinyRocket,190,-0.27634594,-1.2091907
tinyRocket,76,-0.27634594,-1.1912752
tinyRocket,197,-0.27634594,-1.1853033
tinyRocket,56,-0.27634594,-1.1435004
tinyRocket,179,-0.27634594,-1.1076694
tinyRocket,128,-0.27634594,-1.0837821
tinyRocket,75,-0.27634594,-1.0360073
tinyRocket,149,-0.27634594,-1.0001762
tinyRocket,88,-0.27634594,-0.9822607
tinyRocket,202,-0.27634594,-0.97628886
tinyRocket,16,-0.04334841,-0.96434516
tinyRocket,195,-0.27634594,-0.9404578
tinyRocket,192,-0.27634594,-0.934486
tinyRocket,211,-0.27634594,-0.9285141
tinyRocket,9,-0.27634594,-0.9105986
tinyRocket,219,-0.27634594,-0.8986549
tinyRocket,180,-0.27634594,-0.892683
tinyRocket,150,0.13718861,-0.8807394
tinyRocket,133,0.2323779,-0.87476754
tinyRocket,117,0.20249717,-0.8329646
tinyRocket,175,-0.27634594,-0.82102096
tinyRocket,240,0.4080924,-0.82102096
tinyRocket,248,-0.27634594,-0.79713356
tinyRocket,74,0.16856378,-0.779218
tinyRocket,141,-0.27634594,-0.76130253
tinyRocket,191,-0.27634594,-0.7553307
tinyRocket,23,-0.27634594,-0.7553307
tinyRocket,122,0.29683778,-0.74935883
tinyRocket,62,-0.27634594,-0.73741513
tinyRocket,236,0.30512458,-0.68366855
tinyRocket,182,-0.27634594,-0.65978116
tinyRocket,61,-0.27634594,-0.65978116
tinyRocket,166,-0.0661051,-0.6358938
tinyRocket,146,-0.27634594,-0.6358938
tinyRocket,100,-0.27634594,-0.6239501
tinyRocket,118,0.17474289,-0.6239501
tinyRocket,183,-0.27634594,-0.6120064
tinyRocket,94,-0.27634594,-0.5761754
tinyRocket,44,-0.032878112,-0.5761754
tinyRocket,108,0.6232135,-0.57020354
tinyRocket,230,-0.018401977,-0.55825984
tinyRocket,129,-0.27634594,-0.53437245
tinyRocket,80,-0.27634594,-0.5284006
tinyRocket,227,0.31440747,-0.50451326
tinyRocket,124,0.098382846,-0.48659772
tinyRocket,47,-0.27634594,-0.48659772
tinyRocket,64,-0.27634594,-0.48062587
tinyRocket,161,0.1699169,-0.48062587
tinyRocket,155,-0.27634594,-0.47465405
tinyRocket,46,-0.059603445,-0.46271035
tinyRocket,52,-0.27634594,-0.44479483
tinyRocket,8,0.3570827,-0.4268793
tinyRocket,12,0.27682284,-0.40896377
tinyRocket,233,-0.27634594,-0.39702007
tinyRocket,111,0.11754707,-0.39702007
tinyRocket,245,-0.2672422,-0.39104822
tinyRocket,121,0.30027014,-0.35521716
tinyRocket,241,0.082910486,-0.30147058
tinyRocket,223,-0.27634594,-0.27161136
tinyRocket,42,0.39024314,-0.22383663
tinyRocket,41,0.22250943,-0.21786478
tinyRocket,40,0.48409206,-0.21786478
tinyRocket,31,-0.27634594,-0.17606188
tinyRocket,11,0.3011293,-0.17606188
tinyRocket,60,0.41872776,-0.15814635
tinyRocket,152,0.034327965,-0.1521745
tinyRocket,63,-0.18012029,-0.14023082
tinyRocket,189,0.3274988,-0.12828714
tinyRocket,79,-0.27634594,-0.12231529
tinyRocket,51,-0.27634594,-0.116343446
tinyRocket,135,-0.024271805,-0.10439976
tinyRocket,242,-0.08608124,-0.08648423
tinyRocket,7,-0.27634594,-0.08648423
tinyRocket,207,0.38298327,-0.050653175
tinyRocket,228,-0.02386291,-0.04468133
tinyRocket,19,0.11808964,-0.032737643
tinyRocket,67,0.18746126,-0.020793958
tinyRocket,39,0.00784872,0.0030934147
tinyRocket,3,0.24709451,0.05086816
tinyRocket,221,-0.04061854,0.05086816
tinyRocket,143,0.22657315,0.062811844
tinyRocket,170,0.27991346,0.09267106
tinyRocket,131,0.34829828,0.11058659
tinyRocket,222,0.68849146,0.13447396
tinyRocket,102,-0.27634594,0.13447396
tinyRocket,5,0.38806245,0.13447396
tinyRocket,234,-0.27634594,0.14044581
tinyRocket,203,-0.27634594,0.21210793
tinyRocket,205,-0.27634594,0.25988266
tinyRocket,139,0.49611107,0.28974187
tinyRocket,91,0.51944435,0.31362927
tinyRocket,226,0.4103875,0.32557294
tinyRocket,177,0.5579995,0.3733477
tinyRocket,49,-0.27634594,0.38529137
tinyRocket,232,0.7436531,0.41515058
tinyRocket,126,0.054491892,0.42112243
tinyRocket,33,0.58688915,0.42709428
tinyRocket,186,0.49700233,0.43903795
tinyRocket,103,0.1426427,0.43903795
tinyRocket,4,0.007216881,0.4450098
tinyRocket,212,0.22225526,0.4987564
tinyRocket,153,0.15193583,0.5405593
tinyRocket,10,0.2958146,0.5644467
tinyRocket,188,-0.27634594,0.5943059
tinyRocket,185,-0.27634594,0.6002777
tinyRocket,187,0.38889214,0.6062496
tinyRocket,28,0.39804986,0.6241651
tinyRocket,92,0.48346558,0.6361088
tinyRocket,17,0.15949675,0.6420806
tinyRocket,32,0.16959698,0.6540243
tinyRocket,239,0.6330255,0.67193985
tinyRocket,71,0.6148138,0.68388355
tinyRocket,216,-0.27634594,0.72568643
tinyRocket,243,0.07170622,0.7674893
tinyRocket,29,-0.27634594,0.77346116
tinyRocket,246,0.44714195,0.8033204
tinyRocket,73,0.26243082,0.8451233
tinyRocket,162,0.4248926,0.85109514
tinyRocket,57,0.48020664,0.8869262
tinyRocket,247,0.1990299,0.9167854
tinyRocket,194,0.5332793,0.92275727
tinyRocket,134,-0.27634594,0.95261645
tinyRocket,84,0.5018865,0.9944194
tinyRocket,174,0.28617546,1.0421941
tinyRocket,115,0.17075253,1.0780252
tinyRocket,214,0.13864113,1.161631
tinyRocket,178,0.6798096,1.1735747
tinyRocket,0,0.0044679223,1.2691242
tinyRocket,104,0.5367503,1.275096
tinyRocket,21,0.6803387,1.4124484
tinyRocket,210,0.18357316,1.4184202
tinyRocket,160,0.58414906,1.4542513
tinyRocket,18,0.7426212,1.5259134
tinyRocket,25,0.789409,1.6513221
tinyRocket,208,0.9025424,1.7110405
tinyRocket,156,0.4355503,1.7229842
tinyRocket,101,0.8273772,1.7647871
tinyRocket,163,0.9598516,1.7886745
tinyRocket,172,0.48466185,1.8065901
tinyRocket,171,0.6249262,1.8603367
tinyRocket,37,0.35243794,1.8663085
tinyRocket,105,0.31017178,1.9738016
