designs,synID,prediction,actual
tv80,196,0.24942335,-2.6175876
tv80,176,-0.27634594,-2.0787156
tv80,173,-0.27634594,-1.9652689
tv80,56,-0.27634594,-1.9652689
tv80,193,0.25367445,-1.6343826
tv80,127,-0.27634594,-1.4358509
tv80,46,-0.27634594,-1.4358509
tv80,104,0.47735932,-1.3885814
tv80,195,-0.27634594,-1.3791275
tv80,54,0.08668779,-1.3791275
tv80,231,-0.27634594,-1.3696736
tv80,165,-0.2595328,-1.3602197
tv80,133,0.171176,-1.3224041
tv80,237,-0.27634594,-1.2562269
tv80,221,-0.26838714,-1.1995035
tv80,211,-0.27634594,-1.1900496
tv80,51,-0.27634594,-1.161688
tv80,202,-0.27634594,-1.1144185
tv80,182,-0.27634594,-1.0766029
tv80,90,-0.2882198,-1.067149
tv80,9,-0.27634594,-1.067149
tv80,27,-0.27634594,-1.0576952
tv80,85,-0.2879304,-1.0482413
tv80,75,-0.27634594,-1.0293335
tv80,40,0.42470095,-1.0198796
tv80,76,-0.27634594,-1.0198796
tv80,118,0.113541014,-1.0009718
tv80,116,-0.27634594,-0.99151796
tv80,26,-0.32221216,-0.9631563
tv80,106,0.22393385,-0.9442485
tv80,138,-0.27634594,-0.9347946
tv80,83,-0.03874563,-0.9158868
tv80,148,-0.27634594,-0.9064329
tv80,124,-0.00025085825,-0.88752514
tv80,213,-0.27634594,-0.85916346
tv80,197,-0.27634594,-0.8497096
tv80,62,-0.27634594,-0.8308018
tv80,70,-0.27634594,-0.811894
tv80,233,-0.27634594,-0.7929862
tv80,167,-0.27634594,-0.7835323
tv80,234,-0.27634594,-0.73626286
tv80,207,0.323697,-0.73626286
tv80,97,-0.27634594,-0.73626286
tv80,113,0.39150026,-0.72680897
tv80,227,0.25441268,-0.6795395
tv80,80,-0.27634594,-0.6795395
tv80,168,-0.27634594,-0.6700856
tv80,41,0.16260278,-0.6700856
tv80,236,0.24484661,-0.6606317
tv80,111,0.034624197,-0.64172393
tv80,115,0.10955064,-0.63227004
tv80,102,-0.27634594,-0.63227004
tv80,219,-0.27634594,-0.60390836
tv80,72,0.3300118,-0.60390836
tv80,71,0.5554227,-0.5850006
tv80,96,-0.27634594,-0.5850006
tv80,230,-0.1847921,-0.5755467
tv80,154,0.15752758,-0.5660928
tv80,109,-0.27634594,-0.547185
tv80,79,-0.27634594,-0.547185
tv80,218,0.19641395,-0.50936943
tv80,31,-0.27634594,-0.49991554
tv80,108,0.5638227,-0.46209997
tv80,60,0.3593367,-0.44319218
