designs,synID,prediction,actual
wb_conmax,159,0.15753451,-1.7949307
wb_conmax,49,-0.27634594,-1.6864222
wb_conmax,187,0.3194309,-1.6527473
wb_conmax,61,-0.32392725,-1.5966222
wb_conmax,224,0.351563,-1.5404972
wb_conmax,78,0.3542586,-1.4581805
wb_conmax,118,0.10316369,-1.4544388
wb_conmax,202,-0.27634594,-1.3945721
wb_conmax,188,-0.28307495,-1.3908305
wb_conmax,26,-0.38683408,-1.3197387
wb_conmax,214,0.054126553,-1.3085138
wb_conmax,241,-0.04729221,-1.3010304
wb_conmax,201,-0.27634594,-1.2411637
wb_conmax,161,0.098337665,-1.2374221
wb_conmax,79,-0.2982987,-1.2261971
wb_conmax,220,-0.27634594,-1.2261971
wb_conmax,219,-0.36112833,-1.1700721
wb_conmax,32,0.0980178,-1.1176887
wb_conmax,83,-0.057630293,-1.1064637
wb_conmax,59,-0.31074488,-1.102722
wb_conmax,211,-0.3062763,-1.0727887
wb_conmax,157,0.04254826,-1.0653054
wb_conmax,99,0.4745728,-1.0540804
wb_conmax,73,0.19085151,-1.024147
wb_conmax,130,0.0442854,-1.0129219
wb_conmax,11,0.23035213,-1.0129219
wb_conmax,191,-0.3546723,-1.0054387
wb_conmax,69,-0.27634594,-0.99047196
wb_conmax,183,-0.3126494,-0.9642803
wb_conmax,142,-0.36529052,-0.934347
wb_conmax,165,-0.3107809,-0.9231219
wb_conmax,229,0.18129075,-0.91938025
wb_conmax,163,0.8903905,-0.8894469
wb_conmax,38,0.38185504,-0.8819636
wb_conmax,52,-0.27634594,-0.8595136
wb_conmax,182,-0.31952506,-0.8108719
wb_conmax,28,0.32925197,-0.79590523
wb_conmax,84,0.43242523,-0.78842187
wb_conmax,245,-0.27634594,-0.78468025
wb_conmax,89,0.17294458,-0.78093857
wb_conmax,173,-0.41452953,-0.78093857
wb_conmax,75,-0.29757425,-0.7771969
wb_conmax,134,-0.27634594,-0.7734552
wb_conmax,175,-0.29361793,-0.74726355
wb_conmax,212,0.150676,-0.7360385
wb_conmax,3,0.17551526,-0.7173302
wb_conmax,13,-0.29936543,-0.7173302
wb_conmax,244,0.4602748,-0.7023635
wb_conmax,108,0.5537524,-0.63875514
wb_conmax,109,-0.29392532,-0.63501346
wb_conmax,131,0.2796091,-0.6163052
wb_conmax,10,0.22487548,-0.59011346
wb_conmax,167,-0.35135534,-0.5714051
wb_conmax,23,-0.28745383,-0.5265051
wb_conmax,80,-0.27634594,-0.52276343
wb_conmax,185,-0.33783618,-0.5152801
wb_conmax,0,-0.16878237,-0.45167175
wb_conmax,152,-0.095178455,-0.43670508
wb_conmax,136,-0.22507297,-0.42548007
wb_conmax,94,-0.27634594,-0.4105134
wb_conmax,88,-0.22653681,-0.40677172
wb_conmax,199,-0.08524416,-0.38058004
wb_conmax,164,0.53910846,-0.28329667
wb_conmax,240,0.33863118,-0.27581334
wb_conmax,37,0.2829767,-0.22717164
wb_conmax,67,0.11588203,-0.13737161
wb_conmax,238,-0.2926317,-0.1261466
wb_conmax,107,0.4480341,-0.1149216
wb_conmax,60,0.34926647,-0.09247159
wb_conmax,215,0.4540882,-0.058796573
wb_conmax,16,-0.23986658,-0.055054907
wb_conmax,234,-0.20628649,-0.055054907
wb_conmax,232,0.67419195,-0.032604896
wb_conmax,223,-0.27634594,-0.028863229
wb_conmax,200,0.3348618,-0.02512156
wb_conmax,19,0.0167269,-0.0064132195
wb_conmax,76,-0.27634594,0.012295122
wb_conmax,206,0.1865252,0.03474513
wb_conmax,113,0.38142994,0.0384868
wb_conmax,176,-0.2787439,0.057195142
wb_conmax,192,-0.27634594,0.064678475
wb_conmax,53,-0.27634594,0.072161816
wb_conmax,29,-0.26965356,0.072161816
wb_conmax,213,-0.27634594,0.07964515
wb_conmax,129,-0.27634594,0.083386816
wb_conmax,197,-0.28722313,0.083386816
wb_conmax,33,0.5212061,0.13951184
wb_conmax,36,0.85439104,0.1432535
wb_conmax,81,0.2745765,0.15447852
wb_conmax,119,0.0959587,0.16570352
wb_conmax,95,-0.2571856,0.17692852
wb_conmax,123,-0.27634594,0.18441187
wb_conmax,110,0.100053795,0.22931188
wb_conmax,235,0.10581837,0.23305355
wb_conmax,248,-0.27634594,0.24053688
wb_conmax,63,-0.21547383,0.24427855
wb_conmax,15,0.4676205,0.24802022
wb_conmax,230,-0.25637224,0.2629869
wb_conmax,138,-0.2569338,0.2966619
wb_conmax,178,0.61034834,0.33033693
wb_conmax,72,0.31994158,0.33033693
wb_conmax,112,0.22527072,0.34904528
wb_conmax,6,0.5916632,0.3677536
wb_conmax,149,-0.27634594,0.38646194
wb_conmax,225,0.39934194,0.44632864
wb_conmax,143,0.15499392,0.48374534
wb_conmax,227,0.2440353,0.49497032
wb_conmax,105,0.23967046,0.49497032
wb_conmax,155,-0.27634594,0.52490366
wb_conmax,150,0.051483214,0.5473537
wb_conmax,135,-0.27634594,0.55857867
wb_conmax,74,0.09698456,0.5847704
wb_conmax,195,-0.27720332,0.60722035
wb_conmax,242,-0.20245512,0.63715374
wb_conmax,41,0.15920682,0.64089537
wb_conmax,120,0.1006172,0.64837873
wb_conmax,31,-0.27634594,0.6633454
wb_conmax,71,0.5453526,0.7306954
wb_conmax,8,0.28773546,0.7943038
wb_conmax,222,0.61903024,0.79804546
wb_conmax,125,-0.27634594,0.80178714
wb_conmax,170,0.20848949,0.8204955
wb_conmax,104,0.46879163,0.83920383
wb_conmax,77,0.13067676,0.86913717
wb_conmax,40,0.41463074,0.87287885
wb_conmax,18,0.6731599,0.89158714
wb_conmax,24,-0.27634594,0.91777885
wb_conmax,46,-0.27634594,0.98887056
wb_conmax,174,0.21839735,1.0225456
