designs,synID,prediction,actual
wb_dma,248,-0.27634594,-2.1605964
wb_dma,151,-0.27634594,-1.8653936
wb_dma,83,-0.0637799,-1.7972699
wb_dma,184,-0.2880745,-1.7972699
wb_dma,97,-0.27634594,-1.7518542
wb_dma,53,-0.27634594,-1.7291462
wb_dma,190,-0.27634594,-1.6610225
wb_dma,168,-0.27634594,-1.5247751
wb_dma,182,-0.33283427,-1.3658198
wb_dma,12,0.20192535,-1.3431119
wb_dma,219,-0.34372118,-1.3204039
wb_dma,237,-0.2894885,-1.2976961
wb_dma,100,-0.30301735,-1.2976961
wb_dma,189,0.2541465,-1.2522802
wb_dma,227,0.24065602,-1.2295724
wb_dma,205,-0.27634594,-1.1614487
wb_dma,68,-0.27634594,-1.1160328
wb_dma,94,-0.27634594,-1.0933249
wb_dma,89,0.16711172,-1.0933249
wb_dma,60,0.34598717,-1.0933249
wb_dma,63,-0.20776057,-1.0706171
wb_dma,34,0.18801555,-1.0479091
wb_dma,176,-0.29050702,-1.0252012
wb_dma,32,0.09463849,-1.0252012
wb_dma,110,0.09667451,-0.9343696
wb_dma,117,0.12753865,-0.9343696
wb_dma,175,-0.30692714,-0.8889538
wb_dma,85,-0.36339924,-0.8889538
wb_dma,152,-0.10538588,-0.8662459
wb_dma,161,0.09495836,-0.84353805
wb_dma,154,0.14377098,-0.84353805
wb_dma,55,0.5358784,-0.84353805
wb_dma,87,-0.31621698,-0.84353805
wb_dma,135,-0.27634594,-0.8208301
wb_dma,6,0.5883839,-0.7754143
wb_dma,146,-0.3045936,-0.7527064
wb_dma,193,0.23991784,-0.7527064
wb_dma,201,-0.27634594,-0.7299985
wb_dma,195,-0.290134,-0.7299985
wb_dma,51,-0.30299625,-0.7299985
wb_dma,43,0.27386913,-0.7299985
wb_dma,109,-0.30723456,-0.7072906
wb_dma,70,-0.31463975,-0.6845827
wb_dma,11,0.22697288,-0.6391669
wb_dma,77,0.12729749,-0.6391669
wb_dma,234,-0.20355277,-0.616459
wb_dma,27,-0.3090507,-0.5937511
wb_dma,216,-0.27634594,-0.5710432
wb_dma,95,-0.24770097,-0.5483353
wb_dma,197,-0.29425484,-0.5483353
wb_dma,217,-0.3496499,-0.5256274
wb_dma,165,-0.26187846,-0.5256274
wb_dma,138,-0.2474492,-0.5029195
wb_dma,64,-0.27634594,-0.5029195
wb_dma,198,-0.36566323,-0.5029195
wb_dma,123,-0.27634594,-0.4802116
wb_dma,204,0.013780317,-0.4802116
wb_dma,14,-0.27634594,-0.45750368
wb_dma,214,0.047976933,-0.38937998
wb_dma,191,-0.34137756,-0.36667207
wb_dma,41,0.15444285,-0.36667207
wb_dma,238,-0.30594084,-0.36667207
wb_dma,236,0.23109004,-0.36667207
wb_dma,102,-0.29849777,-0.34396416
wb_dma,125,-0.28321168,-0.32125628
wb_dma,230,-0.27634594,-0.32125628
wb_dma,13,-0.31267464,-0.32125628
wb_dma,143,0.1516146,-0.32125628
wb_dma,235,0.1024391,-0.29854837
wb_dma,127,-0.3209371,-0.27584046
wb_dma,148,-0.33098367,-0.23042466
wb_dma,241,-0.05344182,-0.23042466
wb_dma,218,0.18265736,-0.23042466
wb_dma,243,-0.0647034,-0.23042466
wb_dma,233,-0.27634594,-0.16230094
wb_dma,86,-0.27634594,-0.13959305
wb_dma,88,-0.23685189,-0.11688514
wb_dma,10,0.22149622,-0.09417724
wb_dma,3,0.17213596,-0.09417724
wb_dma,239,0.56028503,-0.07146934
wb_dma,215,0.4508089,-0.07146934
wb_dma,242,-0.19972138,-0.07146934
wb_dma,129,-0.27634594,-0.07146934
wb_dma,194,0.46053872,-0.048761435
wb_dma,59,-0.29314584,-0.048761435
wb_dma,72,0.31666222,-0.003345631
wb_dma,73,0.18747227,-0.003345631
wb_dma,183,-0.32595864,-0.003345631
wb_dma,162,0.35215208,0.01936227
wb_dma,4,-0.18244374,0.01936227
wb_dma,142,-0.37230057,0.01936227
wb_dma,40,0.41135144,0.01936227
wb_dma,128,-0.2671226,0.01936227
wb_dma,69,-0.27634594,0.08748598
wb_dma,141,-0.29339013,0.08748598
wb_dma,35,-0.28769013,0.08748598
wb_dma,245,-0.27634594,0.08748598
wb_dma,132,-0.22678328,0.11019388
wb_dma,220,-0.27634594,0.11019388
wb_dma,33,0.5183811,0.11019388
wb_dma,244,0.45699552,0.13290179
wb_dma,93,-0.26717,0.15560968
wb_dma,207,0.31540206,0.15560968
wb_dma,98,0.1419772,0.15560968
wb_dma,76,-0.2773249,0.17831759
wb_dma,57,0.40746608,0.26914918
wb_dma,23,-0.29572988,0.26914918
wb_dma,106,0.2101773,0.2918571
wb_dma,139,0.42337054,0.35998082
wb_dma,211,-0.30759466,0.35998082
wb_dma,157,0.03639864,0.3826887
wb_dma,28,0.3264269,0.4735203
wb_dma,29,-0.26018053,0.4735203
wb_dma,37,0.27969745,0.49622822
wb_dma,67,0.112502776,0.5643519
wb_dma,126,-0.08191773,0.58705986
wb_dma,44,-0.27634594,0.60976774
wb_dma,15,0.4643412,0.6324756
wb_dma,149,-0.27634594,0.7005994
wb_dma,174,0.21557228,0.72330725
wb_dma,111,0.012255632,0.72330725
wb_dma,247,0.1240714,0.8141388
wb_dma,221,-0.2209076,0.8141388
wb_dma,137,0.16239724,0.8141388
wb_dma,119,0.08884744,0.83684677
wb_dma,171,0.5521857,0.8822626
wb_dma,166,-0.27634594,0.8822626
wb_dma,1,0.7424371,0.8822626
wb_dma,17,0.098162614,0.90497047
wb_dma,210,0.10861463,0.92767835
wb_dma,115,0.09579401,1.01851
wb_dma,104,0.46596655,1.3137127
wb_dma,206,0.18314588,1.3591285
wb_dma,47,-0.27634594,1.3818364
wb_dma,8,0.28491038,1.9041182
wb_dma,156,0.3628098,1.9949498
wb_dma,200,0.33158252,2.2674446
wb_dma,226,0.33764693,2.6080632
wb_dma,66,0.35781875,2.7897263
wb_dma,249,1.1862384,2.903266
wb_dma,25,0.71666855,3.2211766
wb_dma,140,0.7620719,3.2438843
wb_dma,50,0.84767586,3.2893002
wb_dma,48,0.44609746,3.3120081
wb_dma,172,0.41192123,3.811582
wb_dma,144,1.2100018,5.5373826
