designs,synID,prediction,actual
Rocket_full,132,-0.27634594,0.3069011
Rocket_full,167,-0.27634594,-0.7151618
Rocket_full,23,-0.27634594,-0.29182214
Rocket_full,147,-0.27634594,-0.6667801
Rocket_full,203,-0.27634594,0.7846702
Rocket_full,27,-0.27634594,-0.1345817
Rocket_full,97,-0.27634594,-0.9449748
Rocket_full,231,-0.27634594,-0.5700168
Rocket_full,96,-0.27634594,-0.6365416
Rocket_full,183,-0.27634594,-0.64258933
Rocket_full,86,-0.27634594,-0.42487177
Rocket_full,173,-0.27634594,-1.3017896
Rocket_full,184,-0.27634594,-1.0719767
Rocket_full,188,-0.27634594,0.4218076
Rocket_full,128,-0.27634594,-1.2231694
Rocket_full,169,-0.27634594,-0.733305
Rocket_full,29,-0.27634594,-0.79378206
Rocket_full,129,-0.27634594,-0.9026408
Rocket_full,175,-0.27634594,-0.49139658
Rocket_full,180,-0.27634594,-1.2413125
Rocket_full,13,-0.27634594,-0.5155874
Rocket_full,138,-0.27634594,-0.52768284
Rocket_full,52,-0.27634594,-0.17691566
Rocket_full,102,-0.27634594,0.3734259
Rocket_full,216,-0.27634594,0.4943801
Rocket_full,14,-0.27634594,-0.6304939
Rocket_full,9,-0.27634594,-1.2050263
Rocket_full,51,-0.27634594,0.089183554
Rocket_full,141,-0.27634594,-0.77563894
Rocket_full,114,-0.27634594,0.34318736
Rocket_full,179,-0.27634594,-1.0356904
Rocket_full,59,-0.27634594,-1.0477859
Rocket_full,155,-0.27634594,-0.15877254
Rocket_full,79,-0.27634594,-0.22529735
Rocket_full,191,-0.27634594,-0.34625155
Rocket_full,53,-0.27634594,-0.6667801
Rocket_full,127,-0.27634594,-2.190803
Rocket_full,109,-0.27634594,0.32504424
Rocket_full,176,-0.27634594,-0.90868855
Rocket_full,75,-0.27634594,-1.2836465
Rocket_full,35,-0.27634594,-0.8300683
Rocket_full,168,-0.27634594,-0.22529735
Rocket_full,198,-0.27634594,-0.86030686
Rocket_full,248,-0.27634594,-0.62444615
Rocket_full,2,-0.27634594,-0.74540037
Rocket_full,185,-0.27634594,0.6092866
Rocket_full,245,-0.27634594,-0.46720573
Rocket_full,76,-0.27634594,-0.43091947
Rocket_full,182,-0.27634594,-0.85425913
Rocket_full,237,-0.27634594,-0.31601298
Rocket_full,146,-0.27634594,-0.3946332
Rocket_full,100,-0.27634594,-0.7030664
Rocket_full,142,-0.27634594,-0.5155874
Rocket_full,64,-0.27634594,-0.18901108
Rocket_full,70,-0.27634594,-0.38253778
Rocket_full,197,-0.27634594,-1.5316026
Rocket_full,80,-0.27634594,-0.503492
Rocket_full,87,-0.27634594,0.4399507
Rocket_full,148,-0.27634594,-0.93892705
Rocket_full,90,-0.27634594,-1.6223183
Rocket_full,56,-0.27634594,-1.4166962
Rocket_full,201,-0.0978765,0.21618547
Rocket_full,166,-0.09693869,-0.61235076
Rocket_full,46,-0.089680895,-0.15877254
Rocket_full,16,-0.074235834,-0.9449748
Rocket_full,221,-0.07150614,-0.5760645
Rocket_full,228,-0.054750275,-0.59420764
Rocket_full,230,-0.04928945,0.04684959
Rocket_full,136,-0.040603835,-1.4650778
Rocket_full,0,-0.026419457,1.9155918
Rocket_full,39,-0.023038775,0.11942211
Rocket_full,152,0.003440502,-0.6002553
Rocket_full,199,0.013885117,0.7725747
Rocket_full,126,0.02360443,0.16780378
Rocket_full,243,0.040818818,0.5246186
Rocket_full,241,0.05208031,-0.3281084
Rocket_full,111,0.10057408,-0.29182214
Rocket_full,150,0.12021556,-0.648637
Rocket_full,214,0.12166811,0.46414155
Rocket_full,103,0.12566972,0.004515623
Rocket_full,54,0.13091668,-0.037818342
Rocket_full,153,0.13496284,-0.4430149
Rocket_full,17,0.14252372,0.45809385
Rocket_full,120,0.15007132,0.28875798
Rocket_full,74,0.15159081,-0.7816866
Rocket_full,115,0.15377954,0.89957666
Rocket_full,110,0.15466,-0.38253778
Rocket_full,118,0.1577699,-0.53977823
Rocket_full,210,0.1666002,1.3471072
Rocket_full,67,0.17048827,0.034754172
Rocket_full,247,0.1820569,2.1151662
Rocket_full,77,0.185283,0.06499272
Rocket_full,117,0.18552417,-0.733305
Rocket_full,65,0.19721021,-0.42487177
Rocket_full,98,0.19996275,1.0023878
Rocket_full,143,0.20960015,0.7423362
Rocket_full,159,0.21214075,-0.8119252
Rocket_full,137,0.21287784,0.6153343
Rocket_full,229,0.23021656,0.1133744
Rocket_full,218,0.24064282,0.08313585
Rocket_full,73,0.2454578,1.4801568
Rocket_full,34,0.2460011,0.5064755
Rocket_full,12,0.25991094,-0.46720573
Rocket_full,145,0.2635942,0.25851944
Rocket_full,174,0.26954862,0.70000225
Rocket_full,158,0.27573374,0.40971217
Rocket_full,10,0.27934384,-0.29786986
Rocket_full,112,0.2797273,4.159292
Rocket_full,11,0.28465846,-0.025722925
Rocket_full,196,0.29309508,-0.42487177
Rocket_full,105,0.29370108,3.3488991
Rocket_full,193,0.29722035,-0.93892705
Rocket_full,22,0.31771374,1.8490671
Rocket_full,181,0.3272287,0.26456714
Rocket_full,81,0.32757422,0.7725747
Rocket_full,43,0.33016706,-0.06805689
Rocket_full,131,0.33182752,-0.11039086
Rocket_full,8,0.34061188,-0.29182214
Rocket_full,207,0.36651242,-0.5216351
Rocket_full,5,0.37159166,0.5427618
Rocket_full,187,0.37242132,-0.37044236
Rocket_full,42,0.37377238,-0.23134506
Rocket_full,226,0.39391673,-0.23134506
Rocket_full,60,0.402257,-0.30996528
Rocket_full,224,0.40455344,0.84514725
Rocket_full,78,0.40724912,-0.69097096
Rocket_full,162,0.40842196,1.6132064
Rocket_full,246,0.4306712,1.1172942
Rocket_full,113,0.43442044,-0.11643857
Rocket_full,225,0.4523324,-0.08620002
Rocket_full,92,0.4669948,0.4822847
Rocket_full,40,0.46762118,0.34923506
Rocket_full,172,0.46819094,1.6192541
Rocket_full,139,0.47964025,0.010563333
Rocket_full,186,0.48053154,0.7362885
Rocket_full,107,0.5010246,2.6413171
Rocket_full,48,0.5023674,3.475901
Rocket_full,91,0.50297356,0.034754172
Rocket_full,194,0.5168085,0.3673782
Rocket_full,15,0.5206109,0.13756524
Rocket_full,160,0.5676783,1.4559659
Rocket_full,45,0.5784387,1.3350117
Rocket_full,164,0.5920989,0.63347745
Rocket_full,55,0.5921481,-0.5216351
Rocket_full,108,0.60674286,-0.5821122
Rocket_full,171,0.60845554,0.9177198
Rocket_full,178,0.66333896,1.4015366
Rocket_full,82,0.66376007,0.04080188
Rocket_full,21,0.66386795,1.0084354
Rocket_full,18,0.7261504,1.2805823
Rocket_full,232,0.72718227,0.07708814
Rocket_full,1,0.7987066,1.1656759
Rocket_full,101,0.8109065,2.0728323
Rocket_full,140,0.8183417,3.1493247
Rocket_full,50,0.9039455,2.6655078
Rocket_full,36,0.90738165,0.6939545
Rocket_full,163,0.94338095,1.5406339
Rocket_full,144,1.2662717,3.5666165
