designs,synID,prediction,actual
aes,26,-0.28831664,-0.6867344
aes,61,-0.27634594,0.24241892
aes,191,-0.27634594,0.6028178
aes,213,-0.27634594,-0.86130255
aes,132,-0.27634594,0.9772947
aes,52,-0.27634594,0.91675895
aes,70,-0.27634594,-1.7960871
aes,197,-0.27634594,0.10867715
aes,97,-0.27634594,-1.1752437
aes,31,-0.27634594,-0.92324615
aes,35,-0.27634594,-0.7303764
aes,175,-0.27634594,-0.31225744
aes,216,-0.27634594,-0.21230309
aes,23,-0.27634594,-0.72052175
aes,185,-0.27634594,0.11430838
aes,242,-0.27634594,0.69432527
aes,142,-0.27634594,-0.6571704
aes,155,-0.27634594,-1.7608919
aes,80,-0.27634594,0.23819548
aes,166,-0.27634594,0.42965737
aes,134,-0.27634594,-0.54454577
aes,94,-0.27634594,-0.21793431
aes,56,-0.27634594,-1.0724738
aes,179,-0.27634594,-0.0940472
aes,205,-0.27634594,-0.71629834
aes,59,-0.27634594,0.69291747
aes,201,-0.27634594,-0.42065868
aes,238,-0.27634594,-0.4431836
aes,237,-0.27634594,-0.97674286
aes,129,-0.27634594,-0.57833314
aes,95,-0.27634594,-0.5698863
aes,114,-0.27634594,-0.41361964
aes,192,-0.27634594,-0.616344
aes,190,-0.27634594,-0.45163044
aes,49,-0.27634594,-0.40376496
aes,167,-0.27634594,-0.70644367
aes,231,-0.27634594,0.26494384
aes,96,-0.27634594,-1.4483585
aes,46,-0.27634594,-0.3713854
aes,147,-0.27634594,-1.3357339
aes,248,-0.27634594,-0.50371933
aes,128,-0.27634594,0.059403867
aes,100,-0.27634594,-0.9499945
aes,64,-0.27634594,-1.1696125
aes,245,-0.27634594,-0.6135284
aes,125,-0.27634594,-1.3596666
aes,220,-0.27634594,0.7421908
aes,148,-0.27634594,-0.64168453
aes,141,-0.27634594,0.15654261
aes,180,-0.27634594,1.4728432
aes,109,-0.27634594,-0.5234287
aes,51,-0.27634594,-1.4131633
aes,182,-0.27634594,-1.9382757
aes,149,-0.27634594,-0.026472421
aes,168,-0.27634594,-0.7317842
aes,234,-0.27634594,-1.2597122
aes,29,-0.27634594,-0.0574442
aes,146,-0.27634594,-0.56284726
aes,7,-0.27634594,-0.3910947
aes,79,-0.27634594,-0.63042206
aes,68,-0.27634594,-1.0555801
aes,62,-0.27634594,-0.87678844
aes,93,-0.27634594,0.49300873
aes,165,-0.27634594,0.45781353
aes,90,-0.27634594,0.31844056
aes,123,-0.27634594,0.62815833
aes,16,-0.23544848,-0.8092137
aes,221,-0.22561124,1.1673487
aes,44,-0.19526897,-0.4826022
aes,135,-0.16067798,-1.4920006
aes,228,-0.15898372,1.5502726
aes,136,-0.11724042,-0.7937278
aes,0,-0.09371401,-0.18414693
aes,152,-0.06517921,-0.8711572
aes,126,-0.04501532,-0.18555473
aes,243,-0.027800944,-0.1630298
aes,124,0.011617254,-1.3920462
aes,111,0.04649232,0.7379673
aes,19,0.04747972,-0.6726563
aes,204,0.05068271,-1.0175693
aes,157,0.07330107,0.93646824
aes,130,0.07503819,-0.06729885
aes,214,0.0839609,0.0481414
aes,103,0.087962486,-0.77261066
aes,17,0.104816526,0.747822
aes,119,0.105045766,1.7417345
aes,32,0.114916734,-0.19963281
aes,115,0.116072275,0.8787481
aes,110,0.11695274,-0.4783788
aes,118,0.12006267,-0.29254815
aes,235,0.12271736,-0.1644376
aes,67,0.132781,0.24664234
aes,65,0.15950295,-1.064027
aes,98,0.16225547,-0.14191268
aes,154,0.16404928,-0.76416385
aes,212,0.167575,-0.43614456
aes,41,0.16782916,-0.45444605
aes,159,0.17443353,1.5981381
aes,137,0.1751706,0.8238436
aes,133,0.17769764,-0.46993196
aes,3,0.19241427,0.16639727
aes,218,0.2029356,-1.1428642
aes,12,0.22220367,1.0040431
aes,170,0.22538848,-0.058852006
aes,145,0.22588691,0.54509765
aes,158,0.23805436,0.21285494
aes,112,0.24216965,0.09459907
aes,236,0.25136837,-1.0949987
aes,196,0.25594503,-0.35308388
aes,193,0.2601961,0.8548154
aes,227,0.26093432,-0.25594512
aes,189,0.2744248,-1.6004018
aes,81,0.29098266,-1.1865063
aes,131,0.29523602,0.608449
aes,37,0.29937565,-0.7078515
aes,8,0.30402038,1.3222077
aes,5,0.33500007,-0.13205802
aes,187,0.33582982,0.82525146
aes,72,0.33634052,0.26212823
