designs,synID,prediction,actual
aes_ncsu,213,-0.27634594,-0.17749204
aes_ncsu,195,-0.27634594,-0.6902772
aes_ncsu,125,-0.27634594,-0.26722944
aes_ncsu,79,-0.27634594,-0.5962666
aes_ncsu,223,-0.27634594,-0.8868449
aes_ncsu,183,-0.27634594,-2.0961633
aes_ncsu,147,-0.27634594,-1.0150411
aes_ncsu,192,-0.27634594,-0.09630106
aes_ncsu,169,-0.27634594,-1.8611367
aes_ncsu,217,-0.27634594,0.35238597
aes_ncsu,49,-0.27634594,-0.86975205
aes_ncsu,175,-0.27634594,-0.8013807
aes_ncsu,109,-0.27634594,-0.9680359
aes_ncsu,191,-0.27634594,-0.0706618
aes_ncsu,102,-0.27634594,0.77116054
aes_ncsu,87,-0.27634594,-2.378195
aes_ncsu,220,-0.27634594,-0.45097747
aes_ncsu,167,-0.27634594,-0.60481304
aes_ncsu,61,-0.27634594,-0.08775464
aes_ncsu,179,-0.27634594,-1.9679669
aes_ncsu,128,-0.27634594,0.8480783
aes_ncsu,142,-0.27634594,-0.5449881
aes_ncsu,13,-0.27634594,-0.47234353
aes_ncsu,35,-0.27634594,-1.151784
aes_ncsu,51,-0.27634594,-2.0491579
aes_ncsu,141,-0.27634594,-0.7116433
aes_ncsu,198,-0.27634594,-0.57490057
aes_ncsu,219,-0.27634594,-1.6773887
aes_ncsu,70,-0.27634594,-0.6560916
aes_ncsu,23,-0.27634594,0.02762203
aes_ncsu,62,-0.27634594,-1.1774231
aes_ncsu,76,-0.27634594,-0.5620809
aes_ncsu,180,-0.27634594,0.35665917
aes_ncsu,85,-0.27634594,-0.20740451
aes_ncsu,100,-0.27634594,-0.9039377
aes_ncsu,238,-0.27634594,0.36947882
aes_ncsu,173,-0.27634594,-1.7414868
aes_ncsu,146,-0.27634594,-0.848386
aes_ncsu,75,-0.27634594,-0.53216845
aes_ncsu,127,-0.27634594,-0.9936751
aes_ncsu,93,-0.27634594,0.7284284
aes_ncsu,123,-0.27634594,1.3138582
aes_ncsu,203,-0.27634594,0.17291117
aes_ncsu,52,-0.27634594,0.03616845
aes_ncsu,138,-0.27634594,-0.68600404
aes_ncsu,188,-0.27634594,-0.04074933
aes_ncsu,47,-0.27634594,-0.02365649
aes_ncsu,116,-0.22759557,-0.502256
aes_ncsu,134,-0.08855171,-0.4637971
aes_ncsu,168,-0.04859783,-1.1603303
aes_ncsu,151,-0.031064268,-1.621837
aes_ncsu,234,-0.025171671,-1.2372481
aes_ncsu,80,-0.024778746,-0.9381234
aes_ncsu,68,0.0074700853,-1.4551818
aes_ncsu,53,0.015212945,-2.0192454
aes_ncsu,7,0.061280005,0.71560884
aes_ncsu,245,0.07910711,-0.57490057
aes_ncsu,132,0.09412508,-0.03647612
aes_ncsu,242,0.11664172,0.1002666
aes_ncsu,201,0.12750073,0.35238597
aes_ncsu,166,0.12781137,-1.2372481
aes_ncsu,46,0.13138406,-0.4595239
aes_ncsu,228,0.15102388,1.1087441
aes_ncsu,0,0.16659187,0.4934019
aes_ncsu,4,0.16810247,0.44212338
aes_ncsu,39,0.16844967,0.73697484
aes_ncsu,152,0.18300031,0.8950836
aes_ncsu,199,0.18873978,0.09172018
aes_ncsu,241,0.20972836,0.6258714
aes_ncsu,111,0.24436507,-0.31850797
aes_ncsu,204,0.24666771,-1.0791394
aes_ncsu,130,0.26005125,0.22846289
aes_ncsu,214,0.26545912,-0.583447
aes_ncsu,119,0.28619713,0.21991648
aes_ncsu,120,0.29329875,-3.2841156
aes_ncsu,74,0.2947734,0.0019827695
aes_ncsu,32,0.29577607,-0.5492613
aes_ncsu,161,0.29608643,0.11735944
aes_ncsu,115,0.29689735,1.1172905
aes_ncsu,110,0.2977518,0.044714868
aes_ncsu,118,0.30076966,-0.5962666
aes_ncsu,235,0.3033458,1.0916513
aes_ncsu,210,0.30933857,1.8223702
aes_ncsu,247,0.32433793,1.3010385
aes_ncsu,98,0.341714,0.9720014
aes_ncsu,154,0.3434548,-1.7713993
aes_ncsu,212,0.3468761,0.2327361
aes_ncsu,143,0.35106626,-0.2800491
aes_ncsu,159,0.3535317,-0.0706618
aes_ncsu,137,0.35424703,-0.5065292
aes_ncsu,133,0.35669932,0.03189524
aes_ncsu,89,0.3672646,-0.32278118
aes_ncsu,218,0.38119042,-2.1987202
aes_ncsu,206,0.38166463,-0.14330636
aes_ncsu,73,0.38586292,0.454943
aes_ncsu,145,0.40346268,-0.8013807
aes_ncsu,158,0.41527012,0.3609324
aes_ncsu,10,0.41888016,0.2797414
aes_ncsu,112,0.41926372,0.95490855
aes_ncsu,122,0.41990337,-0.23731698
aes_ncsu,121,0.42333573,1.2454869
aes_ncsu,11,0.42419475,-1.1047785
aes_ncsu,193,0.43675673,0.18573079
aes_ncsu,227,0.437473,0.3951181
aes_ncsu,189,0.45056432,0.5190412
aes_ncsu,22,0.45725006,0.2840146
aes_ncsu,181,0.46676493,1.1642958
aes_ncsu,81,0.46711057,-0.03647612
aes_ncsu,43,0.46970335,0.33529314
aes_ncsu,131,0.47136384,-0.6817308
aes_ncsu,37,0.4755035,0.6215982
aes_ncsu,72,0.51246834,-0.10912069
aes_ncsu,42,0.51330864,-0.26722944
aes_ncsu,28,0.5211154,-0.14330636
aes_ncsu,200,0.52738863,0.6301446
aes_ncsu,226,0.53345305,-0.15185279
aes_ncsu,60,0.54179335,0.21137005
aes_ncsu,78,0.54678535,-1.3825372
aes_ncsu,66,0.5536249,2.3736143
aes_ncsu,156,0.5586158,1.59589
aes_ncsu,246,0.5702075,2.899219
aes_ncsu,113,0.5739567,0.20282364
aes_ncsu,38,0.5743819,0.8395319
aes_ncsu,225,0.59186876,-0.49798277
aes_ncsu,92,0.60653114,0.77116054
aes_ncsu,40,0.6071575,-0.32705438
aes_ncsu,172,0.6077273,1.6856275
aes_ncsu,30,0.6090574,0.68996954
aes_ncsu,186,0.6200678,-0.19031167
aes_ncsu,48,0.6419035,2.6000943
aes_ncsu,91,0.6425098,-0.22877057
aes_ncsu,215,0.6466149,0.2669218
aes_ncsu,209,0.6496715,0.7497945
aes_ncsu,194,0.6563448,1.4890598
aes_ncsu,104,0.6598158,-0.2800491
aes_ncsu,15,0.6601473,0.7839802
aes_ncsu,99,0.6670996,0.061807707
aes_ncsu,177,0.6810651,-0.98085546
aes_ncsu,33,0.7099546,0.89935684
aes_ncsu,45,0.7179749,0.8395319
aes_ncsu,164,0.73163515,1.5488847
aes_ncsu,71,0.7378793,-1.1859696
aes_ncsu,108,0.7462791,0.07462734
aes_ncsu,239,0.756091,0.006255979
aes_ncsu,6,0.7841899,1.066012
aes_ncsu,178,0.8028751,0.044714868
aes_ncsu,21,0.8034041,1.655715
aes_ncsu,18,0.8656865,0.21991648
aes_ncsu,232,0.86671865,-0.32705438
aes_ncsu,25,0.9124745,1.4249617
aes_ncsu,1,0.938243,0.71560884
aes_ncsu,101,0.9504427,1.6941738
aes_ncsu,140,0.9578779,4.108537
aes_ncsu,20,0.9914001,0.42503053
aes_ncsu,50,1.0434817,2.6684656
aes_ncsu,36,1.0469179,1.2668529
aes_ncsu,163,1.0829175,0.057534497
aes_ncsu,249,1.3820443,1.5360651
