designs,synID,prediction,actual
des3_area,90,-0.36244103,-1.5909377
des3_area,185,-0.34270838,-2.229783
des3_area,219,-0.33528414,-0.6326698
des3_area,56,-0.3329604,-1.9103603
des3_area,173,-0.32567924,-0.31324714
des3_area,9,-0.31697434,-0.7923811
des3_area,167,-0.3123943,-1.5909377
des3_area,87,-0.30777994,0.32559815
des3_area,148,-0.3067788,-0.9520924
des3_area,70,-0.3062027,2.242134
des3_area,198,-0.30466837,-1.1118038
des3_area,13,-0.30423763,-0.47295848
des3_area,79,-0.30317092,-0.15353581
des3_area,175,-0.29849014,0.96444345
des3_area,238,-0.29750386,1.283866
des3_area,146,-0.29615656,1.9227114
des3_area,217,-0.2923179,0.6450208
des3_area,2,-0.29194897,-0.15353581
des3_area,142,-0.29021433,0.16588683
des3_area,102,-0.2900608,-0.47295848
des3_area,23,-0.28821573,-1.1118038
des3_area,197,-0.28798512,-1.4312264
des3_area,176,-0.28739896,-0.47295848
des3_area,195,-0.28734064,-1.7506491
des3_area,237,-0.28723967,-0.31324714
des3_area,184,-0.28186065,-1.7506491
des3_area,80,-0.27822495,-1.1118038
des3_area,14,-0.27634594,-1.5909377
des3_area,86,-0.27634594,0.16588683
des3_area,96,-0.27634594,0.0061755045
des3_area,69,-0.27634594,-0.31324714
des3_area,24,-0.27634594,-0.47295848
des3_area,49,-0.27634594,-0.9520924
des3_area,116,-0.27634594,0.0061755045
des3_area,168,-0.27634594,-0.47295848
des3_area,248,-0.27634594,-0.15353581
des3_area,233,-0.27634594,0.0061755045
des3_area,35,-0.27634594,-0.15353581
des3_area,147,-0.27634594,-1.1118038
des3_area,151,-0.27634594,1.6032888
des3_area,220,-0.27634594,-2.708917
des3_area,205,-0.27634594,-0.15353581
des3_area,190,-0.27634594,-0.7923811
des3_area,231,-0.27634594,-0.47295848
des3_area,125,-0.27634594,1.283866
des3_area,223,-0.27634594,1.4435774
des3_area,68,-0.27634594,-0.15353581
des3_area,192,-0.27634594,-0.31324714
des3_area,47,-0.27634594,-0.9520924
des3_area,216,-0.27634594,0.48530948
des3_area,202,-0.27634594,-0.6326698
des3_area,180,-0.27634594,-0.47295848
des3_area,46,-0.27634594,-0.31324714
des3_area,75,-0.27634594,-0.6326698
des3_area,179,-0.27634594,-0.7923811
des3_area,213,-0.27634594,-0.15353581
des3_area,191,-0.27573958,-2.229783
des3_area,128,-0.27350125,-0.6326698
des3_area,29,-0.2731746,0.0061755045
des3_area,95,-0.26161924,-0.7923811
des3_area,16,-0.24430022,0.0061755045
des3_area,132,-0.23881032,0.32559815
des3_area,221,-0.2300109,-0.15353581
des3_area,63,-0.21907938,1.9227114
des3_area,228,-0.21329533,0.6450208
des3_area,169,-0.2082856,-0.6326698
des3_area,234,-0.20781028,0.0061755045
des3_area,165,-0.19786312,-0.6326698
des3_area,230,-0.19135761,0.16588683
des3_area,4,-0.111545704,1.283866
des3_area,152,-0.078681655,0.80473214
des3_area,199,-0.06823702,-1.1118038
des3_area,243,-0.0413034,-0.31324714
des3_area,83,-0.0403799,-0.6326698
des3_area,241,-0.030041825,-0.9520924
des3_area,124,0.010056744,-0.6326698
des3_area,19,0.033977162,1.283866
des3_area,111,0.035095055,-1.2715151
des3_area,204,0.037180312,-0.47295848
des3_area,130,0.061535783,-1.7506491
des3_area,214,0.07137692,-0.7923811
des3_area,103,0.078659035,1.4435774
des3_area,153,0.08983585,0.6450208
