designs,synID,prediction,actual
fpu,173,-0.4080316,-0.4007484
fpu,26,-0.40110734,-0.9249891
fpu,142,-0.38294372,-0.7636843
fpu,217,-0.3566621,1.1383685
fpu,191,-0.34997752,-0.35370117
fpu,148,-0.34371313,-0.21928048
fpu,61,-0.33820057,-1.1131781
fpu,182,-0.33379832,0.3990547
fpu,56,-0.33228567,-0.32681704
fpu,9,-0.32637542,-2.1683805
fpu,127,-0.3219011,-2.3162434
fpu,70,-0.31560376,-1.4223456
fpu,13,-0.31363872,-0.52844805
fpu,79,-0.31257197,0.17053953
fpu,27,-0.30790582,0.24447091
fpu,146,-0.30555764,-0.8443367
fpu,100,-0.30398142,-0.23944359
fpu,51,-0.30185142,0.15709746
fpu,2,-0.30135003,-0.20583841
fpu,102,-0.29946184,0.47970712
fpu,59,-0.29707792,-0.37386426
fpu,197,-0.2952189,-1.9398654
fpu,188,-0.29257956,0.32512334
fpu,141,-0.29224524,-0.7905684
fpu,176,-0.29147106,-1.2139937
fpu,195,-0.2910981,-1.4895561
fpu,75,-0.2906324,-0.6427057
fpu,237,-0.2904525,-1.3820195
fpu,184,-0.2882252,-0.81073153
fpu,80,-0.28808758,0.19070263
fpu,223,-0.2871492,-0.96531534
fpu,125,-0.2858117,1.2123
fpu,62,-0.28364444,-0.74352115
fpu,76,-0.28130665,-1.1198992
fpu,123,-0.27634594,0.13693435
fpu,230,-0.27634594,-0.23944359
fpu,53,-0.27634594,-0.34698012
fpu,116,-0.27634594,-0.60910046
fpu,149,-0.27634594,-0.31337497
fpu,248,-0.27634594,-0.81073153
fpu,220,-0.27634594,-0.8644998
fpu,49,-0.27634594,0.19742367
fpu,213,-0.27634594,-1.5769295
fpu,201,-0.27634594,0.9569006
fpu,233,-0.27634594,-0.21255945
fpu,166,-0.27634594,-1.2610408
fpu,180,-0.27634594,-0.13862807
fpu,202,-0.27634594,-0.9787574
fpu,96,-0.27634594,-0.42763254
fpu,24,-0.27634594,-0.81745255
fpu,86,-0.27634594,-0.07141771
fpu,205,-0.27634594,0.8762482
fpu,135,-0.27634594,0.37217057
fpu,155,-0.27634594,-0.091580816
fpu,94,-0.27634594,-0.5553322
fpu,52,-0.27634594,-0.09830185
fpu,165,-0.27549586,-0.89810497
fpu,128,-0.26430294,-1.1400622
fpu,93,-0.26411694,1.0577161
fpu,29,-0.25649625,-0.7771264
fpu,136,-0.24607107,-1.7180712
fpu,95,-0.24401674,-1.7920026
fpu,138,-0.24376497,-0.7838474
fpu,16,-0.2282517,-0.037812542
fpu,132,-0.22378713,0.28479713
fpu,221,-0.21791145,-0.23944359
fpu,63,-0.20648487,0.5401964
fpu,169,-0.20265931,-1.5903716
fpu,242,-0.19865948,0.042839874
fpu,0,-0.19219086,1.1249264
fpu,152,-0.10485037,-0.31337497
fpu,126,-0.08159507,-0.5822163
fpu,243,-0.064380765,0.5939647
fpu,124,-0.002143695,-0.61582154
fpu,19,0.010899837,-0.19911738
fpu,111,0.01272669,-0.83089465
fpu,157,0.036721274,0.5133123
fpu,150,0.04565619,0.022676772
fpu,103,0.055581644,0.5469175
fpu,54,0.06513014,-1.0594099
fpu,153,0.07249326,-0.31337497
fpu,119,0.088639185,0.015955737
fpu,74,0.09378259,0.24447091
fpu,32,0.09481577,0.8157589
fpu,161,0.09513565,-0.45451668
fpu,120,0.09916612,-0.07141771
fpu,118,0.09996168,-0.6292636
fpu,17,0.10061003,-0.1453491
fpu,235,0.10261639,-0.7905684
fpu,210,0.108791925,1.7701458
fpu,67,0.112680055,-0.28649083
fpu,117,0.12771595,0.06300298
fpu,154,0.14394827,-1.1400622
fpu,143,0.1517919,-0.07141771
fpu,3,0.17231327,0.30496022
fpu,229,0.17881417,0.65445405
fpu,218,0.18283461,0.37217057
fpu,73,0.18764956,1.817193
fpu,34,0.18819284,-0.54861116
fpu,145,0.20578595,0.99050575
fpu,106,0.21035457,-0.81745255
fpu,112,0.21994105,2.0793133
fpu,11,0.22715022,-0.07141771
fpu,236,0.2312674,-0.90482605
fpu,105,0.2364685,1.4408151
fpu,193,0.24009517,-1.3148091
fpu,227,0.24083334,-0.46123773
fpu,189,0.2543238,-0.3805853
fpu,181,0.27101842,1.5550727
fpu,81,0.27137452,1.9583348
fpu,43,0.27404642,0.50659126
fpu,37,0.27986947,0.3923337
fpu,207,0.31575057,-1.1131781
fpu,187,0.31632367,-0.9921995
fpu,72,0.3168343,0.40577576
fpu,28,0.3267754,0.71494335
fpu,200,0.33175454,2.569949
fpu,240,0.33552393,0.6678961
fpu,224,0.34845573,0.9569006
fpu,78,0.35115132,-0.716637
fpu,162,0.35232416,1.1249264
fpu,66,0.35799086,1.3870468
fpu,156,0.36298183,1.3736048
fpu,246,0.37457347,0.8292009
fpu,225,0.39623472,-0.54861116
fpu,40,0.41152355,0.056281943
fpu,30,0.41342345,0.8628061
fpu,139,0.42354256,0.4393809
fpu,186,0.4244339,1.3601626
fpu,84,0.429318,0.84936404
fpu,107,0.44492683,2.018824
fpu,48,0.4462696,2.018824
fpu,215,0.45098093,0.28479713
fpu,194,0.46071073,1.7499827
fpu,104,0.4663151,-0.44779566
fpu,99,0.47146565,0.62084883
fpu,33,0.5187295,0.647733
fpu,45,0.5223409,1.0913212
fpu,164,0.53600115,0.069724016
fpu,71,0.5422452,0.24447091
fpu,108,0.5506452,-1.301367
fpu,239,0.560457,-0.4007484
fpu,21,0.6077702,0.07644505
fpu,222,0.6159229,-0.13862807
fpu,18,0.67005265,1.2526261
fpu,232,0.67108476,0.6678961
fpu,25,0.71684057,1.5147464
fpu,1,0.742609,2.4758544
fpu,101,0.7548088,1.420652
fpu,140,0.762244,1.7163775
fpu,58,0.77033645,1.1786947
fpu,20,0.7957663,2.2204552
fpu,208,0.829974,1.9112875
fpu,163,0.88728344,2.012103
fpu,249,1.1864103,3.3159838
