designs,synID,prediction,actual
iir,90,-0.64626485,-1.5904137
iir,173,-0.568957,-1.1699008
iir,219,-0.53224677,-0.7366451
iir,167,-0.5086326,-1.1444151
iir,148,-0.5071452,0.7032929
iir,191,-0.49193293,-0.5455029
iir,211,-0.4913719,-1.0042442
iir,217,-0.48202226,0.18083753
iir,75,-0.44883174,-1.361043
iir,198,-0.41447997,-1.0934439
iir,59,-0.4026078,-1.5266995
iir,203,-0.39691848,-1.0934439
iir,85,-0.38909134,-0.061275944
iir,147,-0.36194605,-1.4374999
iir,127,-0.35907897,-1.4120142
iir,125,-0.35806537,0.38472256
iir,168,-0.3515592,0.46117944
iir,169,-0.3423892,-1.0807011
iir,182,-0.33800986,-0.3671035
iir,79,-0.33730003,0.09163782
iir,70,-0.33677098,-0.9150445
iir,175,-0.3326193,0.5631219
iir,56,-0.33258054,-0.010304689
iir,68,-0.331867,-0.061275944
iir,100,-0.32823566,-0.8385876
iir,29,-0.32808793,-0.9150445
iir,2,-0.3260781,-0.50727445
iir,102,-0.32418996,0.027923753
iir,188,-0.31730774,0.6905501
iir,116,-0.31700084,-0.68567383
iir,176,-0.3161992,-0.32887504
iir,195,-0.31582618,0.21906596
iir,80,-0.31120133,-0.6474454
iir,146,-0.31106496,-0.62195975
iir,231,-0.30751702,-0.15047564
iir,238,-0.30636904,0.3464941
iir,134,-0.30379495,3.302827
iir,51,-0.3021463,0.32100847
iir,228,-0.30099264,-1.6541277
iir,86,-0.2998397,-0.09950439
iir,44,-0.29693398,0.027923753
iir,192,-0.29626158,-1.6286421
iir,197,-0.2961201,-1.7433274
iir,123,-0.2951205,-1.5521852
iir,190,-0.2951003,-0.3798463
iir,14,-0.29327342,-0.023047503
iir,141,-0.29259524,1.6335183
iir,248,-0.29120386,-0.5327601
iir,114,-0.2883794,-1.016987
iir,69,-0.2881201,0.3337513
iir,216,-0.28803298,1.8246605
iir,151,-0.28757876,-0.52001727
iir,49,-0.2856708,0.42295098
iir,135,-0.27634594,0.04066657
iir,46,-0.27634594,0.015180939
iir,180,-0.27634594,-0.6474454
iir,53,-0.27634594,-1.2463577
iir,94,-0.27634594,0.47392225
iir,245,-0.27634594,-0.34161785
iir,166,-0.27634594,-1.6413848
iir,230,-0.27634594,-0.7366451
iir,52,-0.2677155,-0.7239023
iir,0,-0.25678262,0.41020817
iir,138,-0.24054891,-0.39258912
iir,95,-0.20762327,-0.6601882
iir,16,-0.20250629,0.28278002
iir,132,-0.20092392,0.8944351
iir,221,-0.19884145,-0.5964741
iir,242,-0.18716696,2.334373
iir,199,-0.14993593,-0.63470256
iir,152,-0.13162373,-1.0679582
iir,17,-0.123614416,-0.035790317
iir,126,-0.094131775,-0.5455029
iir,241,-0.06519149,-0.96601576
iir,111,-0.040621776,0.46117944
iir,124,-0.031538416,-0.9787586
iir,67,-0.009463669,-1.4629855
iir,19,-0.00036507566,-0.34161785
iir,130,0.02719342,0.3464941
iir,74,0.032173593,-0.44356036
iir,214,0.037034575,0.14260907
iir,54,0.055346847,-1.0042442
iir,153,0.06122829,-1.6413848
iir,229,0.08083103,0.44843662
iir,118,0.0934145,-0.023047503
iir,115,0.09403424,0.72877854
iir,119,0.095772155,0.7797498
iir,235,0.096426174,-0.13773283
iir,210,0.1026017,-1.3355573
iir,41,0.103035,-0.76213074
iir,77,0.12128449,0.04066657
iir,247,0.12888764,1.111063
iir,98,0.13596427,0.30826566
iir,154,0.13775808,0.09163782
iir,212,0.1412838,0.6905501
iir,137,0.14913523,1.1875198
iir,3,0.16612303,-0.8385876
iir,89,0.16950145,-0.8513304
iir,206,0.17713295,2.066774
iir,174,0.2008743,2.3726015
iir,10,0.20276594,0.25729442
iir,170,0.20293888,-0.469046
iir,106,0.20416436,-0.57098854
iir,121,0.22284825,1.0728345
iir,236,0.22510761,-1.0042442
iir,11,0.2259129,0.16809471
iir,105,0.23198032,-0.96601576
iir,193,0.2339049,-0.52001727
iir,158,0.23399377,1.0218632
iir,227,0.23638831,0.8816923
iir,22,0.25502315,2.2451735
iir,81,0.25693467,1.0983201
iir,43,0.2678562,-0.09950439
iir,131,0.27316964,1.4933474
iir,5,0.30948684,0.19358033
iir,28,0.31006303,0.35923693
iir,187,0.31031656,0.20632315
iir,72,0.31082723,0.830721
iir,60,0.34015217,0.23180878
iir,162,0.3463171,1.6080327
iir,113,0.34761497,-0.6474454
iir,156,0.35697475,0.7797498
iir,225,0.39022768,1.2257483
iir,40,0.40551648,0.9836348
iir,30,0.40741643,0.39746535
iir,186,0.41842684,1.0346061
iir,107,0.4389198,0.8179782
iir,215,0.44497395,0.027923753
iir,91,0.44882056,-0.07401876
iir,244,0.4533412,0.29552284
iir,104,0.4615818,0.5631219
iir,33,0.4680945,1.0983201
iir,164,0.52887094,0.015180939
iir,71,0.53168035,0.12986627
iir,171,0.5391444,0.47392225
iir,108,0.5446381,-0.3798463
iir,239,0.55445,-1.1571579
iir,82,0.5956288,0.48666507
iir,178,0.601234,1.7864321
iir,21,0.6017631,-0.90230167
iir,222,0.60991585,-1.2081292
iir,232,0.6623642,0.3464941
iir,18,0.66404545,0.53763634
iir,25,0.70885056,0.7032929
iir,140,0.7557805,-0.5964741
iir,58,0.76011384,1.8119177
iir,20,0.79053056,3.4684834
iir,208,0.82396686,2.5255153
iir,36,0.8452769,2.4872868
iir,163,0.8812763,3.506712
iir,144,1.1982876,1.2130054
