designs,synID,prediction,actual
or1200_cpu,87,-0.27634594,-0.94531864
or1200_cpu,88,-0.27634594,-1.1145147
or1200_cpu,93,-0.27634594,1.3267419
or1200_cpu,205,-0.27634594,-0.083224736
or1200_cpu,24,-0.27634594,-0.37327504
or1200_cpu,79,-0.27634594,-1.1306286
or1200_cpu,180,-0.27634594,0.056429107
or1200_cpu,190,-0.27634594,-0.7841796
or1200_cpu,195,-0.27634594,-1.0500591
or1200_cpu,35,-0.27634594,-0.3974459
or1200_cpu,69,-0.27634594,-0.7465805
or1200_cpu,14,-0.27634594,-1.3508519
or1200_cpu,102,-0.27634594,-0.7546374
or1200_cpu,217,-0.27634594,-0.21213599
or1200_cpu,191,-0.27634594,-0.24973509
or1200_cpu,173,-0.27634594,-1.5818179
or1200_cpu,51,-0.27634594,-0.47801542
or1200_cpu,64,-0.27634594,-1.1064577
or1200_cpu,97,-0.27634594,-0.97754645
or1200_cpu,220,-0.27634594,-0.19602208
or1200_cpu,90,-0.27634594,-1.6946152
or1200_cpu,127,-0.27634594,-1.5522758
or1200_cpu,128,-0.27634594,-0.02145477
or1200_cpu,94,-0.27634594,0.3948211
or1200_cpu,148,-0.27634594,-0.880863
or1200_cpu,248,-0.27634594,-0.58007014
or1200_cpu,183,-0.27634594,-0.7358379
or1200_cpu,184,-0.27634594,-0.9023482
or1200_cpu,86,-0.27634594,-0.79492223
or1200_cpu,47,-0.27634594,-0.23630683
or1200_cpu,9,-0.27634594,-0.6418401
or1200_cpu,27,-0.27634594,-1.4421641
or1200_cpu,23,-0.27634594,-0.06711084
or1200_cpu,138,-0.27634594,-1.2299976
or1200_cpu,203,-0.27634594,0.5049328
or1200_cpu,213,-0.27634594,-0.42161673
or1200_cpu,75,-0.27634594,-1.6838726
or1200_cpu,147,-0.27634594,-0.6096123
or1200_cpu,62,-0.27634594,-0.24436378
or1200_cpu,26,-0.27634594,-0.7680657
or1200_cpu,95,-0.27634594,-0.5827558
or1200_cpu,52,-0.27634594,-0.6848105
or1200_cpu,146,-0.27634594,-0.71166706
or1200_cpu,70,-0.27634594,-0.47801542
or1200_cpu,85,-0.27634594,-0.4404163
or1200_cpu,223,-0.27634594,-1.0393164
or1200_cpu,125,-0.27634594,0.5640171
or1200_cpu,237,-0.2756361,-0.48070106
or1200_cpu,31,-0.22348233,-0.36790374
or1200_cpu,116,-0.1149088,-0.70361006
or1200_cpu,29,-0.073379114,-1.2138838
or1200_cpu,134,-0.05635999,0.7949831
or1200_cpu,202,-0.04779425,-0.98828906
or1200_cpu,233,-0.039945565,-0.8916056
or1200_cpu,151,0.001793108,-0.8137218
or1200_cpu,234,0.007685709,-0.51292884
or1200_cpu,80,0.008078563,-0.63915443
or1200_cpu,114,0.038996246,-0.7089814
or1200_cpu,68,0.04032749,-1.4905058
or1200_cpu,53,0.04807044,-0.93994737
or1200_cpu,96,0.055793233,-1.7026722
or1200_cpu,59,0.078006394,0.7385844
or1200_cpu,7,0.0890483,-0.7412092
or1200_cpu,245,0.09884453,-0.97754645
or1200_cpu,132,0.11218055,-0.32493332
or1200_cpu,44,0.1641254,0.66070056
or1200_cpu,228,0.16907933,-0.2927055
or1200_cpu,230,0.17208017,-0.20139338
or1200_cpu,136,0.17685297,-0.6069267
or1200_cpu,0,0.18464743,0.60698754
or1200_cpu,39,0.18650517,0.2927664
or1200_cpu,152,0.2010558,-0.05905388
or1200_cpu,199,0.20679525,0.6096732
or1200_cpu,126,0.21213612,0.026886946
or1200_cpu,83,0.22210304,-0.47532976
or1200_cpu,241,0.22778389,-0.008026515
or1200_cpu,124,0.24325636,-0.4457876
or1200_cpu,111,0.26242054,-0.7465805
or1200_cpu,19,0.26296315,0.5693884
or1200_cpu,204,0.26472324,-1.1145147
or1200_cpu,130,0.27800953,-0.5048719
or1200_cpu,54,0.29223225,0.051057804
or1200_cpu,153,0.29615873,-0.034883022
or1200_cpu,17,0.30349594,0.85675305
or1200_cpu,119,0.30371842,-0.37327504
or1200_cpu,120,0.3108201,-0.82715005
or1200_cpu,74,0.3122946,-0.22556423
or1200_cpu,161,0.31360763,0.13431297
or1200_cpu,115,0.31441864,0.123570375
or1200_cpu,235,0.32086712,0.6150445
or1200_cpu,210,0.3268599,1.6006783
or1200_cpu,67,0.33063304,0.7949831
or1200_cpu,247,0.34185925,1.103833
or1200_cpu,65,0.35656413,-0.4135598
or1200_cpu,98,0.35923526,0.5479032
or1200_cpu,154,0.36097604,-0.7465805
or1200_cpu,41,0.36464408,-0.08859604
or1200_cpu,159,0.37105295,-0.22287858
or1200_cpu,137,0.37176827,0.31156594
or1200_cpu,89,0.38478577,3.0437377e-05
or1200_cpu,3,0.38850167,1.203202
or1200_cpu,229,0.3885939,0.7627553
or1200_cpu,218,0.39871177,0.31962287
or1200_cpu,206,0.39918587,1.0017782
or1200_cpu,34,0.4039114,-0.034883022
or1200_cpu,106,0.4254174,-0.22556423
or1200_cpu,174,0.42676228,1.0689194
or1200_cpu,10,0.43640143,0.9104661
or1200_cpu,11,0.44171605,0.17191209
or1200_cpu,236,0.44571134,-0.46458715
or1200_cpu,193,0.4542779,-0.8029792
or1200_cpu,227,0.45499417,-0.57469887
or1200_cpu,189,0.46808553,0.17996904
or1200_cpu,131,0.48888502,-0.18527947
or1200_cpu,37,0.49302468,1.2220016
or1200_cpu,207,0.52357006,-0.66869664
or1200_cpu,5,0.52864915,1.0071495
or1200_cpu,72,0.5299896,0.44853413
or1200_cpu,28,0.5386366,0.4995615
or1200_cpu,200,0.5449098,1.3965689
or1200_cpu,60,0.5593145,-0.44310194
or1200_cpu,162,0.5654794,0.41362068
or1200_cpu,246,0.58772874,0.14505558
or1200_cpu,38,0.5919031,0.09402822
or1200_cpu,57,0.62079334,1.1897738
or1200_cpu,92,0.6240523,0.97760737
or1200_cpu,40,0.62467873,-0.71166706
or1200_cpu,172,0.62524855,0.5586458
or1200_cpu,30,0.6265787,0.9749217
or1200_cpu,139,0.63669777,0.81378263
or1200_cpu,186,0.63758916,0.5774454
or1200_cpu,84,0.6424733,1.0554912
or1200_cpu,107,0.65808207,1.7752457
or1200_cpu,48,0.6594248,1.7322752
or1200_cpu,91,0.6600311,0.120884724
or1200_cpu,215,0.66413623,0.75469834
or1200_cpu,209,0.66719264,-0.04831128
or1200_cpu,194,0.67386603,1.5066806
or1200_cpu,99,0.68462086,0.8862952
or1200_cpu,160,0.7247358,0.45390543
or1200_cpu,33,0.7274758,0.51836103
or1200_cpu,45,0.7354962,0.980293
or1200_cpu,164,0.7491564,1.764503
or1200_cpu,71,0.7554005,0.085971266
or1200_cpu,108,0.7638003,-0.550528
or1200_cpu,239,0.77361226,0.26859552
or1200_cpu,178,0.8203963,0.5559602
or1200_cpu,222,0.8290781,0.36527896
or1200_cpu,18,0.88320774,0.7385844
or1200_cpu,232,0.88423973,0.44316283
or1200_cpu,1,0.9557642,1.6812478
or1200_cpu,101,0.967964,1.6705053
or1200_cpu,140,0.97539926,3.163727
or1200_cpu,58,0.9834916,1.2139447
or1200_cpu,20,1.0089216,1.5791931
or1200_cpu,208,1.0431291,1.8960999
or1200_cpu,50,1.061003,2.5863123
or1200_cpu,36,1.064439,1.995469
or1200_cpu,163,1.1004386,1.4851954
