designs,synID,prediction,actual
or1200_fpu,26,-0.3907026,-1.6764632
or1200_fpu,90,-0.3586812,-1.6837752
or1200_fpu,185,-0.3417046,-0.82828754
or1200_fpu,56,-0.33486906,-1.1938806
or1200_fpu,173,-0.3246755,-2.0347445
or1200_fpu,182,-0.3233935,-0.1702201
or1200_fpu,183,-0.31651783,-0.39688778
or1200_fpu,27,-0.31246132,-1.4132364
or1200_fpu,167,-0.31139058,-1.7788293
or1200_fpu,87,-0.3067762,-0.17753196
or1200_fpu,51,-0.30640694,-0.8794705
or1200_fpu,148,-0.30577505,-1.3913008
or1200_fpu,70,-0.305199,-0.22140312
or1200_fpu,13,-0.3032339,-0.594308
or1200_fpu,198,-0.3026125,-0.87215865
or1200_fpu,79,-0.30216715,-1.274311
or1200_fpu,109,-0.29779378,-0.5211894
or1200_fpu,175,-0.2974864,-0.70398587
or1200_fpu,238,-0.29650012,0.44397613
or1200_fpu,7,-0.29594153,-0.5358131
or1200_fpu,100,-0.2935766,-0.6674266
or1200_fpu,217,-0.29139677,0.29773894
or1200_fpu,2,-0.2909452,-1.1353856
or1200_fpu,142,-0.28824893,-0.61624354
or1200_fpu,176,-0.287242,-1.1938806
or1200_fpu,211,-0.2870837,-1.1353856
or1200_fpu,114,-0.27634594,-0.22140312
or1200_fpu,245,-0.27634594,-0.49194196
or1200_fpu,80,-0.27634594,-0.22140312
or1200_fpu,223,-0.27634594,0.11494244
or1200_fpu,213,-0.27634594,-0.6308673
or1200_fpu,69,-0.27634594,0.12956616
or1200_fpu,94,-0.27634594,-0.1702201
or1200_fpu,35,-0.27634594,-0.40419963
or1200_fpu,179,-0.27634594,-1.223128
or1200_fpu,180,-0.27634594,-0.73323333
or1200_fpu,129,-0.27634594,-0.60161984
or1200_fpu,31,-0.27634594,0.26117966
or1200_fpu,216,-0.27634594,-0.6820503
or1200_fpu,228,-0.27634594,-0.9014061
or1200_fpu,75,-0.27634594,-1.3620533
or1200_fpu,96,-0.27634594,-0.98183656
or1200_fpu,220,-0.27634594,-0.41151148
or1200_fpu,151,-0.27634594,-0.5138775
or1200_fpu,190,-0.27634594,-1.2889347
or1200_fpu,24,-0.27634594,-1.2816229
or1200_fpu,134,-0.27634594,0.5317185
or1200_fpu,47,-0.27634594,-1.0768907
or1200_fpu,97,-0.27634594,0.04182384
or1200_fpu,125,-0.27634594,1.8478533
or1200_fpu,192,-0.27634594,-0.2067794
or1200_fpu,149,-0.27634594,-1.0476433
or1200_fpu,135,-0.27634594,0.28311524
or1200_fpu,68,-0.27634594,-1.2523754
or1200_fpu,86,-0.27634594,-0.6235554
or1200_fpu,49,-0.27634594,-0.2433387
or1200_fpu,155,-0.27634594,0.61946076
or1200_fpu,123,-0.27634594,0.86075217
or1200_fpu,53,-0.27634594,-0.57237244
or1200_fpu,147,-0.27634594,-0.5577487
or1200_fpu,46,-0.27634594,-0.71129775
or1200_fpu,191,-0.27634594,-1.9177547
or1200_fpu,95,-0.27004054,-1.1792568
or1200_fpu,138,-0.26984063,-0.645491
or1200_fpu,16,-0.2528335,-0.3749522
or1200_fpu,132,-0.24734357,-0.2433387
or1200_fpu,221,-0.24011844,-0.3018336
or1200_fpu,136,-0.22539493,-1.3328059
or1200_fpu,169,-0.21522513,-1.0549551
or1200_fpu,234,-0.21474987,-0.6674266
or1200_fpu,242,-0.20619252,0.02720012
or1200_fpu,165,-0.2003226,-1.3108703
or1200_fpu,39,-0.15538082,-0.23602684
or1200_fpu,126,-0.075857446,0.62677264
or1200_fpu,243,-0.058643103,-0.10441336
or1200_fpu,241,-0.047381558,-0.48463008
or1200_fpu,19,0.01663753,0.45859987
or1200_fpu,204,0.019840594,-1.3108703
or1200_fpu,157,0.042458903,-0.34570473
or1200_fpu,130,0.04419601,-1.486355
or1200_fpu,153,0.0782309,-0.27989802
or1200_fpu,17,0.09177537,0.2904271
or1200_fpu,119,0.09534712,-0.43344706
or1200_fpu,74,0.09693544,0.23924406
or1200_fpu,161,0.09828855,-0.6674266
or1200_fpu,115,0.09912421,0.27580336
or1200_fpu,110,0.10000467,0.38548127
or1200_fpu,118,0.10311459,-0.82097566
or1200_fpu,235,0.105769284,0.5390303
or1200_fpu,210,0.1119448,1.8259177
or1200_fpu,67,0.11583296,-0.25065055
or1200_fpu,247,0.12740158,1.4237654
or1200_fpu,117,0.13086884,-0.17753196
or1200_fpu,65,0.14255486,-0.39688778
or1200_fpu,212,0.15062693,0.86075217
or1200_fpu,159,0.15748543,-0.27989802
or1200_fpu,41,0.1591514,-0.7990401
or1200_fpu,133,0.16377883,-0.15559639
or1200_fpu,137,0.1661148,-0.60161984
or1200_fpu,89,0.17512247,-0.61624354
or1200_fpu,229,0.1799734,0.26117966
or1200_fpu,218,0.18598749,0.4147287
or1200_fpu,106,0.21350744,-0.18484382
or1200_fpu,158,0.22110626,1.3433349
or1200_fpu,10,0.2248264,0.5390303
or1200_fpu,112,0.2252216,1.0362368
or1200_fpu,122,0.22849685,0.05644756
or1200_fpu,236,0.23442025,-0.19946754
or1200_fpu,196,0.23899698,-0.19215569
or1200_fpu,193,0.24324802,-0.17753196
or1200_fpu,227,0.24398622,-0.13366081
or1200_fpu,189,0.2574767,0.38548127
or1200_fpu,81,0.27452743,1.2848401
or1200_fpu,131,0.2789405,-0.82097566
or1200_fpu,37,0.28292906,0.20999663
or1200_fpu,8,0.2875738,-0.12634894
or1200_fpu,207,0.31755856,-0.60161984
or1200_fpu,187,0.3193833,0.23193221
or1200_fpu,42,0.3207342,-0.5577487
or1200_fpu,28,0.3285834,0.12956616
or1200_fpu,240,0.3385835,0.8095692
or1200_fpu,224,0.35151532,1.2044096
or1200_fpu,78,0.3542109,-0.2433387
or1200_fpu,92,0.41395667,0.8241929
or1200_fpu,40,0.41458312,0.22462034
or1200_fpu,172,0.41515288,0.57558966
or1200_fpu,30,0.41648299,1.2263452
or1200_fpu,139,0.42660215,2.074521
or1200_fpu,186,0.42749345,2.03065
or1200_fpu,84,0.4323776,1.1020435
or1200_fpu,107,0.44798645,1.7820466
or1200_fpu,91,0.44993538,0.59021336
or1200_fpu,215,0.45404053,0.42204055
or1200_fpu,209,0.45709702,0.063759424
or1200_fpu,244,0.4602272,0.400105
or1200_fpu,194,0.4637703,0.9484945
or1200_fpu,15,0.4675729,1.3506469
or1200_fpu,104,0.46812305,-0.5285013
or1200_fpu,177,0.48849055,-0.0020473208
or1200_fpu,33,0.52053756,0.9631182
or1200_fpu,164,0.5390608,1.6431212
or1200_fpu,71,0.5453049,-0.111725226
or1200_fpu,171,0.5554174,0.6925794
or1200_fpu,239,0.5635166,0.10763058
or1200_fpu,6,0.59161556,1.5041958
or1200_fpu,178,0.6103007,2.1403277
or1200_fpu,21,0.61082983,1.5626907
or1200_fpu,18,0.6731122,2.3596835
or1200_fpu,25,0.71990025,1.4237654
or1200_fpu,101,0.7578684,1.4822602
or1200_fpu,140,0.7653036,3.6685064
or1200_fpu,20,0.79882574,1.4603246
or1200_fpu,208,0.83303356,2.388931
or1200_fpu,50,0.8509073,2.8276424
or1200_fpu,36,0.8543436,1.6577449
or1200_fpu,249,1.1894699,2.5863512
or1200_fpu,144,1.2132334,3.3029134
