designs,synID,prediction,actual
or1200_multmac,26,-0.336609,-1.350511
or1200_multmac,56,-0.28719655,-1.0164007
or1200_multmac,219,-0.2871045,0.3061193
or1200_multmac,138,-0.27634594,-0.76581794
or1200_multmac,63,-0.27634594,-1.2391409
or1200_multmac,167,-0.27634594,1.405899
or1200_multmac,123,-0.27634594,0.34788308
or1200_multmac,128,-0.27634594,0.08337908
or1200_multmac,87,-0.27634594,-1.2948259
or1200_multmac,100,-0.27634594,-1.5314873
or1200_multmac,134,-0.27634594,0.6680721
or1200_multmac,7,-0.27634594,0.47317445
or1200_multmac,216,-0.27634594,0.7376784
or1200_multmac,195,-0.27634594,-0.32033753
or1200_multmac,61,-0.27634594,0.1529854
or1200_multmac,127,-0.27634594,-0.6822904
or1200_multmac,125,-0.27634594,0.47317445
or1200_multmac,142,-0.27634594,-1.55933
or1200_multmac,49,-0.27634594,0.61238706
or1200_multmac,203,-0.27634594,0.23651297
or1200_multmac,13,-0.27634594,0.1529854
or1200_multmac,169,-0.27634594,-0.83542424
or1200_multmac,102,-0.27634594,0.13906413
or1200_multmac,62,-0.27634594,-1.461881
or1200_multmac,148,-0.27634594,-0.62660533
or1200_multmac,198,-0.27634594,1.5172691
or1200_multmac,114,-0.27634594,-0.58484155
or1200_multmac,231,-0.27634594,-0.5291565
or1200_multmac,191,-0.27634594,0.2643555
or1200_multmac,146,-0.27634594,-0.72405416
or1200_multmac,97,-0.27634594,-1.9212828
or1200_multmac,27,-0.27634594,-0.4177864
or1200_multmac,95,-0.27634594,-0.501314
or1200_multmac,155,-0.27634594,-0.7797392
or1200_multmac,205,-0.27634594,-0.13936113
or1200_multmac,59,-0.27634594,0.29219803
or1200_multmac,64,-0.27634594,-0.13936113
or1200_multmac,70,-0.27634594,-0.72405416
or1200_multmac,217,-0.27634594,-0.5709203
or1200_multmac,175,-0.27634594,-0.30641627
or1200_multmac,147,-0.27634594,-0.40386513
or1200_multmac,24,-0.27634594,-0.4456289
or1200_multmac,237,-0.27634594,-0.3342588
or1200_multmac,93,-0.27634594,2.4778364
or1200_multmac,197,-0.27634594,-0.18112491
or1200_multmac,68,-0.27634594,-0.8493455
or1200_multmac,9,-0.27634594,-0.4456289
or1200_multmac,109,-0.27634594,1.5172691
or1200_multmac,69,-0.27634594,-0.91895187
or1200_multmac,151,-0.27634594,-1.1277708
or1200_multmac,220,-0.27634594,0.25043425
or1200_multmac,88,-0.27634594,-0.6405266
or1200_multmac,76,-0.27634594,-0.72405416
or1200_multmac,23,-0.27634594,-0.06975481
or1200_multmac,211,-0.27634594,-1.2669834
or1200_multmac,141,-0.27634594,-1.0581645
or1200_multmac,80,-0.27634594,-0.5291565
or1200_multmac,52,-0.27634594,-1.55933
or1200_multmac,234,-0.27634594,-0.12543985
or1200_multmac,201,-0.26991647,0.6959146
or1200_multmac,166,-0.26787803,-0.4873927
or1200_multmac,16,-0.18205589,-0.5709203
or1200_multmac,44,-0.13932607,-0.13936113
or1200_multmac,228,-0.11788275,-1.1695346
or1200_multmac,230,-0.108818546,-0.27857375
or1200_multmac,0,-0.081279814,1.7956945
or1200_multmac,4,-0.07853087,-0.93287313
or1200_multmac,152,-0.051419802,-1.030322
or1200_multmac,199,-0.04097513,0.82120603
or1200_multmac,83,-0.013117989,0.055536557
or1200_multmac,111,0.060251787,-0.25073123
or1200_multmac,19,0.06123911,0.19474919
or1200_multmac,150,0.09006929,-0.90503055
or1200_multmac,214,0.09152185,1.5868754
or1200_multmac,54,0.10077041,0.3061193
or1200_multmac,120,0.119925044,-0.30641627
or1200_multmac,32,0.1224777,0.3757256
or1200_multmac,161,0.122797586,-0.6683691
or1200_multmac,115,0.12363326,-0.00014849348
or1200_multmac,118,0.12762362,-1.5871725
or1200_multmac,67,0.14034197,1.3780565
or1200_multmac,65,0.16706389,-0.6405266
or1200_multmac,98,0.16981642,-0.19504617
or1200_multmac,212,0.17513596,1.3780565
or1200_multmac,41,0.1753901,0.08337908
or1200_multmac,143,0.17945383,0.09730034
or1200_multmac,159,0.18199447,1.6007967
or1200_multmac,137,0.18273155,0.6402296
or1200_multmac,133,0.18525858,-0.02799102
or1200_multmac,89,0.19970131,-0.877188
or1200_multmac,3,0.19997519,1.8653008
or1200_multmac,229,0.20007019,0.54278076
or1200_multmac,206,0.21098512,0.34788308
or1200_multmac,73,0.2153115,2.352545
or1200_multmac,12,0.2297646,0.06945782
or1200_multmac,170,0.23294942,-0.36210132
or1200_multmac,145,0.23344786,1.9488283
or1200_multmac,158,0.24561527,1.2527652
or1200_multmac,112,0.24973062,4.468577
or1200_multmac,121,0.25392687,0.84904855
or1200_multmac,196,0.263506,-0.00014849348
or1200_multmac,105,0.2641303,4.2458367
or1200_multmac,193,0.2677571,-1.55933
or1200_multmac,227,0.26849526,-0.62660533
or1200_multmac,22,0.2884595,2.101962
or1200_multmac,181,0.29797438,-0.51523525
or1200_multmac,131,0.30257323,-0.6126841
or1200_multmac,37,0.3067129,2.1437259
or1200_multmac,8,0.31135762,-0.4873927
or1200_multmac,207,0.33725816,0.29219803
or1200_multmac,5,0.3423373,0.055536557
or1200_multmac,187,0.34316716,0.9464974
or1200_multmac,240,0.36236736,0.055536557
or1200_multmac,60,0.37300268,-0.6126841
or1200_multmac,224,0.3752992,0.89081234
or1200_multmac,78,0.3779948,-0.45955017
or1200_multmac,66,0.38483432,0.3339618
or1200_multmac,156,0.3898253,-0.02799102
or1200_multmac,246,0.40141693,0.08337908
or1200_multmac,225,0.42307812,-0.69621164
or1200_multmac,40,0.43836695,-0.36210132
or1200_multmac,30,0.44026685,-0.19504617
or1200_multmac,139,0.45038608,-0.0140697565
or1200_multmac,107,0.47177032,1.7121668
or1200_multmac,48,0.47311297,1.350214
or1200_multmac,91,0.4737193,-0.5987628
or1200_multmac,215,0.47782436,-0.02799102
or1200_multmac,244,0.48401093,2.0741196
or1200_multmac,194,0.48755416,2.0880408
or1200_multmac,104,0.49102524,-0.30641627
or1200_multmac,177,0.51227444,-0.2228887
or1200_multmac,33,0.5411641,0.19474919
or1200_multmac,45,0.5491844,0.41748938
or1200_multmac,164,0.5628446,2.5196002
or1200_multmac,55,0.5628938,-0.58484155
or1200_multmac,71,0.5690887,-0.36210132
or1200_multmac,239,0.5873005,-0.06975481
or1200_multmac,178,0.6340845,1.5311904
or1200_multmac,21,0.6346136,0.5706233
or1200_multmac,222,0.6427663,0.3061193
or1200_multmac,232,0.6979281,-0.51523525
or1200_multmac,25,0.74368405,0.22259171
or1200_multmac,101,0.78165215,1.0717888
or1200_multmac,58,0.7971798,0.72375715
or1200_multmac,20,0.8226096,2.101962
or1200_multmac,50,0.87469137,0.13906413
or1200_multmac,36,0.8781273,1.1413951
or1200_multmac,163,0.91412663,2.8119466
or1200_multmac,144,1.2370173,2.7005765
