designs,synID,prediction,actual
pci,26,-0.3290955,-0.31280568
pci,90,-0.29420215,-1.3565388
pci,85,-0.29235142,-0.31280568
pci,185,-0.2870905,-0.7168314
pci,220,-0.27634594,-0.48114973
pci,68,-0.27634594,-0.64949375
pci,191,-0.27634594,0.4615769
pci,192,-0.27634594,-0.077124014
pci,102,-0.27634594,-0.68316257
pci,184,-0.27634594,-0.95251304
pci,64,-0.27634594,-0.68316257
pci,79,-0.27634594,-1.6258892
pci,88,-0.27634594,-0.95251304
pci,128,-0.27634594,-0.81783783
pci,52,-0.27634594,-1.491214
pci,221,-0.27634594,0.22589526
pci,151,-0.27634594,-0.38014328
pci,125,-0.27634594,0.6972586
pci,195,-0.27634594,-0.27913687
pci,238,-0.27634594,1.0339466
pci,188,-0.27634594,-0.61582494
pci,123,-0.27634594,-0.48114973
pci,63,-0.27634594,-0.7168314
pci,245,-0.27634594,-0.51481855
pci,237,-0.27634594,-0.38014328
pci,24,-0.27634594,-0.24546807
pci,2,-0.27634594,-0.9188442
pci,205,-0.27634594,-0.784169
pci,248,-0.27634594,-0.9188442
pci,149,-0.27634594,-1.3902075
pci,86,-0.27634594,-0.4138121
pci,169,-0.27634594,0.057551216
pci,109,-0.27634594,-1.0198506
pci,148,-0.27634594,-0.784169
pci,80,-0.27634594,-0.81783783
pci,70,-0.27634594,-0.48114973
pci,27,-0.27634594,-1.2555324
pci,49,-0.27634594,-0.5821561
pci,116,-0.27634594,-0.8851754
pci,176,-0.27634594,-0.21179925
pci,141,-0.27634594,0.12488884
pci,219,-0.27634594,-0.48114973
pci,223,-0.27634594,0.32690167
pci,100,-0.27634594,-0.21179925
pci,76,-0.27634594,0.12488884
pci,216,-0.27634594,0.32690167
pci,234,-0.27634594,-0.3464745
pci,59,-0.27634594,-0.784169
pci,179,-0.27634594,0.25956407
pci,95,-0.27634594,-1.3228699
pci,213,-0.27634594,-0.7168314
pci,75,-0.27634594,-0.9188442
pci,201,-0.27634594,-0.31280568
pci,202,-0.27634594,0.25956407
pci,167,-0.27634594,-0.9188442
pci,31,-0.27634594,-0.98618186
pci,166,-0.27634594,-0.04345521
pci,182,-0.27634594,-0.784169
pci,47,-0.27634594,-0.11079283
pci,7,-0.27634594,-1.4238764
pci,190,-0.27634594,-0.31280568
pci,127,-0.27634594,-1.5585515
