designs,synID,prediction,actual
picorv32_large,188,-0.27634594,0.41228014
picorv32_large,217,-0.27634594,0.8930526
picorv32_large,211,-0.27634594,-0.84307003
picorv32_large,242,-0.27634594,-1.6977766
picorv32_large,9,-0.27634594,-1.2837781
picorv32_large,205,-0.27634594,-0.5826517
picorv32_large,95,-0.27634594,-0.3956846
picorv32_large,56,-0.27634594,0.27873227
picorv32_large,87,-0.27634594,0.5992472
picorv32_large,190,-0.27634594,-0.9966501
picorv32_large,138,-0.27634594,-0.95658576
picorv32_large,238,-0.27634594,-0.22207233
picorv32_large,62,-0.27634594,-0.2621367
picorv32_large,63,-0.27634594,1.5140502
picorv32_large,134,-0.27634594,1.6676303
picorv32_large,220,-0.27634594,0.011636473
picorv32_large,123,-0.27634594,0.20528091
picorv32_large,233,-0.27634594,0.6927307
picorv32_large,80,-0.27634594,-0.6160386
picorv32_large,198,-0.27634594,-0.60268384
picorv32_large,96,-0.27634594,-0.4157168
picorv32_large,116,-0.27634594,0.11847479
picorv32_large,166,-0.27634594,-1.2103268
picorv32_large,183,-0.27634594,-0.46913594
picorv32_large,176,-0.27634594,-0.96994054
picorv32_large,129,-0.27634594,0.3388288
picorv32_large,102,-0.27634594,-0.86977965
picorv32_large,197,-0.27634594,-0.5292325
picorv32_large,114,-0.27634594,-1.196972
picorv32_large,24,-0.27634594,-0.18868537
picorv32_large,169,-0.27634594,-0.9031666
picorv32_large,142,-0.27634594,-0.8564248
picorv32_large,167,-0.27634594,0.64598894
picorv32_large,180,-0.27634594,-0.6427482
picorv32_large,175,-0.27634594,-0.84307003
picorv32_large,147,-0.27634594,-0.40903938
picorv32_large,93,-0.27634594,2.4488854
picorv32_large,100,-0.27634594,0.105119996
picorv32_large,231,-0.27634594,-1.2971328
picorv32_large,109,-0.27634594,1.7611139
picorv32_large,53,-0.27634594,-1.3305198
picorv32_large,165,-0.27634594,-1.2503911
picorv32_large,52,-0.27634594,-0.95658576
picorv32_large,69,-0.27634594,-1.1368754
picorv32_large,151,-0.27634594,-1.4841
picorv32_large,237,-0.27634594,-0.24210453
picorv32_large,185,-0.27634594,1.3270832
picorv32_large,201,-0.27634594,0.25202268
picorv32_large,128,-0.27634594,-0.45578116
picorv32_large,97,-0.27634594,-1.2771007
picorv32_large,2,-0.27634594,-1.4306808
picorv32_large,51,-0.27634594,-0.49584553
picorv32_large,132,-0.27634594,-0.87645704
picorv32_large,179,-0.27634594,-1.2837781
picorv32_large,31,-0.27634594,-0.9165214
picorv32_large,35,-0.27634594,0.7127629
picorv32_large,213,-0.27634594,-0.6293934
picorv32_large,245,-0.27634594,-0.16865319
picorv32_large,85,-0.27634594,0.6593438
picorv32_large,248,-0.27634594,-1.2170042
picorv32_large,29,-0.27634594,-0.08184705
picorv32_large,216,-0.27634594,1.3003737
picorv32_large,26,-0.27634594,0.19860353
picorv32_large,27,-0.27634594,0.6526664
picorv32_large,146,-0.27634594,-0.20204015
picorv32_large,16,-0.25480676,-1.1168432
picorv32_large,44,-0.21684933,0.18524873
picorv32_large,136,-0.12692244,-0.6694578
picorv32_large,4,-0.09805044,0.29876444
picorv32_large,126,-0.050387155,-0.0217505
picorv32_large,111,0.041120414,-0.48916814
picorv32_large,130,0.06966629,-0.56261945
picorv32_large,103,0.08501058,0.7595047
picorv32_large,54,0.09025754,-0.5826517
picorv32_large,17,0.10186465,0.9865361
picorv32_large,74,0.110931665,-0.36229762
picorv32_large,32,0.11196489,0.4723767
picorv32_large,161,0.11228468,-0.96326315
picorv32_large,110,0.11400091,-0.8898118
picorv32_large,118,0.11711074,-0.20871755
picorv32_large,210,0.12594101,-0.9899727
picorv32_large,67,0.12982911,1.7410817
picorv32_large,77,0.14462382,-0.50252295
picorv32_large,117,0.14486499,-0.8497474
picorv32_large,65,0.15655105,-0.84307003
picorv32_large,212,0.16462308,0.21863571
picorv32_large,41,0.16487724,-0.3956846
picorv32_large,143,0.16894099,0.64598894
