designs,synID,prediction,actual
sasc,90,-0.65436506,0.48088527
sasc,142,-0.57376146,-0.768528
sasc,219,-0.5406126,-0.3520569
sasc,167,-0.51727027,-0.768528
sasc,148,-0.51578283,0.064414196
sasc,191,-0.5037897,0.064414196
sasc,217,-0.48435834,0.064414196
sasc,75,-0.4511352,0.064414196
sasc,59,-0.4087555,-0.768528
sasc,183,-0.3833383,-0.3520569
sasc,185,-0.37682885,0.064414196
sasc,147,-0.36901388,0.48088527
sasc,61,-0.36291993,0.89735633
sasc,202,-0.36246315,0.48088527
sasc,168,-0.3536887,-0.768528
sasc,9,-0.3510948,0.48088527
sasc,47,-0.34987336,0.89735633
sasc,31,-0.34836227,-1.6014701
sasc,182,-0.33957103,-1.184999
sasc,79,-0.33729133,0.064414196
sasc,68,-0.3360847,0.064414196
sasc,175,-0.3326106,-0.3520569
sasc,109,-0.3307505,0.48088527
sasc,2,-0.3260694,-1.184999
sasc,100,-0.3242949,-0.3520569
sasc,102,-0.32418123,-1.6014701
sasc,125,-0.32346305,-0.3520569
sasc,188,-0.31729895,0.064414196
sasc,176,-0.31619042,-1.6014701
sasc,195,-0.31581745,1.3138274
sasc,146,-0.3126261,0.89735633
sasc,80,-0.3111926,-0.768528
sasc,35,-0.30961514,-1.6014701
sasc,238,-0.30951202,0.48088527
sasc,220,-0.3082719,-0.3520569
sasc,231,-0.30750832,-0.3520569
sasc,233,-0.30617213,-0.3520569
sasc,155,-0.30127814,-0.3520569
sasc,86,-0.299831,-1.184999
sasc,97,-0.2993279,0.48088527
sasc,27,-0.29769602,-0.768528
sasc,116,-0.29741168,0.48088527
sasc,197,-0.29730493,-0.3520569
sasc,190,-0.29509157,-0.768528
sasc,14,-0.29326472,0.48088527
sasc,179,-0.29177007,-0.3520569
sasc,248,-0.2911951,0.064414196
sasc,114,-0.28837803,-0.768528
sasc,64,-0.28727555,-1.6014701
sasc,49,-0.28564724,-1.184999
sasc,93,-0.28551725,0.89735633
sasc,166,-0.27634594,1.7302985
sasc,135,-0.27634594,-1.184999
sasc,46,-0.27634594,-1.184999
sasc,136,-0.27634594,-1.6014701
sasc,4,-0.25251752,-0.768528
sasc,96,-0.25228316,0.89735633
sasc,138,-0.23654765,-0.3520569
sasc,88,-0.22514473,0.48088527
sasc,95,-0.20599884,0.48088527
sasc,16,-0.201007,-2.4344122
sasc,132,-0.19942465,-1.6014701
sasc,221,-0.19734216,-0.3520569
sasc,63,-0.19268256,0.89735633
sasc,234,-0.18868856,-0.3520569
sasc,152,-0.14976074,-2.4344122
sasc,199,-0.14146806,-1.184999
sasc,17,-0.10645711,1.7302985
sasc,83,-0.0928447,0.48088527
sasc,241,-0.06852345,-2.0179412
sasc,157,0.022000689,0.064414196
sasc,130,0.023737807,0.89735633
sasc,150,0.030935634,-1.184999
sasc,214,0.03357899,-1.184999
sasc,103,0.04086109,-0.768528
sasc,153,0.05777272,0.48088527
sasc,32,0.08903121,0.48088527
sasc,118,0.091872595,-1.6014701
sasc,120,0.09204998,-0.3520569
sasc,229,0.092456624,-0.768528
sasc,235,0.09452728,-0.768528
sasc,119,0.09689141,0.48088527
sasc,210,0.10070282,-0.3520569
sasc,41,0.114834346,1.3138274
sasc,65,0.1330169,1.3138274
sasc,98,0.13406539,-1.6014701
sasc,212,0.13938491,-1.6014701
sasc,137,0.14588977,0.89735633
sasc,159,0.14624342,0.89735633
sasc,133,0.15782447,-0.768528
sasc,218,0.17474556,0.064414196
sasc,89,0.17491655,0.48088527
sasc,73,0.17956047,0.48088527
sasc,34,0.18010375,-1.184999
sasc,12,0.19401357,0.89735633
sasc,106,0.20226546,1.3138274
sasc,10,0.2034033,-1.6014701
sasc,122,0.22122377,1.3138274
sasc,121,0.22143617,0.48088527
sasc,236,0.22372627,0.89735633
sasc,196,0.22775495,0.48088527
sasc,105,0.23007697,3.3961828
sasc,193,0.23200601,1.3138274
sasc,227,0.23491551,0.48088527
sasc,81,0.25757205,-0.768528
sasc,43,0.2659573,0.48088527
sasc,131,0.27157602,0.89735633
sasc,8,0.27970243,0.064414196
sasc,78,0.3071357,0.48088527
sasc,5,0.30764416,-0.768528
sasc,187,0.30847397,0.064414196
sasc,28,0.31094944,0.48088527
sasc,240,0.31738,-0.3520569
sasc,200,0.32474193,-1.184999
sasc,226,0.32996917,-0.3520569
sasc,60,0.3383095,-0.3520569
sasc,162,0.3444744,-0.3520569
sasc,113,0.3485015,1.3138274
sasc,66,0.35014105,-0.768528
sasc,38,0.3819147,0.48088527
sasc,225,0.38838494,0.89735633
sasc,172,0.40424356,0.064414196
sasc,30,0.40557373,0.48088527
sasc,84,0.42296323,0.89735633
sasc,107,0.43707713,1.3138274
sasc,48,0.43841982,0.064414196
sasc,215,0.4431312,1.3138274
sasc,244,0.45174757,-1.184999
sasc,15,0.45666355,1.3138274
sasc,104,0.46179572,-0.3520569
sasc,99,0.46361586,-0.3520569
sasc,33,0.47002062,0.89735633
sasc,177,0.47948465,-0.3520569
sasc,160,0.5037308,-0.3520569
sasc,164,0.52815145,0.064414196
sasc,171,0.5397817,0.064414196
sasc,108,0.54279536,0.89735633
sasc,239,0.55260724,1.3138274
sasc,178,0.5993914,-1.6014701
sasc,21,0.5999204,1.7302985
sasc,18,0.6622029,-1.6014701
sasc,25,0.70899075,0.064414196
sasc,58,0.7607511,2.1467695
sasc,20,0.788937,1.3138274
sasc,208,0.8221243,0.064414196
sasc,144,1.1988138,2.1467695
