designs,synID,prediction,actual
usb_phy,90,-0.6383672,-0.6247847
usb_phy,173,-0.56285125,-0.6247847
usb_phy,142,-0.5422904,-0.8883328
usb_phy,167,-0.5014567,-0.8883328
usb_phy,148,-0.5003125,-0.8883328
usb_phy,211,-0.47031304,-1.1518809
usb_phy,217,-0.43839946,-0.6247847
usb_phy,165,-0.42481264,0.1658596
usb_phy,75,-0.39291215,-0.3612366
usb_phy,203,-0.38820875,0.95650387
usb_phy,85,-0.3839747,0.4294077
usb_phy,59,-0.38127998,1.220052
usb_phy,185,-0.3717209,-0.6247847
usb_phy,62,-0.3645008,-0.097688496
usb_phy,182,-0.3534098,-0.6247847
usb_phy,9,-0.34598687,0.1658596
usb_phy,149,-0.34285432,-0.3612366
usb_phy,147,-0.33963105,-0.3612366
usb_phy,47,-0.33540538,-0.6247847
usb_phy,70,-0.33521527,-0.3612366
usb_phy,13,-0.3332502,-0.6247847
usb_phy,79,-0.33218342,-1.678977
usb_phy,175,-0.32750267,-0.8883328
usb_phy,109,-0.3269983,-0.6247847
usb_phy,7,-0.32595786,-1.1518809
usb_phy,2,-0.3209615,0.4294077
usb_phy,23,-0.3163054,-1.9425251
usb_phy,213,-0.31502888,-0.3612366
usb_phy,188,-0.3121911,-1.1518809
usb_phy,176,-0.31108254,-0.6247847
usb_phy,195,-0.31070957,0.1658596
usb_phy,233,-0.30691102,-1.1518809
usb_phy,80,-0.30608472,1.4836
usb_phy,184,-0.30396217,-1.1518809
usb_phy,231,-0.3024004,1.220052
usb_phy,223,-0.30008402,-0.3612366
usb_phy,76,-0.29742977,-0.097688496
usb_phy,134,-0.29705656,-1.415429
usb_phy,155,-0.2961703,-0.6247847
usb_phy,51,-0.29540792,-0.6247847
usb_phy,97,-0.29422003,-0.097688496
usb_phy,44,-0.29181734,-0.6247847
usb_phy,192,-0.29051378,-0.3612366
usb_phy,197,-0.2893817,-0.3612366
usb_phy,123,-0.2883821,-0.6247847
usb_phy,14,-0.28835085,-0.6247847
usb_phy,179,-0.2881171,-1.678977
usb_phy,248,-0.2880272,-0.3612366
usb_phy,205,-0.28799137,-0.097688496
usb_phy,114,-0.28757924,-1.678977
usb_phy,69,-0.28731993,-0.8883328
usb_phy,216,-0.2872328,-0.6247847
usb_phy,141,-0.28596395,-0.6247847
usb_phy,29,-0.2842039,-0.6247847
usb_phy,49,-0.27634594,-0.6247847
usb_phy,220,-0.27634594,-0.097688496
usb_phy,166,-0.27634594,0.6929558
usb_phy,53,-0.27634594,-0.3612366
usb_phy,52,-0.2648823,-0.3612366
usb_phy,116,-0.2540407,-0.097688496
usb_phy,0,-0.25289282,-0.6247847
usb_phy,169,-0.24433643,-0.8883328
usb_phy,138,-0.23161356,0.4294077
usb_phy,4,-0.23044252,1.4836
usb_phy,88,-0.22630677,-0.3612366
usb_phy,63,-0.19336525,-0.3612366
usb_phy,234,-0.18937124,-0.3612366
usb_phy,242,-0.18666825,1.4836
usb_phy,152,-0.12424611,0.1658596
usb_phy,243,-0.07597378,0.1658596
usb_phy,83,-0.07403881,-0.097688496
usb_phy,241,-0.06468857,-0.8883328
usb_phy,17,-0.019362837,0.95650387
usb_phy,19,-0.00069317315,0.1658596
usb_phy,204,0.0028624972,-0.6247847
usb_phy,157,0.02512825,0.6929558
usb_phy,67,0.028859816,-0.8883328
usb_phy,150,0.034063205,1.4836
usb_phy,103,0.043988585,-0.8883328
usb_phy,153,0.06090024,1.220052
usb_phy,32,0.088445306,-0.097688496
usb_phy,161,0.09197984,-1.1518809
