design,top1,top5,top10,top15,top20,top25
picorv32_small,0.0,0.0,0.375,0.375,0.375,0.475
jpeg,0.0,0.14285714285714285,0.4,0.43478260869565216,0.4838709677419355,0.5526315789473685
i2c,0.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.4827586206896552,0.4444444444444444
fir,0.0,0.125,0.1875,0.24,0.2727272727272727,0.3170731707317073
s35932,0.0,0.0,0.0,0.0,0.18181818181818182,0.30952380952380953
ss_pcm,0.0,0.0,0.0,0.045454545454545456,0.2,0.21052631578947367
ac97_ctrl,0.0,0.0,0.0,0.08695652173913043,0.16129032258064516,0.20512820512820512
aes_xcrypt,0.0,0.0,0.06666666666666667,0.043478260869565216,0.3225806451612903,0.38461538461538464
pci,0.0,0.0,0.1875,0.2,0.2727272727272727,0.3902439024390244
usb_phy,0.0,0.0,0.06666666666666667,0.17391304347826086,0.2903225806451613,0.38461538461538464
or1200_multmac,0.0,0.0,0.2857142857142857,0.3181818181818182,0.3448275862068966,0.3783783783783784
aes,0.0,0.125,0.125,0.16666666666666666,0.21875,0.325
Rocket_csr,0.0,0.0,0.17647058823529413,0.24,0.29411764705882354,0.37209302325581395
bp_be,0.0,0.14285714285714285,0.4,0.45454545454545453,0.5,0.4594594594594595
aes_secworks,0.0,0.14285714285714285,0.2,0.34782608695652173,0.43333333333333335,0.42105263157894735
or1200_cpu,0.0,0.0,0.26666666666666666,0.43478260869565216,0.4838709677419355,0.5128205128205128
s38417,0.0,0.0,0.06666666666666667,0.13636363636363635,0.26666666666666666,0.43243243243243246
wb_conmax,0.0,0.0,0.13333333333333333,0.30434782608695654,0.3870967741935484,0.38461538461538464
picosoc,0.0,0.0,0.13333333333333333,0.17391304347826086,0.26666666666666666,0.23684210526315788
simple_spi,0.0,0.0,0.0,0.043478260869565216,0.16129032258064516,0.1794871794871795
ethernet,0.0,0.0,0.4,0.34782608695652173,0.5161290322580645,0.5641025641025641
tinyRocket,0.0,0.2857142857142857,0.26666666666666666,0.30434782608695654,0.4,0.5263157894736842
or1200,1.0,0.2857142857142857,0.35714285714285715,0.45454545454545453,0.5172413793103449,0.5945945945945946
picorv32_large,0.0,0.2857142857142857,0.13333333333333333,0.21739130434782608,0.2903225806451613,0.3333333333333333
Rocket_full,0.0,0.0,0.26666666666666666,0.2608695652173913,0.3870967741935484,0.5128205128205128
iir,0.0,0.14285714285714285,0.3333333333333333,0.45454545454545453,0.4,0.40540540540540543
spi,0.0,0.0,0.0625,0.12,0.21212121212121213,0.2682926829268293
des3_area,0.0,0.2857142857142857,0.2857142857142857,0.3181818181818182,0.4482758620689655,0.40540540540540543
picorv32_typical,0.0,0.14285714285714285,0.13333333333333333,0.2727272727272727,0.36666666666666664,0.5263157894736842
sasc,0.0,0.0,0.0,0.047619047619047616,0.1724137931034483,0.2222222222222222
mem_ctrl,0.0,0.0,0.0,0.14285714285714285,0.20689655172413793,0.2777777777777778
wb_dma,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2413793103448276,0.3055555555555556
tv80,0.0,0.14285714285714285,0.06666666666666667,0.2727272727272727,0.4,0.4594594594594595
aes_ncsu,0.0,0.14285714285714285,0.13333333333333333,0.21739130434782608,0.3870967741935484,0.5128205128205128
dynamic_node,0.0,0.0,0.25,0.25,0.34375,0.325
or1200_fpu,0.0,0.42857142857142855,0.4,0.391304347826087,0.45161290322580644,0.48717948717948717
s38584,0.0,0.14285714285714285,0.2,0.2727272727272727,0.3,0.42105263157894735
Rocket_muldiv,0.0,0.0,0.17647058823529413,0.28,0.38235294117647056,0.38095238095238093
fpu,0.0,0.0,0.2,0.21739130434782608,0.3548387096774194,0.39473684210526316
vga_lcd,0.0,0.2857142857142857,0.26666666666666666,0.2608695652173913,0.2903225806451613,0.3076923076923077
sha256,0.0,0.0,0.13333333333333333,0.17391304347826086,0.12903225806451613,0.28205128205128205
